response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes.,No
Yes,No
Yes,No
Yes.,No
No,No
C,A.
C,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
A,A.
C. Hurricane,A.
B,A.
B,A.
B,A.
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A,A.
Boca Grande to Ocracoke Inlet.,Hurricane watches confined to east of Intracoastal City LA to west of Morgan City LA (NW Gulf Coast) – none for Florida
None,Storm-surge and hurricane watches extend east of Intracoastal City LA to west of Morgan City LA; storm-surge watch from Freeport TX to the mouth of the Mississippi River and along coastal MS waters.
Florida/Georgia border to North Carolina/Virginia border,"Storm-surge and hurricane watches confined to upper Texas coast to west of Morgan City, Louisiana"
None,Storm-surge watch San Luis Pass TX to Ocean Springs MS; hurricane watch Port Bolivar TX to west of Morgan City LA; tropical-storm watch south of Port Bolivar to San Luis Pass TX and Morgan City LA to Mouth of the Mississippi River
Jamaica to the Florida/Alabama border.,Tropical Storm Watches/Warnings issued only for Florida Keys (Craig Key to Key West) and portions of Cuba; none for southeast Florida coastline
Boca Raton to Flagler/Volusia County Line,Tropical Storm Watch in effect for the Florida Keys from Craig Key to Key West (does not include PortMiami)
Puerto Rico to Alabama,"Tropical-storm watch in effect for the Florida Keys from Ocean Reef to Key West and Dry Tortugas, Florida Bay, the central Bahamas and Andros Island"
None,Tropical Storm Watch in effect for the Florida Keys from Ocean Reef to Key West and the Dry Tortugas; Florida Bay; portions of the central Bahamas and much of Cuba
Jamaica to North Carolina,Tropical Storm Watch in effect for parts of the central Bahamas and eastern Cuba (not Florida)
Grand Bahama Island to Altamaha Sound,Central Bahamas (tropical-storm watch)
Boothville to Ocracoke Inlet,Hurricane and storm-surge warnings from San Luis Pass TX to Intracoastal City LA – none for Florida
None,Storm-surge warning San Luis Pass TX to mouth of the Mississippi River. Hurricane warning San Luis Pass TX to Intracoastal City LA. Tropical-storm warning Sargent TX to San Luis Pass and east of Intracoastal City LA to the mouth of the Mississippi River.
None,Hurricane and storm-surge warnings San Luis Pass TX eastward to Intracoastal City LA; tropical-storm warning east to mouth of Mississippi River
Cuba to Louisiana,Tropical-storm warning Cuban provinces listed and lower FL Keys from Seven-Mile Bridge to Key West/Dry Tortugas
