response,ground_truth
Yes,Yes
Yes,Yes
No.,Yes
Yes.,Yes
Yes,Yes
No,Yes
No,Yes
No.,Yes
Yes,Yes
Yes,Yes
C. Hurricane,A.
C. Hurricane,A.
B,A.
C,C.
C. Hurricane,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B,A.
C. Hurricane,C.
C. Hurricane,C.
B,C.
B,A.
B,A.
B,A.
B,A.
B,A.
A,A.
B. Tropical Storm,A.
None,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA; Storm Surge Watch Mouth of Mississippi River to Ocean Springs, MS including area lakes"
None,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA"
None,Hurricane Watch east of Intracoastal City LA to west of Morgan City LA; Storm-surge watch Freeport TX to San Luis Pass TX and Mouth of Mississippi River to Ocean Springs MS
None,Port Bolivar TX to west of Morgan City LA
Jamaica to Altamaha Sound,None issued yet (watches expected later today for northwest Gulf Coast)
None,None issued for U.S. coast yet
None,"No U.S. Gulf coast watches in effect as of Advisory 15A (all watches/warnings confined to Hispaniola, Cuba, Bahamas and Florida Keys)."
None,None in effect for U.S. Gulf Coast at this advisory
None,None in effect for U.S. Gulf Coast as of this advisory
None,"Current watches confined to Puerto Rico, Virgin Islands, Hispaniola, southeastern Bahamas and Turks & Caicos."
None,"Hurricane Warning San Luis Pass, TX to Intracoastal City, LA; Storm Surge Warning Freeport, TX to Mouth of Mississippi River"
None,"Hurricane & Storm-Surge Warning from San Luis Pass, TX to the mouth of the Mississippi River (includes Port Arthur/Sabine Lake)"
None,Hurricane & Storm-surge Warning from San Luis Pass TX to the Mouth of the Mississippi River (includes Port Arthur area)
Cuba to Louisiana,None yet for this segment of coast (Surge Watch San Luis Pass TX to Ocean Springs MS)
Cuba to North Carolina.,None
None,None issued for U.S. coast yet
South Florida to North Carolina.,None for U.S. Gulf Coast yet.
None,None in effect for U.S. Gulf Coast at this advisory
None,None in effect for U.S. Gulf Coast as of this advisory
Gulf of Honduras to Mississippi River,"Current warnings confined to Puerto Rico, Virgin Islands, parts of Dominican Republic/Haiti and the southeastern Bahamas."
"26.4N, 91.4W","27.3N, 92.5W"
"25.0N, 89.0W","25.6N, 90.2W"
"23.4N, 86.4W","24.3N, 87.6W"
"22.1N, 82.8W","22.6N, 85.0W"
"20.9N, 79.7W","21.4N, 81.6W"
20.0N 75.6W,"20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"17.7N, 66.0W","17.9N, 67.5W"
"16.8N, 62.6W","17.3N, 64.4W"
NW,NW
WNW,WNW
WWN,WNW
WWN,WNW
WNW,WNW
WNW,WNW
WWN,WNW
W,WNW
W,W
W,WNW
15,16 mph
17,17 mph
17,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
21,18 mph
17,18 mph
"Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina","Northwest Gulf Coast from Freeport, TX eastward to the Mouth of the Mississippi River, including the upper Texas coast and southwest Louisiana"
"North Carolina
New Jersey
Delaware
Maryland
Virginia",Upper Texas and southwestern Louisiana coastline
Florida,Upper Texas and southwest Louisiana coastline from Port Bolivar TX eastward to Intracoastal City LA
"Louisiana

Mississippi

Alabama

Florida Panhandle

Florida Big Bend",Upper Texas and southwest Louisiana coastline (including Sabine Lake and Galveston Bay)
"Cuba, Florida, Georgia, South Carolina, North Carolina",coastline from upper Texas (Galveston Bay) eastward through southwest Louisiana
"Florida, Gulf Coast",Upper Texas and southwest Louisiana coasts from Galveston Bay eastward to Intracoastal City
"Yucatán Peninsula
Florida
Louisiana
Texas
Mississippi
Alabama",north-western Gulf Coast from the upper Texas coast eastward across Louisiana
"Yucatan Peninsula, Cuba, South Florida, Bahamas",Northwest Gulf Coast from upper Texas coast to southeast Louisiana likely to experience impacts
"Bahamas
Cuba
Florida
Georgia
South Carolina
North Carolina",north-western Gulf Coast from southeast Texas to south-central Louisiana
"Cuba, Florida, Alabama, Mississippi, Louisiana",Cone covers the entire northern Gulf coast from Texas to the Florida Panhandle by day-5.
GFMX 280N 930W,PORT ARTHUR TX
GFMX 280N 930W,PORT ARTHUR TX
High Island TX,PORT ARTHUR TX
GALVESTON TX,PORT ARTHUR TX
GFMX 280N 930W,PORT ARTHUR TX
GFMX 280N 930W,PORT ARTHUR TX
GFMX 280N 930W,PORT ARTHUR TX
High Island TX,PORT ARTHUR TX
GULFPORT MS,PORT ARTHUR TX
GFMX 280N 950W,PORT ARTHUR TX
99,99%
92,92%
91,91%
73,73%
64,64%
48,48%
56,56%
25,18%
22,22%
7,7%
87,87%
75,75%
71,71%
48,48%
34,34%
22,22%
28,28%
9,6%
8,8%
3,0%
39,6
72,36
88,48
120,48
72,72
72,90
96,84
96,120
96,≈120
96,120
72,12
24,36
71,96
72,72
72,72
72,90
96,84
120,96
96,≈120
96,N/A
99,60%
92,92%
91,91%
73,37%
64,64%
48,48%
49,43%
18,25%
22,15%
7,7%
A,A.
C,C.
A,A.
B,B.
C,C.
"B. Port Arthur, TX",B.
C,B.
D,C.
"C. Port of Brunswick, GA",B.
B,C.
San Luis Pass Texas to Intracoastal City Louisiana,"Northwest Gulf Coast from Freeport, TX eastward to the Mouth of the Mississippi River, including the upper Texas coast and southwest Louisiana"
Upper Texas coast to southwest Louisiana coast,Upper Texas and southwestern Louisiana coastline
San Luis Pass Texas to Intracoastal City Louisiana,Upper Texas and southwest Louisiana coastline from Port Bolivar TX eastward to Intracoastal City LA
Port Bolivar Texas to Morgan City Louisiana,Upper Texas and southwest Louisiana coastline (including Sabine Lake and Galveston Bay)
Texas Coast to Louisiana Coast,coastline from upper Texas (Galveston Bay) eastward through southwest Louisiana
Gulf Coast of Texas to Louisiana,Upper Texas and southwest Louisiana coasts from Galveston Bay eastward to Intracoastal City
southeastern Gulf of Mexico to northwestern Gulf of Mexico,north-western Gulf Coast from the upper Texas coast eastward across Louisiana
Southern Cuban coast to Northern Gulf coast,Northwest Gulf Coast from upper Texas coast to southeast Louisiana likely to experience impacts
southern coast of the Dominican Republic to the northern coast of Cuba,north-western Gulf Coast from southeast Texas to south-central Louisiana
Northern coast of Puerto Rico to northern coast of Hispaniola,Cone covers the entire northern Gulf coast from Texas to the Florida Panhandle by day-5.
F,F.
D. Category 2,D.
C,C.
B. Tropical Storm,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B. Tropical Storm,B.
C,D.
"C. Port Arthur, TX",C.
B,D.
B,A.
C,C.
D,D.
C,A.
C,C.
C,A.
C,D.
Louisiana coast,"Northwest Gulf Coast from Freeport, TX eastward to the Mouth of the Mississippi River, including the upper Texas coast and southwest Louisiana"
Louisiana Coast,Upper Texas and southwestern Louisiana coastline
Louisiana,Upper Texas and southwest Louisiana coastline from Port Bolivar TX eastward to Intracoastal City LA
Louisiana coast,Upper Texas and southwest Louisiana coastline (including Sabine Lake and Galveston Bay)
Louisiana,coastline from upper Texas (Galveston Bay) eastward through southwest Louisiana
Gulf Coast,Upper Texas and southwest Louisiana coasts from Galveston Bay eastward to Intracoastal City
Gulf Coast,north-western Gulf Coast from the upper Texas coast eastward across Louisiana
Louisiana Coast,Northwest Gulf Coast from upper Texas coast to southeast Louisiana likely to experience impacts
Louisiana,north-western Gulf Coast from southeast Texas to south-central Louisiana
Gulf Coast,Cone covers the entire northern Gulf coast from Texas to the Florida Panhandle by day-5.
42,12
78,24
65,36
48,48
48,60
54,60
42,84
66,84
66,100-110
48,96
48,24
78,24
113,36
78,6
39,24
52,24
None,84
48,24
None,≈12 after initial coastal crossing
60,24
C,D.
D,D.
C,D.
D,D.
D,D.
D,D.
D,D.
D,D.
C,D.
C,D.
B. 1-12 Hours,B.
B,B.
A,B.
B,B.
B,B.
A,B.
B,B.
C,B.
B,B.
D,B.
A,B.
B,C.
C. 24-48 hours,C.
D. 48 hours or more,C.
D. 48 hours or more,D.
D,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,A.
D. 48 hours or more,D.
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
No.,No
B. 0-24 Hours,A.
B,A.
B. 0-24 Hours,B.
C. 24-48 hours,C.
C,C.
D,D.
C,D.
D. 48 hours or more,D.
D. 48 hours or more,A.
D,D.
10,12
12,24
15,36
48,48
48,60
48,60
72,84
96,84
108,100-110
108,96
C. Start of storm surge,C.
C,A.
A,A.
A,A.
B. Start of heavy rainfall,A.
D.,A.
D,A.
D,A.
D,A.
D.,A.
C,C.
C,C.
C,C.
C,C.
C,D.
B,C.
B,D.
B,D.
C,C.
C,C.
C. Yes,C.
C,C.
C,C.
D,D.
C. Yes,D.
Tornadoes and dangerous surf.,Possibility of tornadoes in rain bands; dangerous surf and rip currents.
Flash Flooding and Rip Current,"Isolated tornadoes, dangerous surf and rip currents, widespread power outages likely"
Flooding,"Large and destructive waves, dangerous rip currents, and the potential for inland tornadoes Thursday."
"Tornadoes, rip currents, and rough seas.",Isolated tornadoes possible in outer rain bands Wednesday night and Thursday
