response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C,A.
B,A.
C. Hurricane,A.
B,A.
B. Tropical Storm,A.
C. Hurricane,A.
C. Hurricane,C.
C,C.
C. Hurricane,C.
C,A.
C,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
Florida/Georgia border to North Carolina/Virginia border.,"East of Intracoastal City to west of Morgan City, Louisiana (Hurricane Watch)"
None,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA; Storm-surge watch Freeport TX to San Luis Pass TX and Mouth of Mississippi River to Ocean Springs MS"
None,"Storm Surge Watch from Freeport TX to San Luis Pass and from the Mouth of the Mississippi River to Ocean Springs MS, including Lake Pontchartrain/Maurepas/Borgne"
None,"Port Bolivar, TX, to west of Morgan City, LA"
Cuba to Alabama,None issued yet (hurricane and surge watches expected later for northwest Gulf Coast)
None,No watches yet for the U.S. Gulf Coast (current watches confined to Cuba/Florida Keys)
Jamaica to the Mississippi River,None issued yet – watches currently confined to the Caribbean and Florida Keys
None,None posted for U.S. Gulf Coast as of this advisory
Bimini to Altamaha Sound,"Current watches confined to Puerto Rico, the Dominican Republic, Haiti, parts of Cuba and the Bahamas; no Gulf Coast watches yet."
None,None in effect along U.S. Gulf coast as of this advisory
"Boca Raton, Florida to Surf City, North Carolina","San Luis Pass, TX to Intracoastal City, LA (Hurricane Warning – includes Lake Charles area)"
None,Hurricane Warning San Luis Pass TX to Intracoastal City LA; Storm Surge Warning San Luis Pass TX to Mouth of the Mississippi River
None,Hurricane Warning from San Luis Pass TX to Intracoastal City LA; Storm Surge Warning San Luis Pass TX to the Mouth of the Mississippi River
Cuba to Louisiana,None for this portion of the coast at the moment
Cuba to North Carolina,None issued yet
Hispaniola to Alabama,No warnings yet for the U.S. Gulf Coast (current warnings confined to Cuba/Florida Keys)
Jamaica to South Carolina,"None issued yet – warnings currently confined to Hispaniola, Cuba and the southeastern Bahamas"
None,None posted for U.S. Gulf Coast as of this advisory
The Bahamas to North Carolina.,"Current warnings confined to Puerto Rico, the U.S./British Virgin Islands, the Dominican Republic, Haiti and the Turks & Caicos; none yet for the Gulf Coast."
Grand Cayman to Morgan City,None in effect along U.S. Gulf coast as of this advisory
"26.4N, 91.4W","27.3N, 92.5W"
"25.0N, 89.0W","25.6N, 90.2W"
"23.4N, 86.4W","24.3N, 87.6W"
"22.1N, 82.8W","22.6N, 85.0W"
"20.9N, 79.7W","21.4N, 81.6W"
"20.0N, 75.6W","20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"17.7N, 66.0W","17.9N, 67.5W"
"16.8N, 62.6W","17.3N, 64.4W"
NW,NW
WWN,WNW
WNW,WNW
WWN,WNW
WNW,WNW
WNW,WNW
WWN,WNW
W,WNW
W,W
W,WNW
15,16 mph
17,17 mph
17,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
21,18 mph
17,18 mph
"Louisiana, Mississippi, Alabama, Florida Panhandle, Georgia, South Carolina, North Carolina","North-west Gulf Coast from Sea Rim State Park, TX to Intracoastal City, LA including Calcasieu and Sabine Lakes"
"Southeast, Mid-Atlantic","Upper Texas and southwest Louisiana coasts, including Calcasieu Lake and the Lake Charles area"
"Florida
Georgia
South Carolina
North Carolina","Upper Texas and southwest Louisiana coastline, especially Sabine Lake, Calcasieu Lake, Cameron Parish, Vermilion Bay"
"Gulf Coast
Florida
Carolina Coast","Upper Texas coast through south-central Louisiana, including Calcasieu and Vermilion Bays"
"Florida, Georgia, South Carolina, North Carolina",north-west Gulf Coast from upper Texas coast through southwest Louisiana
"Cuba

Florida

Alabama

Mississippi

Louisiana

Texas

Mexico","central and north-western Gulf Coast from Texas to Louisiana, especially the TX/LA border region"
"Jamaica, Cuba, Florida, Louisiana, Texas",Upper Texas coast to south-west Louisiana expected to receive the core of the storm
"Cayman Islands, Cuba, Florida, Mississippi, Alabama, Louisiana, Texas",Greater Antilles now; forecast impact stretches from the upper Texas coast eastward across all of coastal Louisiana by mid-week
The Bahamas,Northern Gulf Coast from upper Texas coast eastward across Louisiana is highlighted in the 4-5-day cone as the most likely impact corridor.
"Cuba
Florida
Alabama
Mississippi
Louisiana","Entire northwest Gulf Coast from upper Texas through Mississippi, including southwest Louisiana"
CAMERON LA,LAKE CHARLES
CAMERON LA,LAKE CHARLES LA
CAMERON LA,LAKE CHARLES LA
CAMERON LA,LAKE CHARLES LA
GFMX 280N 930W,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES LA
CAMERON LA,LAKE CHARLES
GULFPORT MS,LAKE CHARLES LA
GFMX 280N 930W,LAKE CHARLES
GFMX 280N 930W,LAKE CHARLES LA
99,99%
97,97%
93,93%
83,83%
71,71%
60%,60%
57,57%
34,34%
29,29%
11,11%
96,96%
84,84%
68,68%
56,56%
41,41%
30,29%
25,25%
15,15%
11,11%
3,3%
24,6
24,18
95,42
144,42
72,48
72,72
96,96
120,120
96,120
125,120
72,18
48,30
68,42
117,42
72,48
72,96
84,96
96,120
108,120
120,120
99,66%
98,65%
96,52%
87,45%
75,61%
35,35%
57,42%
30,34%
29,29%
11,11%
"D. Lake Charles Harbor District, LA",D.
C,D.
"D. Lake Charles Harbor District, LA",D.
B,B.
D,D.
A,A.
D,D.
C,C.
A,A.
B,B.
San Luis Pass Texas to Intracoastal City Louisiana,"North-west Gulf Coast from Sea Rim State Park, TX to Intracoastal City, LA including Calcasieu and Sabine Lakes"
Upper Texas Coast to Southwest Louisiana Coast,"Upper Texas and southwest Louisiana coasts, including Calcasieu Lake and the Lake Charles area"
San Luis Pass Texas to Intracoastal City Louisiana,"Upper Texas and southwest Louisiana coastline, especially Sabine Lake, Calcasieu Lake, Cameron Parish, Vermilion Bay"
High Island TX to Morgan City LA,"Upper Texas coast through south-central Louisiana, including Calcasieu and Vermilion Bays"
northwest coast of the Gulf of Mexico to the Texas and Louisiana border,north-west Gulf Coast from upper Texas coast through southwest Louisiana
northeastern Gulf Coast to central Gulf Coast,"central and north-western Gulf Coast from Texas to Louisiana, especially the TX/LA border region"
Gulf of Mexico to the Western Gulf Coast,Upper Texas coast to south-west Louisiana expected to receive the core of the storm
southern Cuba to the northern Gulf Coast,Greater Antilles now; forecast impact stretches from the upper Texas coast eastward across all of coastal Louisiana by mid-week
Northern Coast of Dominican Republic to Eastern Cuba,Northern Gulf Coast from upper Texas coast eastward across Louisiana is highlighted in the 4-5-day cone as the most likely impact corridor.
northern coast of Hispaniola to Cuba,"Entire northwest Gulf Coast from upper Texas through Mississippi, including southwest Louisiana"
F,F.
C,D.
C,C.
B,B.
B,B.
B,B.
B,B.
B,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
C,C.
A,A.
"C. Houston Port Authority, TX",D.
A,A.
A,A.
D,D.
D,D.
D,D.
A,A.
"D. Lake Charles Harbor District, LA",D.
Gulf Coast,"North-west Gulf Coast from Sea Rim State Park, TX to Intracoastal City, LA including Calcasieu and Sabine Lakes"
Louisiana Coast,"Upper Texas and southwest Louisiana coasts, including Calcasieu Lake and the Lake Charles area"
Louisiana,"Upper Texas and southwest Louisiana coastline, especially Sabine Lake, Calcasieu Lake, Cameron Parish, Vermilion Bay"
Gulf Coast,"Upper Texas coast through south-central Louisiana, including Calcasieu and Vermilion Bays"
Louisiana,north-west Gulf Coast from upper Texas coast through southwest Louisiana
Louisiana,"central and north-western Gulf Coast from Texas to Louisiana, especially the TX/LA border region"
Gulf Coast,Upper Texas coast to south-west Louisiana expected to receive the core of the storm
Louisiana,Greater Antilles now; forecast impact stretches from the upper Texas coast eastward across all of coastal Louisiana by mid-week
Louisiana,Northern Gulf Coast from upper Texas coast eastward across Louisiana is highlighted in the 4-5-day cone as the most likely impact corridor.
Gulf Coast,"Entire northwest Gulf Coast from upper Texas through Mississippi, including southwest Louisiana"
36,12
48,24
48,36
66,48
48,60
48,60
84,84
None,84
110,108
78,108
51,6
50,6
53,24
66,60
48,66
36,0
51,24
68,12
78,6
66,48
C,D.
C,D.
C,D.
D,D.
C,D.
C,D.
D,D.
C,D.
C,D.
D,D.
C,B.
D,B.
D,B.
D,B.
D,B.
D,B.
D,B.
B,B.
D,B.
D,B.
A,B.
C,B.
C,C.
D. 48 hours or more,C.
D. 48 hours or more,C.
D,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No.,No
B,A.
B,A.
C,B.
D. 48 hours or more,C.
C,C.
C,D.
C,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
9,12
14,24
36,36
33,48
48,60
72,60
48,84
120,84
72,108
120,108
A,A.
A,A.
C,A.
A,A.
B,A.
B,A.
B,A.
D.,A.
D,A.
D,A.
C,C.
C,C.
C,C.
