response,ground_truth
Yes.,Yes
No.,Yes
Yes,No
No,Yes
Yes,Yes
No,Yes
No,No
No,No
No,No
Yes.,Yes
B,A.
B. Tropical Storm,A.
A,A.
A,A.
B,A.
B,A.
A,A.
A,A.
A,A.
A,A.
B,A.
B,A.
A,A.
A,A.
B. Tropical Storm,A.
B,A.
A,A.
A,A.
A,A.
A,A.
None,"North of the Suwannee River to Aucilla River, FL (Big Bend area)"
None,"Hurricane Watch: Anna Maria Island to Yankeetown, FL.  Tropical Storm Watch: north of Suwannee River to Aucilla River, FL."
None,Englewood FL northward to Suwannee River FL (west-coast tropical-storm watch)
None,Tropical Storm Watch in effect only for portions of western Cuba (La Habana through Isle of Youth)
None,"Cuban provinces of La Habana, Artemisa, Mayabeque, Pinar del Rio, and the Isle of Youth"
None,"Cuban provinces of La Habana, Artemisa, Mayabeque, Pinar del Rio and Isle of Youth (Tropical Storm Watch)"
None,Tropical Storm Watch in effect north of Englewood to Anna Maria Island (west coast Florida); no Atlantic-side watches near Jacksonville.
None,"Hurricane Watch from Deerfield Beach to Bonita Beach, including the Florida Keys; Storm Surge Watch Golden Beach to Bonita Beach and the Keys"
None,Tropical-storm watch in effect from north of Jupiter Inlet to the Brevard/Volusia County line and from north of Bonita Beach to Englewood (central-south FL coasts)
None,"Tropical Storm Watch from Sebastian Inlet southward around the Florida peninsula to Bonita Beach, including Lake Okeechobee, the Florida Keys, and Florida Bay."
None,"Bonita Beach to Suwannee River, FL (west-central Gulf coast including Tampa Bay)"
None,"Tropical Storm Warning: Dry Tortugas and Bonita Beach to Suwannee River, FL."
None,Dry Tortugas (tropical-storm warning)
None,None at this time
None,None
Florida to Alabama,Northwestern Bahamas; Florida coast from Brevard/Volusia County line south-westward across the Keys to Anna Maria Island; Lake Okeechobee (Tropical Storm Warning)
None,Tropical Storm Warning from Brevard/Volusia County line southward and around Keys; Hurricane Warning Keys; none near Jacksonville.
None,"Tropical Storm Warning Brevard/Volusia County line southward around Florida peninsula to Englewood, including the Florida Keys and Florida Bay"
Cuba to Florida,Tropical-storm warning from Jupiter Inlet southward around the peninsula to Bonita Beach including Lake Okeechobee and the Florida Keys; Hurricane watch Deerfield Beach to Bonita Beach and Keys; Storm-surge watch Golden Beach to Bonita Beach and Keys
Jamaica to Florida,"Tropical Storm Warning for the Cayman Islands, portions of central Cuba, and the north-western Bahamas."
"26.2N, 83.7W","27.3N, 83.6W"
"23.8N, 84.5W","25.0N, 84.1W"
"22.7N, 85.3W","23.2N, 85.1W"
"23.2N, 85.2W","22.9N, 85.5W"
"24.6N, 83.4W","24.6N, 83.4W"
"24.6N, 80.5W","25.2N, 82.0W"
"22.5N, 79.2W","23.9N, 79.5W"
"20.7N, 79.9W","21.5N, 79.3W"
"19.6N, 81.8W","20.4N, 80.7W"
"18.0N, 85.2W","18.3N, 84.9W"
NNE,N
NNE,N
Stationary,N
SW,Nearly stationary (expected to drift slowly north tonight)
SW,SW
NW,WNW
N,NNW (325°)
NE,NE
NE,NE
NE,ENE
10,12 mph
9,12 mph
Stationary,7 mph
9,0-2 mph
14,14 mph
14,13 mph
14,14 mph
13,12 mph
17,16 mph
12,10 mph
"Florida

Georgia

South Carolina

North Carolina

Virginia

Maryland","West-central and northern Florida peninsula, Big Bend, and Atlantic coast from northeast Florida through the Carolinas"
Florida,"Entire west coast of Florida from Bonita Beach northward to the Big Bend, then across north-central FL and into the northeast FL/GA Atlantic coast."
Gulf Coast,"Florida Keys, entire Florida west coast, Big Bend, then inland across north-central Florida and southeast U.S."
Gulf of Mexico,"Western Cuba, South Florida, the Florida Keys, entire Florida Gulf Coast, portions of north Florida and southeast Georgia"
"Florida
Georgia
South Carolina","Florida Keys, southern and central Florida peninsula, Florida Big Bend, and eventually northeast Florida and coastal Georgia/South Carolina"
Florida,"South and central Florida peninsula, Keys, southeastern Gulf of Mexico, then north Florida Gulf Coast and Georgia/South Carolina coasts late week"
Florida,"South-central and southwest Florida coasts, Florida Keys, eventually portions of the eastern Gulf coast."
"Florida
Cuba
Bahamas","South-central Cuba, northwestern Bahamas, South Florida including the Keys, and eventually the eastern Gulf Coast"
"Cuba
Florida
Bahamas","Central Cuba, the NW Bahamas, South Florida peninsula and Keys, then portions of the eastern Gulf coast"
"Yucatan Peninsula
Cuba
South Florida","Entire Florida peninsula (Keys through northeast coast), Cuba, NW Bahamas, eastern Gulf coast."
MAYPORT NS FL,JACKSONVILLE
PENSACOLA NAS,JACKSONVILLE FL
MAYPORT NS FL,MAYPORT NS FL
KINGS BAY GA,JACKSONVILLE FL
PATRICK AFB,JACKSONVILLE FL
KINGS BAY GA,JACKSONVILLE FL
MAYPORT NS FL,JACKSONVILLE FL
GAINESVILLE FL,JACKSONVILLE FL
FT MYERS FL,JACKSONVILLE
MAYPORT NS FL,JACKSONVILLE
45,44%
21,21%
0,3%
3%,3%
9,9%
22,22%
