response,ground_truth
No,No
No,No
No.,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None for the Florida Gulf Coast; no tropical storm or hurricane watches issued west of the Atlantic coastline
None,None in effect – only the South Carolina coast is under consideration for watches at this time
None,None (no watches in effect)
None,Savannah River GA to Little River Inlet SC (Tropical Storm Watch area shown on advisory map)
None,"Savannah River, GA to Little River Inlet, SC under Tropical Storm Warning"
None,"Tropical Storm Warning from Savannah River to Little River Inlet, SC"
None,Savannah River GA to Little River Inlet SC under Tropical Storm Warning
Florida to North Carolina,"Savannah River to Little River Inlet, South Carolina (Tropical Storm Warning)"
"30.9N, 79.4W","31.0N, 79.5W"
"30.0N, 78.0W","30.3N, 78.5W"
"28.8N, 75.1W","29.0N, 75.9W"
"28.5N, 74.7W","28.5N, 74.7W"
Stationary,Stationary (expected to begin drifting NNW overnight)
NW,NW
WNW,WNW
WNW,WNW
Stationary,0 mph
14,13 mph
13,12 mph
13,13 mph
"North Carolina
South Carolina
Georgia","Coastal Georgia, South Carolina, and eventually southeastern North Carolina"
"South Carolina, North Carolina",southeastern U.S. coast from northern Georgia through coastal North Carolina
"North Carolina

New Jersey

New York

Massachusetts

Bermuda",Coast from north-east Florida through the Carolinas within and near the forecast cone
"South Carolina, North Carolina","Georgia, South Carolina and southeastern North Carolina Atlantic coasts"
Jacksonville,GAINESVILLE FL
Jacksonville,GAINESVILLE FL
"Tampa Port Authority, FL is not listed in the table. The closest location in the table is:
St. Petersburg",CEDAR KEY FL
"Tampa Port Authority, FL's closest weather forecast location in the table is:

CEDAR KEY FL",CEDAR KEY FL
0,3%
X,3%
0,3%
0,3%
0,0%
0,0%
0,0%
0,0%
0,120
0,72
0,36
0,72
"The provided data does not include information for Tampa Port Authority, FL. Therefore, it is not possible to determine the number of hours until the 50-kt wind probability peaks at that location based on the given data.",N/A
0,0
0,N/A
0,N/A
0,3%
0,3%
"The provided data does not include information for Tampa Port Authority, FL.",1%
0,3%
A,D.
A,B.
C,D.
B,A.
Savannah River to Little River Inlet South Carolina,"Coastal Georgia, South Carolina, and eventually southeastern North Carolina"
Savannah River to Little River Inlet,southeastern U.S. coast from northern Georgia through coastal North Carolina
Savannah River to Little River Inlet,Coast from north-east Florida through the Carolinas within and near the forecast cone
Savannah River to Little River Inlet South Carolina,"Georgia, South Carolina and southeastern North Carolina Atlantic coasts"
B,B.
A,A.
A,A.
A,A.
C,D.
B,A.
A,D.
D,A.
South Carolina Coast,"Coastal Georgia, South Carolina, and eventually southeastern North Carolina"
Carolina Coast,southeastern U.S. coast from northern Georgia through coastal North Carolina
Carolinas,Coast from north-east Florida through the Carolinas within and near the forecast cone
Carolinas,"Georgia, South Carolina and southeastern North Carolina Atlantic coasts"
48,12
54,24
72,39
60,36
