response,ground_truth
No,No
No,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes.,No
Yes.,No
No,No
Yes,No
B,A.
B,A.
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,A.
B. Tropical Storm,A.
B,A.
A,A.
A,A.
B,A.
A,A.
B,A.
A,A.
A,A.
A,A.
None,Tropical Storm Warning from Navarre to the Wakulla/Jefferson County line (FL Panhandle)
None,"Tropical Storm Watch from the Alabama/Florida border to Navarre, FL"
None,"Alabama/Florida border eastward to Ochlockonee River, FL (northern Gulf Coast)"
None,None in effect
None,Tropical Storm Warning in effect for the Florida Keys west of the Seven Mile Bridge to the Dry Tortugas
Jamaica to Altamaha Sound.,"Tropical Storm Watch from Englewood south and east to Ocean Reef, FL"
None,Southwest coast of Florida from Englewood south and east to Ocean Reef; several provinces of central Cuba
None,"Tropical Storm Watch from Bonita Beach south and east to Ocean Reef (including Florida Bay) and the Florida Keys, plus portions of central Cuba"
None,"Tropical Storm Watch – Haiti (northern coast), southeastern Bahamas, and the Cuban provinces of Ciego de Ávila eastward to Guantánamo"
Puerto Rico to Florida.,"Dominican Republic south coast from Punta Palenque eastward, north coast east of Haiti–DR border; Haiti (northern coast) to Gonaives; Turks & Caicos; SE Bahamas; Cuban provinces from Guantánamo to Ciego de Ávila"
None,Storm Surge Warning from Indian Pass to Yankeetown (FL Gulf coast)
None,"Tropical Storm Warning from Navarre to the Wakulla/Jefferson County line; Storm Surge Warning Indian Pass to Yankeetown, FL"
None,None issued as of advisory #22
None,None in effect
None,Same as watch area – Florida Keys west of the Seven Mile Bridge to Dry Tortugas
None,Tropical Storm Warning Florida Keys west of Ocean Reef to Dry Tortugas and Florida Bay
None,"Florida Keys west of Ocean Reef to the Dry Tortugas, including Florida Bay"
Jamaica to North Carolina,None
None,None in effect
Puerto Rico to Florida,Dominican Republic south coast from Punta Palenque eastward and north coast east of the Haiti–DR border
"27.3N, 85.9W","27.9N, 86.0W"
"26.1N, 84.9W","26.8N, 85.3W"
"23.8N, 84.3W","23.8N, 84.3W"
"23.3N, 83.2W","24.0N, 84.6W"
"22.7N, 80.6W","23.3N, 81.7W"
22.3N 78.4W,"22.3N, 79.6W"
"21.5N, 75.6W","22.0N, 76.7W"
"20.9N, 74.4W","21.3N, 75.3W"
"19.5N, 72.2W","20.2N, 73.5W"
"18.2N, 69.7W","18.9N, 71.0W"
NNW,N
NNW,NNW
WNW,WNW
WNW,WNW
W,WNW
WNW,W
WNW,WNW
WNW,WNW
WWN,WNW
WWN,WNW
9,9 mph
12,10 mph
9,9 mph
12,13 mph
12,13 mph
12,12 mph
9,10 mph
14,12 mph
15,16 mph
16,15 mph
Florida,"Florida Panhandle and Big Bend, then inland over southeast Alabama and western/central Georgia"
