response,ground_truth
No,No
No.,No
No,No
No,No
No,No
No.,No
No.,No
No,No
No,No
No,No
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
None,Storm-surge and tropical-storm watches/warnings confined to the Florida Panhandle coast from Navarre eastward to Wakulla/Jefferson Co. line and Indian Pass–Yankeetown.
Aucilla River to Okaloosa/Walton County Line,
None,"Alabama/Florida border eastward to Ochlockonee River, FL (Tropical Storm Watch)"
None,None in effect (interests from Mississippi to central Florida Panhandle advised to monitor)
None,No tropical cyclone watches extend north of the Florida peninsula.
None,Southwest coast of Florida from Englewood south and east to Ocean Reef
None,"Tropical Storm Watch for the southwest coast of Florida from Englewood south and east to Ocean Reef, FL."
None,"Tropical Storm Watch: Florida Keys (Ocean Reef to Dry Tortugas) and southwest Florida coast (Bonita Beach to Ocean Reef), several Cuban provinces"
None,"Haiti (northern coast), southeastern Bahamas, and portions of central & eastern Cuba"
None,"Haiti, Turks & Caicos, southeastern Bahamas, portions of Cuba under Tropical Storm Watch"
None,Storm-surge warning Indian Pass–Yankeetown FL; Tropical-storm warning Navarre FL–Wakulla/Jefferson Co. line.
Pensacola to the mouth of the Suwannee River.,Florida Panhandle coast from Navarre to the Wakulla/Jefferson County line (Tropical-Storm Warning) and Indian Pass to Yankeetown (Storm-Surge Warning)
None,None in effect as of this advisory
None,None in effect
None,Tropical Storm Warning in effect for the Florida Keys west of the Seven Mile Bridge to the Dry Tortugas
None,"Florida Keys west of Ocean Reef to the Dry Tortugas, including Florida Bay"
None,Tropical Storm Warning for the Florida Keys west of Ocean Reef to the Dry Tortugas and Florida Bay.
None,None in effect; no hurricane or tropical-storm warnings issued with Advisory #13
Dominican Republic to Turks and Caicos,None in effect (only watches at this time)
None,Dominican Republic south coast from Punta Palenque eastward and north coast east of the Haiti–Dominican Republic border under Tropical Storm Warning
"27.3N, 85.9W","27.9N, 86.0W"
"26.1N, 84.9W","26.8N, 85.3W"
"23.8N, 84.3W","24.4N, 84.6W"
"23.3N, 83.2W","24.0N, 84.6W"
"22.7N, 80.6W","23.3N, 81.7W"
"22.3N, 78.4W","22.3N, 79.6W"
"21.5N, 75.6W","22.0N, 76.7W"
"20.9N, 74.4W","21.3N, 75.3W"
"19.5N, 72.2W","20.2N, 73.5W"
"18.2N, 69.7W","18.9N, 71.0W"
NNW,N
NNW,NNW
WNW,NNW
WNW,WNW
W,WNW
WNW,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
9,9 mph
12,10 mph
9,8 mph
12,13 mph
12,13 mph
12,12 mph
9,10 mph
14,12 mph
