response,ground_truth
No.,Yes
No,Yes
No,Yes
A,A.
A,A.
A,A.
A,B.
A,B.
A,B.
None,None
None,North of Altamaha Sound GA to South Santee River SC
None,None
North Carolina to New Jersey,"Indian Pass FL to Englewood FL, and Sebastian Inlet FL to South Santee River SC"
None,"Indian Pass FL to Englewood FL, and Altamaha Sound GA to Sebastian Inlet FL"
None,"Indian Pass to Englewood, FL (includes Tampa Bay region)"
"26.4N, 87.3W","27.0N, 87.0W"
"23.4N, 87.8W","23.6N, 87.8W"
"21.9N, 88.1W","21.9N, 88.1W"
NNE,NNE
N,N (turning NNE to NE)
N,N
14,16 mph
9,9 mph
8,8 mph
"Carolinas

Mid-Atlantic

New England

Maritimes","West-central and northern Florida Gulf Coast, then Atlantic coasts of Florida, Georgia and the Carolinas"
"North Carolina, Virginia, Delaware, Maryland, New Jersey, Long Island, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Florida Gulf Coast from Englewood through Tampa Bay to the Big Bend, then Atlantic coasts of GA and the Carolinas"
"Carolinas

New England

Bermuda","Florida Gulf Coast from the Yucatan Channel north-eastward to the Big Bend, including Tampa Bay"
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
71,71%
17,22%
15,15%
0,2% (below reporting threshold)
0,0%
0,0%
71,24
22,33
15,36
102,
0,N/A
34,N/A
28,71%
22,22%
15,11%
C,C.
C,C.
D,D.
Indian Pass to Englewood,"West-central and northern Florida Gulf Coast, then Atlantic coasts of Florida, Georgia and the Carolinas"
Indian Pass to Tampa Bay,"Florida Gulf Coast from Englewood through Tampa Bay to the Big Bend, then Atlantic coasts of GA and the Carolinas"
Indian Pass to Englewood,"Florida Gulf Coast from the Yucatan Channel north-eastward to the Big Bend, including Tampa Bay"
B,B.
B. Tropical Storm,B.
A,A.
A,C.
"D. Tampa Port Authority, FL",D.
D,D.
North Carolina,"West-central and northern Florida Gulf Coast, then Atlantic coasts of Florida, Georgia and the Carolinas"
Carolinas,"Florida Gulf Coast from Englewood through Tampa Bay to the Big Bend, then Atlantic coasts of GA and the Carolinas"
Mid-Atlantic Coast,"Florida Gulf Coast from the Yucatan Channel north-eastward to the Big Bend, including Tampa Bay"
None,8
None,18
None,30
None,18
None,24
None,36
D,D.
C,D.
D,D.
A,B.
A,B.
A,B.
C. 24-48 hours,B.
C. 24-48 hours,C.
C. 24-48 hours,C.
Yes,Yes
No.,Yes
No.,No
C. 24-48 hours,A.
C. 24-48 hours,B.
D. 48 hours or more,B.
14,8
24,18
36,30
A,B.
A,A.
C,B.
B,B.
B,B.
B,A.
D,C.
D,C.
Rip Currents,"Isolated tornadoes possible Monday and Monday night across the Florida peninsula, including the Tampa Bay area."
Tornadoes are possible.,"Dangerous surf, minor coastal flooding, and isolated tornadoes Monday"
Tornadoes.,Isolated tornadoes Monday afternoon and evening.
"```json
{
  ""12_hours"": 71,
  ""24_hours"": 91,
  ""48_hours"": 81,
  ""72_hours"": 81,
  ""96_hours"": 46
}
```","{'in 12h': '28%', 'in 24h': '43%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""12 hours"": 26,
  ""24 hours"": 54,
  ""48 hours"": 54,
  ""72 hours"": 54,
  ""96 hours"": 54
}
```","{'in 12h': '<1%', 'in 24h': '5%', 'in 48h': '17%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""12_hours"": 1,
  ""24_hours"": 4,
  ""48_hours"": 1,
  ""72_hours"": 0,
  ""96_hours"": 0
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '2%', 'in 72h': '0%', 'in 96h': '0%'}"
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,6/3/2016
,2
,2
,2
,2.0
,2.0
,2.0
,0.685011594
,0.685011594
,0.685011594
,C.
,C.
,C.
