response,ground_truth
Yes.,Yes
B,A.
B,A.
None,"Anclote River to Englewood, FL (west-central Florida Gulf coast)"
None,None
"27.7N, 83.5W","27.7N, 83.5W"
E,E
8,8 mph
Southeastern United States,"West-central Florida today, then the Atlantic coasts of Florida, Georgia, South Carolina and North Carolina through Thursday"
CHERRY PT NC,Bald Head Island NC
X,≈15%
0,≈1%
N/A,36
N/A,36
N/A,≈15%
D,A.
Tampa Bay area to Naples,"West-central Florida today, then the Atlantic coasts of Florida, Georgia, South Carolina and North Carolina through Thursday"
A,A.
D,D.
Carolinas,"West-central Florida today, then the Atlantic coasts of Florida, Georgia, South Carolina and North Carolina through Thursday"
54,6
42,36
C,D.
C,B.
A,C.
No,No
D,B.
24,6
D,B.
B,B.
B,B.
Tornado,High surf and dangerous rip currents along South Carolina beaches
"```json
{
  ""gale_probability"": {
    ""in 12h"": 13,
    ""in 24h"": 19,
    ""in 48h"": 19,
    ""in 72h"": 14,
    ""in 96h"": 14
  }
}
```","{'in 12h': '5%', 'in 24h': '10%', 'in 48h': '15%', 'in 72h': '5%', 'in 96h': '0%'}"
03-08-2017,None
02-08-2017,None
03-08-2017,None
5,0
3,None
0,None
B. 1-10 vessels,A.
