response,ground_truth
Yes,Yes
Yes,Yes
No.,Yes
Yes,Yes
Yes.,Yes
C,A.
A,A.
A,A.
A,B.
B,B.
C,B.
C,B.
A,B.
A,A.
A,A.
None,Storm Surge Watch south of Port Mansfield to the Mouth of the Rio Grande
None,"Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico; Hurricane Watch south of Port Mansfield to the Mouth of the Rio Grande"
None,"Storm Surge Watch north of San Luis Pass to High Island, TX"
Boca De Cate to Rio Grande,Tropical Storm Watch from north of San Luis Pass to High Island; Storm Surge Watch from Port Mansfield to High Island
None,"North of San Luis Pass to High Island, TX (includes Galveston Bay/Houston area)"
None,Tropical Storm Warning north of Sargent to High Island; Storm Surge Warning Port Mansfield to High Island
None,"Tropical Storm Warning north of Sargent to High Island, TX; Storm Surge Warning Port Mansfield to High Island, TX; Hurricane Warning Port Mansfield to Sargent, TX"
None,"Tropical Storm Warning from Matagorda to High Island, TX"
None,None at this time (warnings expected Thursday)
None,None at this time
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Texas,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Texas,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
"Louisiana
Texas",Middle and upper Texas coast from Port Mansfield to High Island
Yucatan Peninsula,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Louisiana,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
HIGH ISLAND TX,HOUSTON TX
Galveston,HOUSTON TX
"Galveston, TX",HOUSTON TX
Gulf of Mexico 280N 950W,HOUSTON TX
Galveston,HOUSTON TX
76,76%
0.84,81%
59,55%
32,35%
35,39%
13,16%
40,31%
15,11%
7,7%
2,8%
72,120
36,120
72,120
110,72
35,120
13,96
48,120
24,120
78,72
4,120
77,76%
84,81%
59,55%
34,15%
35,39%
"A. Houston Port Authority, TX",A.
"C. Houston Port Authority, TX",C.
"C. Houston Port Authority, TX",C.
"A. Houston Port Authority, TX",A.
"B. Houston Port Authority, TX",B.
Port Mansfield to Sargent Texas,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Port Mansfield to Sargent Texas,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
Port Mansfield to Matagorda Texas,Middle and upper Texas coast from Port Mansfield to High Island
Port Mansfield to High Island,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Port Mansfield to High Island,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
E. Category 3,D.
C,C.
B,B.
A,A.
A,A.
D,D.
B,B.
A,A.
B,B.
"C. Port of Brunswick, GA",B.
Texas Coast,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Texas,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
Texas,Middle and upper Texas coast from Port Mansfield to High Island
Texas,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Texas Coast,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
87,12
54,24
None,36
96,48
60,48
None,90
72,96
None,96
None,96
None,96
D,D.
D,D.
C,D.
C,D.
D,D.
D,D.
B,D.
A,D.
A,C.
C,D.
B. 12-24 Hours,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
C,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,Yes
A. 0 hours,B.
A. 0 hours,B.
B,B.
D. 48 hours or more,C.
D. 48 hours or more,C.
24,12
24,24
24,36
32,48
36,48
A,A.
A,A.
D,A.
B. Start of heavy rainfall,A.
B,B.
C. Yes,C.
C,C.
C. Yes,C.
A. Unlikely,C.
D,C.
C,C.
C,C.
C,C.
D,C.
C,C.
Tornadoes are possible.,Isolated tornadoes in rainbands; dangerous surf and rip currents hampering vessel movements and pilot transfers.
Flooding and Tornadoes,"Isolated tornadoes, dangerous surf and rip currents, prolonged port disruption due to stalling storm"
"Rip Current, Flooding.","Prolonged heavy seas and dangerous swells in the ship channel; extended port closure potential because the cyclone may stall near the coast, leading to multiple days of hazardous conditions."
Rip Currents.,Prolonged heavy rain could stall operations for several days; life-threatening rip currents and rough seas will impede vessel movements; possible power outages and access disruption on port road/rail corridors.
Tornadoes,"Prolonged flooding of access roads, possible temporary port closure, dangerous surf and rip currents on the Houston/Galveston approaches."
"```json
{
  ""12 Hours"": {
    ""Port Mansfield to Sargent Texas"": 100,
    ""North of Sargent to High Island Texas"": 90,
    ""South of Port Mansfield to the Mouth of the Rio Grande"": 50
  },
  ""24 Hours"": {
    ""Port Mansfield to Sargent Texas"": 100,
    ""North of Sargent to High Island Texas"": 90,
    ""South of Port Mansfield to the Mouth of the Rio Grande"": 30
  },
  ""48 Hours"": {
    ""Port Mansfield to Sargent Texas"": 70,
    ""North of Sargent to High Island Texas"": 50,
    ""South of Port Mansfield to the Mouth of the Rio Grande"": 10
  },
  ""72 Hours"": {
    ""Port Mansfield to Sargent Texas"": 30,
    ""North of Sargent to High Island Texas"": 20,
    ""South of Port Mansfield to the Mouth of the Rio Grande"": 5
  },
  ""96 Hours"": {
    ""Port Mansfield to Sargent Texas"": 10,
    ""North of Sargent to High Island Texas"": 5,
    ""South of Port Mansfield to the Mouth of the Rio Grande"": 2
  }
}
```","{'in 12h': '2%', 'in 24h': '33%', 'in 48h': '56%', 'in 72h': '71%', 'in 96h': '75%'}"
"```json
{
  ""12_hours"": 70,
  ""24_hours"": 85,
  ""48_hours"": 90,
  ""72_hours"": 85,
  ""96_hours"": 75
}
```","{'in 12h': '4%', 'in 24h': '34%', 'in 48h': '58%', 'in 72h': '69%', 'in 96h': '78%'}"
"```json
{
  ""12_hours"": 89,
  ""24_hours"": 98,
  ""48_hours"": 100,
  ""72_hours"": 99,
  ""96_hours"": 99
}
```","{'in 12h': '0%', 'in 24h': '4%', 'in 48h': '15%', 'in 72h': '11%', 'in 96h': '7%'}"
"```json
{
  ""Gale_Force_Probability"": {
    ""12_Hours"": {
      ""KNHC"": 34
    },
    ""24_Hours"": {
      ""KNHC"": 34
    },
    ""48_Hours"": {
      ""KNHC"": 34
    },
    ""72_Hours"": {
      ""KNHC"": 34
    },
    ""96_Hours"": {
      ""KNHC"": 34
    }
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '8%', 'in 72h': '15%', 'in 96h': '5%'}"
"```json
{
  ""12_hours"": 1,
  ""24_hours"": 27,
  ""48_hours"": 42,
  ""72_hours"": 44,
  ""96_hours"": 46
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '10%', 'in 72h': '16%', 'in 96h': '5%'}"
,8/25/2017
,8/25/2017
,8/25/2017
,8/25/2017
,8/25/2017
,8/31/2017
,8/31/2017
,8/31/2017
,8/31/2017
,8/31/2017
,8/25/2017
,8/25/2017
,8/25/2017
,8/25/2017
,8/25/2017
,11
,11
,11
,11
,11
,5.0
,5.0
,5.0
,5.0
,5.0
,1.0
,1.0
,1.0
,1.0
,1.0
,D.
,D.
,D.
,D.
,D.
,E.
,E.
,E.
,E.
,E.
