response,ground_truth
No,No
No,No
No.,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None – all watches confined to south Texas coast and western Gulf
None,South of Port Mansfield TX to the Mouth of the Rio Grande (Storm Surge Watch) and south of Port Mansfield TX to the Mouth of the Rio Grande (Hurricane Watch); south of the Mouth of the Rio Grande to Boca de Catan MX (Tropical Storm Watch)
None,"Storm Surge Watch: south of Port Mansfield, TX to Mouth of Rio Grande and north of San Luis Pass to High Island, TX; Hurricane Watch: south of Port Mansfield, TX to Mouth of Rio Grande; Tropical Storm Watch: south of Mouth of Rio Grande to Boca de Catan, Mexico"
None,Storm Surge Watch: Port Mansfield TX to High Island TX; Hurricane Watch: north of Port Mansfield to San Luis Pass TX; Tropical Storm Watch: Boca de Catan MX to Port Mansfield TX and north of San Luis Pass to High Island TX
None,Storm Surge Watch: Port Mansfield TX to High Island TX; Hurricane Watch: north of Port Mansfield to San Luis Pass TX; Tropical Storm Watch: Boca De Catan MX to Port Mansfield TX and north of San Luis Pass to High Island TX
Corpus Christi to Cameron,Storm Surge Warning Port Mansfield–High Island TX; Hurricane Warning Port Mansfield–Sargent TX; Tropical Storm Warning north of Sargent to High Island TX and south of Port Mansfield to Mouth of Rio Grande
None,Port Mansfield to High Island TX (Storm Surge Warning); Port Mansfield to Sargent TX (Hurricane Warning); north of Sargent to High Island TX and south of Port Mansfield to Mouth of Rio Grande (Tropical Storm Warning)
None,"Storm Surge Warning: Port Mansfield to San Luis Pass, TX; Hurricane Warning: Port Mansfield to Matagorda, TX; Tropical Storm Warning: north of Matagorda to High Island, TX and south of Port Mansfield to Mouth of Rio Grande"
None,None in effect as of Advisory 14
None,None in effect (only watches issued as of Advisory 12)
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Texas,Middle and upper Texas coast and portions of southwest Louisiana
Gulf Coast,"Middle and upper Texas coast, southwestern Louisiana coast"
"Louisiana, Texas",Middle and upper Texas coast with possible impacts extending into southwestern Louisiana
"Mexico
Texas
Louisiana",Texas coast from Port Mansfield to High Island and adjacent southwest Louisiana coastline
Louisiana,middle and upper Texas coast and southwest Louisiana
"The table does not contain a weather forecast location for Detroit-Wayne County Port, MI.",None (no Great-Lakes or Midwest station listed in probability table)
GFMX 250N 960W,None
"The table provided does not include the Detroit-Wayne County Port, MI. Therefore, there is no relevant location from the table to answer the question.",None (Detroit not listed in the wind-probability table)
