response,ground_truth
No,No
No,No
Yes,No
No,No
Yes,No
No,No
No,No
B. Tropical Storm,A.
B. Tropical Storm,A.
C. Hurricane,A.
C,A.
A,A.
A,A.
A,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
B,A.
A,A.
A,A.
A,A.
Brownsville to High Island,"Hurricane watch area from Cabo Rojo to Laguna Verde, Mexico"
None,Hurricane Watch only posted along the Veracruz coast of Mexico (Cabo Rojo to Laguna Verde)
None,Tropical Storm Warning: north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz (Mexico)
None,"Cabo Rojo to Laguna Verde, Mexico (Hurricane Watch)"
None,"None at this time (hurricane watch possible later for Veracruz, MX only)"
None,None issued
None,None
None,Hurricane Warning Cabo Rojo to Laguna Verde; Tropical-Storm Warning north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz
None,Hurricane Warning Cabo Rojo to Laguna Verde; Tropical-Storm Warning north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz
None,Hurricane Warning: Cabo Rojo to Laguna Verde (Mexico)
None,None in effect (warnings expected Thursday for Mexican coast)
None,None
None,None issued
None,None
"21.3N, 95.4W","21.0N, 95.8W"
"21.6N, 94.6W","21.5N, 95.1W"
"21.5N, 94.5W","21.6N, 94.6W"
"21.7N, 95.1W","21.7N, 94.8W"
"22.1N, 96.3W","21.7N, 95.9W"
"22.4N, 96.7W","22.2N, 96.4W"
"22.4N, 96.7W","22.4N, 96.7W"
WSW,WSW
Stationary,W
STN,Stationary (forecast to turn SW)
SE,ESE
ESE,ESE
E,E
E,E
3,5 mph
Stationary,3 mph
Stationary,0 mph (stationary)
3,2 mph
2,5 mph
2,2 mph
2,2 mph
Mexico,Central-northern Veracruz coast and adjacent southern Tamaulipas coastline of Mexico
Yucatan Peninsula,Veracruz and southern Tamaulipas coastline of Mexico
Mexico,Central Veracruz coastline and adjacent Bay of Campeche shorelines
Mexico,Central-northern Veracruz and far southern Tamaulipas coasts of Mexico
Mexico,Mexican coast from about Tampico southward to Veracruz in the southwestern Gulf of Mexico
Yucatan Peninsula,South-central Mexican Gulf coast from Tampico to Veracruz
Yucatán Peninsula,Southwestern Gulf coast of Mexico from Tampico southward to Veracruz
TAMPICO MX,LA PESCA MX
TAMPICO MX,TAMPICO MX
TAMPICO MX,"None listed for Brownsville, TX"
GFMX 250N 960W,BROWNSVILLE TX
La Pesca MX,BROWNSVILLE TX
GFMX 250N 960W,BROWNSVILLE TX
GFMX 250N 960W,BROWNSVILLE TX
0,0%
"The given table does not include Brownsville, TX. Therefore, 0",0%
0,0%
4,4%
4%,4%
6,6%
6,6%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,30
72,72
