response,ground_truth
No,No
Yes,No
Yes,No
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Edisto Beach SC to south of South Santee River SC
None,Edisto Beach SC to just south of South Santee River SC
None,Edisto Beach SC to south of South Santee River SC (Tropical Storm Watch)
None,Edisto Beach SC to Cape Lookout NC
None,Edisto Beach SC to Cape Lookout NC
None,South Santee River SC to Cape Lookout NC
None,South Santee River SC to Cape Lookout NC
None,South Santee River SC to Cape Lookout NC (Tropical Storm Warning)
None,None
None,None
"32.7N, 78.1W","32.9N, 78.3W"
32.2N 77.5W,"32.4N, 77.6W"
"31.6N, 77.3W","31.7N, 77.4W"
"31.5N, 77.7W","31.6N, 77.8W"
"31.5N, 77.6W","31.5N, 77.6W"
NW,NW
NNW,NNW
Stationary,Stationary
NNW,NNW
N,N
3,3 mph
3,3 mph
Stationary,0 mph
2,1 mph
2,2 mph
"South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey",Primary impacts along the coasts of South Carolina and North Carolina with lesser effects possible farther north along the Mid-Atlantic shoreline
"South Carolina

North Carolina

Maryland

New Jersey","Coasts of South Carolina and North Carolina, with swell and rip-current impacts extending northward to Virginia"
"South Carolina

North Carolina

Virginia

New Jersey

New England

Nova Scotia",Coasts of South Carolina and North Carolina this weekend; Mid-Atlantic and New England coasts early next week as the system moves northeastward offshore
"South Carolina

North Carolina

Virginia

Maryland

Delaware

New Jersey

Long Island","Entire U.S. East Coast from South Carolina through New England, including Massachusetts shoreline"
"South Carolina
North Carolina",Southeastern U.S. coast from South Carolina northward to the Mid-Atlantic and portions of southern New England
HYANNIS MA,BOSTON MA
Wilmington NC,No Boston entry – probabilities <3 %
Nantucket MA,BOSTON MA
HYANNIS MA,BOSTON MA
HYANNIS MA,BOSTON MA
5,5%
X,<3%
5,5%
4%,4%
4,4%
0,0%
0,<1%
5,0%
0,<1%
0,0%
N/A,72
N/A,N/A
96,120
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
5,5%
N/A,N/A
5,3%
4,4%
4,4%
B,A.
C,C.
A,C.
A,D.
"C. South Jersey Port Corp, NJ",A.
Myrtle Beach South Carolina to Cape Hatteras North Carolina,Primary impacts along the coasts of South Carolina and North Carolina with lesser effects possible farther north along the Mid-Atlantic shoreline
Cape Lookout to Edisto Beach,"Coasts of South Carolina and North Carolina, with swell and rip-current impacts extending northward to Virginia"
"Myrtle Beach South Carolina to Cape Hatteras, North Carolina",Coasts of South Carolina and North Carolina this weekend; Mid-Atlantic and New England coasts early next week as the system moves northeastward offshore
Edisto Beach to Cape Lookout,"Entire U.S. East Coast from South Carolina through New England, including Massachusetts shoreline"
Myrtle Beach South Carolina to Cape Lookout North Carolina,Southeastern U.S. coast from South Carolina northward to the Mid-Atlantic and portions of southern New England
B,B.
B,B.
A,B.
B,B.
B. Tropical Storm,B.
"A. Port of Brunswick, GA",B.
D,B.
A,D.
C,D.
C,C.
Carolina,Primary impacts along the coasts of South Carolina and North Carolina with lesser effects possible farther north along the Mid-Atlantic shoreline
Carolinas,"Coasts of South Carolina and North Carolina, with swell and rip-current impacts extending northward to Virginia"
Carolina coast,Coasts of South Carolina and North Carolina this weekend; Mid-Atlantic and New England coasts early next week as the system moves northeastward offshore
Carolina Coast,"Entire U.S. East Coast from South Carolina through New England, including Massachusetts shoreline"
South Carolina,Southeastern U.S. coast from South Carolina northward to the Mid-Atlantic and portions of southern New England
42,15
None,24
84,48
None,40
48,45
None,120
None,≥72
48,84
None,84
72,120
C,D.
B,B.
C,D.
C,D.
D,D.
C,A.
B,A.
D,B.
B,B.
B,B.
D,D.
B,A.
D. 48 hours or more,D.
D,D.
D,D.
No.,No
No,No
No.,No
No,No
D,D.
D,A.
C. 24-48 hours,D.
D,D.
D. 48 hours or more,D.
108,15
48,24
96,48
96,40
96,45
D.,A.
D,D.
D,B.
D.,B.
D,B.
B,B.
B,A.
B,B.
B,B.
B,B.
B,B.
B,A.
A,B.
B,B.
B,B.
High surf and rip currents.,Rough seas and increased rip-current risk along the Massachusetts coastline early next week.
Rip currents.,None anticipated for port operations
Swell,"Rough seas and dangerous rip currents likely along Massachusetts Bay and adjacent coastal waters early next week, possibly disrupting pilot transfers and small-craft operations."
Coastal flooding and rip currents,Rough seas and elevated surf/rip-current risk along the Massachusetts Bay approaches may hamper vessel movements.
High surf and rip currents.,Increased surf and rip-current risk along the Massachusetts beaches early next week.
