response,ground_truth
No.,Yes
No,No
A,A.
A,A.
A,A.
A,A.
Grand Cayman to Sebastian Inlet,Hurricane Watch possible later for parts of the Yucatan Peninsula (not issued yet for U.S. coast)
None,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras (Tropical Storm Warning)"
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
7,7 mph
"Yucatan Peninsula
Western Cuba
Florida
Southeastern United States
Mid-Atlantic United States
Northeastern United States","Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
"Yucatan Peninsula, Western Cuba, Florida, Southeast US","Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
"Philadelphia Regional Port, PA is not listed in the table.",WALLOPS CDA
GUANAJA,DANVILLE VA
0,3%
"The provided data does not include information for Philadelphia Regional Port, PA. Therefore, it is not possible to determine the cumulative probability of 34-kt wind arrival at that location from the given data.",<3%
0,0%
0,<1%
0,120
0,120
0,N/A
0,N/A
0,3%
0,<3%
D,B.
B,A.
Nicaragua to Honduras,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
A,A.
A,A.
A,B.
C,D.
Gulf Coast,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Gulf Coast,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
102,72
72,93
None,120
None,140
D,D.
C,D.
B,C.
A,B.
"The provided data does not include information for Philadelphia Regional Port, PA. Therefore, it is not possible to determine the highest 34-kt wind probability for Philadelphia Regional Port, PA from the given data.",D.
"Unfortunately, the provided data does not include information for ""Philadelphia Regional Port, PA."" Therefore, it is not possible to determine the highest 34-kt wind probability for that location based on the given forecast.",D.
No.,No
No.,No
D. 48 hours or more,D.
D. 48 hours or more,D.
120,72
