response,ground_truth
Yes.,No
Yes,No
B,A.
B,A.
B. Tropical Storm,A.
B,A.
None,Central Bahamas
Cuba to the North Carolina/Virginia border,"Central Bahamas (Cat Island, Exumas, Long Island, Rum Cay, San Salvador)"
None,Cuban provinces from Isla de la Juventud through Villa Clara and the Northwestern Bahamas
Cuba to Bahamas,"Western Cuba (Isla de la Juventud, La Habana, Ciudad de la Habana, Matanzas, Cienfuegos, Villa Clara) and the Northwestern Bahamas (Abacos, Andros Island, Berry Islands, Bimini, Eleuthera, Grand Bahama Island, New Providence)"
"18.9N, 84.6W","19.6N, 84.2W"
"17.5N, 84.5W","17.5N, 84.5W"
N,N
NNW,NNW
7,10 mph
6,6 mph
"Yucatan Peninsula
Western Cuba
Southern Florida","Western and central Cuba, Straits of Florida, South Florida and the Keys, Northwestern and Central Bahamas"
"Yucatán Peninsula
Western Cuba
Southern Florida","Western Cuba, Florida Keys and South Florida, Northwestern and Central Bahamas"
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH
4,4%
8,8%
0,0%
0,0%
N/A,33
N/A,42
N/A,N/A
N/A,N/A
4,4%
8,8%
C,C.
A,A.
western Cuba to South Florida,"Western and central Cuba, Straits of Florida, South Florida and the Keys, Northwestern and Central Bahamas"
Cuba to Florida,"Western Cuba, Florida Keys and South Florida, Northwestern and Central Bahamas"
A,B.
A,B.
B,B.
"D. Port of Brunswick, GA",A.
Florida,"Western and central Cuba, Straits of Florida, South Florida and the Keys, Northwestern and Central Bahamas"
Gulf Coast,"Western Cuba, Florida Keys and South Florida, Northwestern and Central Bahamas"
42,10
72,24
16,24
None,60
B,D.
B,D.
B. 1-12 Hours,B.
A,B.
B,C.
C,C.
No,No
No,No
C,C.
B,B.
48,10
48,24
B. Start of heavy rainfall,B.
B,B.
B,A.
B,B.
C. Yes,D.
D,C.
Tornadoes are possible.,Isolated brief tornadoes possible in outer rain-bands
Tornadoes are possible,Brief squalls could create short-notice operational delays and reduced visibility.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 23,
    ""in 24h"": 25,
    ""in 48h"": 53,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '4%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 19,
    ""in 48h"": 19,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '8%', 'in 72h': '8%', 'in 96h': '8%'}"
29-10-2017,10/29/2017
30-10-2017,10/29/2017
30-10-2017,10/29/2017
30-10-2017,10/29/2017
01-11-2017,10/29/2017
01-11-2017,10/29/2017
5,2
3,2
3,2.0
3,2.0
4,1.0
13,1.0
B,B.
B,B.
