response,ground_truth
No,No
Yes,No
Yes,Yes
Yes.,No
Yes,Yes
B,A.
B,A.
A,A.
B. Tropical Storm,A.
A,A.
C. Hurricane,A.
C,A.
A,A.
A,A.
A,A.
Panama City to Altamaha Sound,Storm Surge Watch west of Shell Beach LA to the Mouth of the Mississippi River and east of Dauphin Island AL to Navarre FL
Panama City to Altamaha Sound,"None in effect west of Morgan City, LA"
None,Hurricane Watch from the mouth of the Pearl River to the Alabama-Florida border; Storm Surge Watch west of Shell Beach LA to the Mouth of the Mississippi River and east of the Mississippi-Alabama border to Navarre FL
None,"Tropical Storm Watch is posted from the AL/FL border westward to east of Morgan City, LA including Lake Pontchartrain and Lake Maurepas"
None,"Alabama–Florida border westward to east of Morgan City, Louisiana, including Lake Pontchartrain and Lake Maurepas"
Panama City to Ocean Isle Beach,Hurricane Warning mouth of Pearl River to AL-FL border; Storm Surge Warning Shell Beach LA to Dauphin Island AL; Tropical Storm Warning west of Pearl River to Grand Isle LA and AL-FL border to Okaloosa-Walton Co. line
None,"Hurricane Warning from mouth of the Pearl River to the Alabama-Florida border; Tropical Storm Warning east of Morgan City, LA to the AL/FL border"
None,Storm Surge Warning Shell Beach LA to Mississippi-Alabama border; Tropical Storm Warning Okaloosa-Walton County Line FL westward to east of Morgan City LA (including Lakes Pontchartrain and Maurepas) and South Florida/Keys
None,Storm Surge Watch from the MS/AL border westward to the Mouth of the Mississippi River
None,None
"28.1N, 86.2W","28.9N, 87.3W"
"26.7N, 83.4W","27.3N, 85.0W"
"25.1N, 80.7W","25.8N, 81.9W"
23.0N 77.8W,"24.0N, 79.4W"
"22.7N, 77.3W","22.7N, 77.3W"
WNW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
15,15 mph
17,17 mph
17,16 mph
15,15 mph
15,15 mph
Gulf Coast,"north-central Gulf Coast from southeast Louisiana through coastal Mississippi, Alabama, and the western Florida Panhandle"
Gulf Coast,North-central Gulf Coast from Louisiana-Texas border eastward to the Alabama-Florida border
Florida,"Florida Keys and peninsula, eastern Gulf of Mexico, central Gulf Coast from Louisiana through the western Florida Panhandle; minor surge potential to the Louisiana-Texas border"
Gulf Coast,Greatest impacts expected along the central Gulf Coast from the western Florida Panhandle to southeast Louisiana; lower impacts possible westward to the Louisiana-Texas border
"Louisiana
Mississippi
Alabama
Florida Panhandle",Central Gulf Coast from the western Florida Panhandle to southeast Louisiana with an inland track toward Arkansas/Oklahoma
GULFPORT MS,BATON ROUGE LA
GFMX 280N 890W,NEW IBERIA LA
Kountze TX,PORT ARTHUR TX
GFMX 280N 950W,PORT ARTHUR TX
GFMX 280N 930W,PORT ARTHUR TX
0,3%
0,3%
6,7%
12,12%
13,13%
0,0%
0,<3%
6,<3%
4,0%
3,3%
N/A,18
N/A,24
4,120
96,120
24,120
N/A,0
N/A,N/A
6,N/A
96,N/A
24,96
N/A,3%
N/A,1%
7,7%
12,12%
13,13%
"D. Tampa Port Authority, FL",A.
D,A.
B,A.
B,C.
"D. Port of Brunswick, GA",C.
Mouth of the Pearl River to the Alabama-Florida Border,"north-central Gulf Coast from southeast Louisiana through coastal Mississippi, Alabama, and the western Florida Panhandle"
Mouth of the Pearl River to the Alabama-Florida Border,North-central Gulf Coast from Louisiana-Texas border eastward to the Alabama-Florida border
Mouth of the Pearl River to the Alabama-Florida Border,"Florida Keys and peninsula, eastern Gulf of Mexico, central Gulf Coast from Louisiana through the western Florida Panhandle; minor surge potential to the Louisiana-Texas border"
Mississippi-Alabama border to the Mouth of the Mississippi River,Greatest impacts expected along the central Gulf Coast from the western Florida Panhandle to southeast Louisiana; lower impacts possible westward to the Louisiana-Texas border
"Alabama-Florida border to east of Morgan City, Louisiana",Central Gulf Coast from the western Florida Panhandle to southeast Louisiana with an inland track toward Arkansas/Oklahoma
B,B.
B. Tropical Storm,B.
B,B.
A,A.
A,A.
C,D.
C,D.
B,D.
D,B.
A,C.
Gulf Coast,"north-central Gulf Coast from southeast Louisiana through coastal Mississippi, Alabama, and the western Florida Panhandle"
Gulf Coast,North-central Gulf Coast from Louisiana-Texas border eastward to the Alabama-Florida border
Gulf Coast,"Florida Keys and peninsula, eastern Gulf of Mexico, central Gulf Coast from Louisiana through the western Florida Panhandle; minor surge potential to the Louisiana-Texas border"
Gulf Coast,Greatest impacts expected along the central Gulf Coast from the western Florida Panhandle to southeast Louisiana; lower impacts possible westward to the Louisiana-Texas border
Gulf Coast,Central Gulf Coast from the western Florida Panhandle to southeast Louisiana with an inland track toward Arkansas/Oklahoma
36,8
36,18
72,36
87,42
90,60
36,0
None,24
134,N/A
None,60
None,120
C,D.
D,D.
D,D.
C,D.
C,D.
B,A.
B,B.
B,A.
D,B.
B,C.
A,B.
D,B.
C. 24-48 hours,D.
D. 48 hours or more,D.
C. 24-48 hours,D.
No,No
No.,No
No.,No
No.,No
No.,No
D,A.
D. 48 hours or more,B.
C. 24-48 hours,C.
C,D.
C,D.
48,8
24,18
48,36
72,42
48,60
D,B.
D,C.
D.,B.
D,B.
D,B.
B,B.
B,B.
B,B.
B,A.
B,B.
B,B.
B,B.
B,B.
B,A.
B,B.
Rip currents are also a hazard.,None of operational significance expected at Port Arthur
Tornadoes.,"Elevated seas and rip currents in the near-shore approaches, but no major operational hazards expected"
Rip currents will pose a significant hazard.,"Marginal threat of isolated brief tornadoes in outer rain-bands if the track shifts west, but overall risk is low"
Tornadoes,Isolated brief tornadoes possible in outer rainbands if the center passes slightly farther west
Tornadoes,Elevated seas and swells near the Sabine Pass approaches could briefly disrupt pilot boarding and some cargo operations.
