response,ground_truth
No.,No
Yes,No
No,No
Yes,No
Yes.,Yes
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
A,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C,C.
B,A.
C,A.
C. Hurricane,A.
C,A.
C. Hurricane,C.
C,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,A.
None,"Woods Hole MA to Sagamore Beach MA, Nantucket & Martha's Vineyard, east of Bar Harbor ME to Eastport ME, Prince Edward Island, southwest Nova Scotia, Fundy National Park to Shediac, and portions of Newfoundland & Labrador"
New Haven to Eastport,"Hurricane Watch – Southwestern Nova Scotia, Prince Edward Island, Magdalen Islands, Southwestern Newfoundland; Tropical-Storm Watch – Fundy National Park to Shediac NB, parts of Newfoundland coast"
North Carolina to Maine,Hurricane Watch for Nova Scotia; Tropical Storm Watch from Prince Edward Island to parts of New Brunswick and Newfoundland
North Carolina to Connecticut,Hurricane Watch and Tropical Storm Watch areas now extend from the Mid-Atlantic coast north-eastward toward New England and Atlantic Canada.
North Carolina to Maine,No watches in effect south of Savannah River; watches begin north of North Carolina/Virginia border
North Carolina to Massachusetts,North of Ponte Vedra Beach FL to Savannah River
North Carolina to Massachusetts,North of Ponte Vedra Beach FL to Savannah River
North Carolina to Massachusetts,North of Ponte Vedra Beach FL to Savannah River
"Jupiter Inlet to Ponte Vedra Beach
North of Edisto Beach to South Santee River",North of Ponte Vedra Beach FL to South Santee River SC
None,"North of Ponte Vedra Beach, FL to South Santee River, SC (includes the Georgia coast)"
"Long Island, NY to Eastport, ME.",Eastern Nova Scotia from Lower East Pubnico to Brule and western Newfoundland from Indian Harbour to Hawke's Bay
Virginia to Maine,"Hurricane Warning – Eastern Nova Scotia Hubbards to Avonport; Tropical-Storm Warning – Woods Hole MA to Eastport ME, Nantucket & Martha’s Vineyard, Prince Edward Island, Southwestern Nova Scotia"
North Carolina to Massachusetts,Hurricane Warning Surf City NC to NC/VA border; Tropical Storm Warning North Carolina/Virginia border northward to Fenwick Island DE and portions of Chesapeake & coastal New England
North Carolina to Massachusetts,"Hurricane Warning from South Santee River, SC to the NC/VA border; Tropical Storm Warning from Edisto Beach, SC to South Santee River, SC and northward to Fenwick Island, DE, portions of Chesapeake Bay, the Tidal Potomac, and Cape Cod/Islands MA."
Florida to North Carolina,Hurricane Warning and Storm Surge Warning extend from Savannah River northward to the NC/VA border (including entire Georgia-South Carolina coast)
None,Flagler/Volusia County FL line to Savannah River (T.S. Warning); Hurricane Warning north of Savannah River
None,"Sebastian Inlet FL to Savannah River (tropical-storm warning), Hurricane warning begins just north of Savannah River"
Bahamas to New England,North of Ponte Vedra Beach FL to Savannah River (TS Wng); Jupiter Inlet FL to Surf City NC (Storm Surge Wng)
North Carolina to Massachusetts.,Lantana FL to Savannah River
"North of Deerfield Beach, Florida to the Volusia/Brevard County Line, Florida.","Storm Surge Warning: Lantana, FL to Altamaha Sound, GA; Hurricane Warning: Jupiter Inlet, FL to Ponte Vedra Beach, FL; Tropical Storm Warning: North of Deerfield Beach, FL to Jupiter Inlet, FL"
"39.7N, 68.1W","40.9N, 67.0W"
"36.9N, 72.7W","37.4N, 71.6W"
"34.6N, 76.2W","35.2N, 75.7W"
"33.1N, 78.5W","33.4N, 78.0W"
"31.7N, 79.5W","32.1N, 79.3W"
"30.2N, 79.8W","30.9N, 79.8W"
29.2N 79.5W,"29.5N, 79.6W"
"27.7N, 78.7W","28.1N, 78.8W"
"26.9N, 78.4W","27.1N, 78.4W"
"26.8N, 78.4W","26.8N, 78.4W"
NE,NE
NE,NE
NE,NE
NE,NE
N,NNE
NNW,N to NNW
NNW,NNW
NW,NW
Stationary,NW
WWN,Stationary
25,25 mph
24,24 mph
14,14 mph
10,10 mph
8,8 mph
9,8 mph
8,8 mph
6,6 mph
Stationary,1 mph
1,0-1 mph
Newfoundland and Labrador,Southeastern New England coast northward to Atlantic Canada
New England,"Southeastern New England, Nova Scotia, Prince Edward Island, Gulf of St. Lawrence and Newfoundland coasts"
New England,"North Carolina Outer Banks northward through the Mid-Atlantic and New England coast, then Atlantic Canada"
"North Carolina
Virginia
New England","Primary impact zone now Cape Fear, NC north-eastward through the Outer Banks, southeastern Virginia, and eventually New England coastal waters."
New England,"Georgia and South Carolina coasts, spreading northward through North Carolina"
"South Carolina
North Carolina",Southeast U.S. coast from northeast Florida through the Carolinas
"Carolina
Mid-Atlantic
New England
Atlantic Canada","Florida east coast, the entire Georgia coast, and South Carolina through North Carolina coasts"
"North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
New England
Nova Scotia",Entire southeast U.S. coastline from east-central Florida through Georgia and the Carolinas
"Florida

Georgia

South Carolina

North Carolina

Virginia

Maryland

New Jersey

New York

Connecticut",Entire southeast Atlantic coast from east-central Florida through Georgia and South Carolina
Florida,"Florida east coast, Georgia coast (including Savannah), South Carolina coast, then northward toward the Carolinas"
Nantucket MA,None
OCEANA NAS VA,CAPE HATTERAS NC
Wilmington NC,FLORENCE SC
SAVANNAH GA,SAVANNAH GA
WAYCROSS GA,SAVANNAH GA
KINGS BAY GA,SAVANNAH GA
Kings Bay GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
W PALM BEACH,SAVANNAH GA
"Kings Bay, GA",SAVANNAH GA
0,0%
"The Port of Savannah is not listed in the table, so the cumulative probability is 0%.",0%
99,3%
3,3%
4,6%
91,91%
84,84%
0.02,80%
5,55%
62,63%
0,0%
0,0%
99,0%
0,0%
4,<3%
19,21%
