response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
B. Tropical Storm,B.
B,B.
B,A.
A,A.
C,A.
C,A.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
B. Tropical Storm,B.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
A,A.
None,Watches confined to Prince Edward Island and the Magdalen Islands (Canada); none posted for the U.S. mid-Atlantic coast
None,
North Carolina to New Jersey,None
North Carolina to Massachusetts.,Hurricane Warning remains south of the NC/VA border; no watches in Virginia portion of coast
None,"North of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, Tidal Potomac south of Cobb Island, Woods Hole MA to Sagamore Beach MA, Nantucket and Martha’s Vineyard MA"
North Carolina to Massachusetts,"North of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, and the tidal Potomac south of Cobb Island"
North Carolina to Massachusetts,"North Carolina/Virginia border to Chincoteague VA, including Chesapeake Bay south of Smith Point"
North Carolina to Massachusetts,"North Carolina/Virginia border to Chincoteague VA, including Chesapeake Bay south of Smith Point"
"Cape Fear to Fenwick Island Inlet, to the North Carolina-Virginia border.",Hurricane Watch from north of Ponte Vedra Beach FL to South Santee River SC; Tropical Storm Watch north of Golden Beach FL to Deerfield Beach FL and Lake Okeechobee
None,Hurricane Watch: North of Deerfield Beach FL to Jupiter Inlet FL and North of Ponte Vedra Beach FL to South Santee River SC; Tropical Storm Watch: North of Golden Beach FL to Deerfield Beach FL and Lake Okeechobee
North Carolina to Massachusetts,Hurricane warnings for eastern Nova Scotia and portions of western Newfoundland; Tropical-storm warnings Woods Hole MA to Eastport ME
"Hatteras, NC to Woods Hole, MA.",
North Carolina to Massachusetts,"Tropical Storm Warning – North Carolina/Virginia border to Fenwick Island DE, including lower Chesapeake Bay; Storm Surge Warning – Salter Path NC to Poquoson VA including Hampton Roads"
North Carolina to Massachusetts,"Tropical Storm Warning from NC/VA border to Fenwick Island DE, including lower Chesapeake Bay; Storm Surge Warning Duck NC to Poquoson VA including Hampton Roads"
