response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes.,No
Yes.,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes.,No
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B. Tropical Storm,A.
B,A.
C. Hurricane,A.
B. Tropical Storm,A.
A,A.
A,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
C,A.
C,A.
B,A.
C. Hurricane,A.
B,A.
North Carolina to Maine,Hurricane Watch for Prince Edward Island and Magdalen Islands; Tropical Storm Watch none for U.S. coast
"New Haven, Connecticut to Westport, Massachusetts to Dennis, Massachusetts.",Tropical Storm Watch from Fundy National Park to Shediac and parts of Newfoundland
North Carolina to Connecticut.,"Hurricane Watch for Nova Scotia; Tropical Storm Watch for Prince Edward Island, Magdalen Islands, parts of New Brunswick and Newfoundland"
North Carolina to Massachusetts,"Tropical Storm Warning in effect from the NC/VA border to Fenwick Island DE, Chesapeake Bay south of Drum Point, Tidal Potomac south of Cobb Island, and portions of southern New England"
North Carolina to Maine.,North of Chincoteague VA to Fenwick Island DE; Chesapeake Bay from Smith Point to Drum Point; Tidal Potomac south of Cobb Island; Woods Hole MA to Sagamore Beach MA including Nantucket and Martha's Vineyard
"Hurricane: None
Tropical Storm: North Carolina to Delaware","Tropical Storm Watch from north of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, and the tidal Potomac south of Cobb Island"
"Cape Fear to Fenwick Island, DE to the North Carolina/Virginia border.","Tropical Storm Watch from NC/VA border northward to Chincoteague, VA and lower Chesapeake Bay (well south of New Jersey)."
None,"Tropical Storm Watch from the North Carolina/Virginia border to Chincoteague VA, including Chesapeake Bay south of Smith Point"
"Jupiter Inlet to the Flagler-Volusia County, FL border.",Hurricane Watch from north of Deerfield Beach FL to Jupiter Inlet FL and from north of Ponte Vedra Beach FL to South Santee River SC; Tropical Storm Watch north of Golden Beach FL to Deerfield Beach FL and Lake Okeechobee
Volusia-Brevard County to the South Santee River.,Hurricane and Tropical Storm watches extend from north of Deerfield Beach FL to South Santee River SC.
