response,ground_truth
Yes,No
Yes,No
Yes,No
Yes.,No
Yes,Yes
Yes,No
Yes,No
Yes,Yes
Yes,Yes
Yes,No
B,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
C. Hurricane,B.
B,A.
A,A.
B,A.
B. Tropical Storm,A.
A,A.
C. Hurricane,A.
B,A.
A,A.
B,A.
C,A.
B,A.
B,A.
B,A.
A,A.
A,A.
None,None in Massachusetts
North Carolina to Massachusetts.,"Hurricane watches from Avonport to Hubbards NS, Prince Edward Island, Magdalen Islands and part of Newfoundland"
North Carolina to Maine,"Tropical Storm Warning in effect for Woods Hole to Sagamore Beach MA, Nantucket and Martha's Vineyard MA"
North Carolina to New England,None in Massachusetts; watches confined to Mid-Atlantic coast
Voluntary to Duck,"Woods Hole MA to Sagamore Beach MA, including Nantucket and Martha’s Vineyard"
Charleston to Fenwick Island,
Savannah to Fenwick Island,"Storm Surge Watch north of Surf City NC to Poquoson VA including Hampton Roads, Pamlico/Albemarle Sounds, Neuse and Pamlico Rivers"
"Florida, NC Border to the North Carolina/Virginia border.",Tropical Storm Watch in effect from the NC/VA border to Chincoteague VA and Chesapeake Bay south of Smith Point
Charleston to Fenwick Island,"Storm-surge and tropical storm/hurricane watches extend from north of Deerfield Beach, FL to South Santee River, SC"
None,"Hurricane Watch from north of Deerfield Beach, FL to South Santee River, SC; Storm Surge Watch north of Deerfield Beach, FL to south of Lantana, FL and Altamaha Sound, GA to South Santee River, SC"
None,"Tropical Storm Warning from Woods Hole to Sagamore Beach MA, including Nantucket and Martha’s Vineyard; East of Bar Harbor to Eastport ME"
North Carolina to Maine,"Tropical Storm Warning from Woods Hole to Sagamore Beach MA, Nantucket & Martha’s Vineyard, and portions of eastern Maine; Hurricane Warning for eastern Nova Scotia"
North Carolina to Maine,"Hurricane Warning Surf City NC to NC/VA border; Tropical Storm Warning NC/VA border to Fenwick Island DE, lower Chesapeake Bay and Tidal Potomac"
North Carolina to Massachusetts,Tropical Storm Warning from Woods Hole to Sagamore Beach MA and for Nantucket & Martha’s Vineyard MA
None,None north of Virginia; hurricane warnings confined to SC–NC coastline
