response,ground_truth
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
B,A.
B,A.
A,B.
B. Tropical Storm,A.
B,A.
B,A.
B,A.
B,A.
None,No watches in effect along the Florida east coast
Jupiter Inlet to the Flagler/Volusia County Line.,Tropical Storm Watch issued from Jupiter Inlet to Flagler-Volusia County line (just north of the port)
None,"Jupiter Inlet to the Volusia-Brevard County line, Florida"
None,None in effect for Florida as of this advisory
North Miami Beach to Altamaha Sound,Tropical Storm Warning for the northwestern Bahamas excluding Andros Island
None,Tropical Storm Warning for the north-western Bahamas (excluding Andros Island)
None,Northwestern Bahamas excluding Andros Island
None,"Tropical Storm Warning for the north-western Bahamas (Abacos, Berry Islands, Bimini, Eleuthera, Grand Bahama Island, New Providence)"
"25.6N, 74.8W","25.6N, 75.2W"
"25.1N, 75.3W","25.0N, 74.5W"
"23.7N, 74.8W","23.8N, 74.5W"
"23.7N, 74.8W","23.7N, 74.8W"
NW,NW
NW,NW
NW,NW
NW,NW
8,6 mph
6,1 mph
8,2 mph
8,8 mph
"Florida, Georgia, South Carolina, North Carolina, Bermuda","Northwestern Bahamas and U.S. southeast coast from central Florida northward to South Carolina expected to experience gusty winds, heavy rain, dangerous surf and rip currents"
Florida,"Southeast and east-central Florida coastline, including Palm Beach County, then northward to the Georgia/South Carolina coasts"
Florida,"East coast of Florida from Jupiter Inlet northward toward Georgia and the Carolinas, and the northwestern Bahamas"
Florida,Atlantic coast of south-central Florida from West Palm Beach northward to around Daytona Beach likely to experience tropical-storm conditions
W PALM BEACH,W PALM BEACH FL
West Palm Beach,W PALM BEACH
WEST PALM BEACH FL,W PALM BEACH
WEST PALM BEACH FL,W PALM BEACH FL
15%,15%
34,34%
31,15%
16,36%
0,0%
0.05,5%
0.09,2%
3,9%
108,72
34,120
35,36
34,96
N/A,
3,120
48,48
3,72
15,15%
34,34%
35,15%
35,36%
C,C.
"D. Port of Palm Beach District, FL",D.
D,D.
"D. Port of Palm Beach District, FL",D.
Northwestern Bahamas to Central Florida Coast,"Northwestern Bahamas and U.S. southeast coast from central Florida northward to South Carolina expected to experience gusty winds, heavy rain, dangerous surf and rip currents"
Northwestern Bahamas to east coast of Florida,"Southeast and east-central Florida coastline, including Palm Beach County, then northward to the Georgia/South Carolina coasts"
Jupiter Inlet to Volusia-Brevard County line,"East coast of Florida from Jupiter Inlet northward toward Georgia and the Carolinas, and the northwestern Bahamas"
Northwestern Bahamas to east coast of central Florida,Atlantic coast of south-central Florida from West Palm Beach northward to around Daytona Beach likely to experience tropical-storm conditions
B,B.
A,A.
A. Tropical Depression,A.
C,D.
C,C.
C,C.
C,C.
Carolina,"Northwestern Bahamas and U.S. southeast coast from central Florida northward to South Carolina expected to experience gusty winds, heavy rain, dangerous surf and rip currents"
Gulf Coast,"Southeast and east-central Florida coastline, including Palm Beach County, then northward to the Georgia/South Carolina coasts"
Gulf Coast,"East coast of Florida from Jupiter Inlet northward toward Georgia and the Carolinas, and the northwestern Bahamas"
Gulf Coast,Atlantic coast of south-central Florida from West Palm Beach northward to around Daytona Beach likely to experience tropical-storm conditions
58,18
48,24
78,27
90,32
42,36
78,48
48,12
62,12
D,D.
C,D.
C,D.
D,D.
B,B.
B,C.
C,B.
B,C.
C,D.
C. 24-48 hours,D.
C. 24-48 hours,C.
C. 24-48 hours,D.
No,No
No.,Yes
Yes,No
Yes.,Yes
C,B.
B,B.
C. 24-48 hours,B.
C. 24-48 hours,C.
48,18
48,24
48,27
48,32
D,B.
B.,A.
B,A.
D,B.
B,B.
B,B.
B,B.
B,A.
D,B.
D,B.
C,B.
B,D.
Life-threatening surf and rip current conditions.,Dangerous surf and rip currents likely beginning late Saturday and continuing through Monday
The potential tropical cyclone may bring hazardous seas and rip currents to the Port of Palm Beach District.,Rough seas and hazardous marine conditions in and near the port approaches
Tornadoes,"Choppy seas and dangerous rip currents are expected ahead of and during the closest approach, impacting vessel movements and berth operations."
Rip currents.,High surf and dangerous rip currents along Palm Beach County beaches
