response,ground_truth
Yes,Yes
No.,Yes
Yes.,Yes
Yes,Yes
A,A.
B,A.
A,A.
A,A.
B. Tropical Storm,A.
A,A.
A,A.
A,A.
None,None
None,Jupiter Inlet northward to the Flagler-Volusia County line (east-central FL)
None,Tropical-storm watch in effect from Jupiter Inlet northward to the Volusia–Brevard County line (east-central Florida)
None,None
None,None
None,Northwestern Bahamas (excluding Andros Island)
Northwest Bahamas to Florida Panhandle,Tropical-storm warning for the north-western Bahamas (excluding Andros Island)
None,Tropical Storm Warning for the north-western Bahamas (excluding Andros Island)
"25.6N, 74.8W","25.6N, 75.2W"
"25.1N, 75.3W","25.0N, 74.5W"
"23.7N, 74.8W","23.8N, 74.5W"
"23.7N, 74.8W","23.7N, 74.8W"
NW,NW (320°)
NW,NW (305°)
NW,NW
NW,NW
8,6 mph
6,1 mph
8,2 mph
8,8 mph
"Florida
Georgia
South Carolina
North Carolina
Bermuda",Atlantic coast from central Florida northward through South Carolina
Florida,Florida east coast from Jupiter Inlet northward through Georgia and coastal South Carolina
Florida,"Entire Florida east coast, north-west Bahamas, southeast Georgia and eventually the Carolina coast"
"Florida, Georgia, South Carolina, North Carolina",East coast of Florida from West Palm Beach northward and the north-western Bahamas
MAYPORT NS FL,JACKSONVILLE
Mayport,JACKSONVILLE FL
Mayport NS (Jacksonville),JACKSONVILLE FL
GAINESVILLE,JACKSONVILLE FL
10%,10%
29,28%
29,27%
0.26,27%
0,0%
6,6%
5,6%
5,6%
80,72
39,120
23,72
52,120
N/A,N/A
72,120
120,72
60,120
10,10%
22,28%
29,22%
22,27%
"C. Jacksonville, FL",C.
C,C.
"D. Jacksonville, FL",D.
B,A.
Northwestern Bahamas to the East Coast of Florida,Atlantic coast from central Florida northward through South Carolina
Northwestern Bahamas to East coast of Florida,Florida east coast from Jupiter Inlet northward through Georgia and coastal South Carolina
Northwestern Bahamas to East-Central Florida,"Entire Florida east coast, north-west Bahamas, southeast Georgia and eventually the Carolina coast"
NORTHWESTERN BAHAMAS TO EAST COAST OF CENTRAL FLORIDA,East coast of Florida from West Palm Beach northward and the north-western Bahamas
B,B.
A,B.
A,A.
B,A.
D,A.
C,C.
D,B.
Gulf Coast,Atlantic coast from central Florida northward through South Carolina
Florida Gulf Coast,Florida east coast from Jupiter Inlet northward through Georgia and coastal South Carolina
Gulf Coast,"Entire Florida east coast, north-west Bahamas, southeast Georgia and eventually the Carolina coast"
Gulf Coast,East coast of Florida from West Palm Beach northward and the north-western Bahamas
48,36
72,36
72,36
117,45
48,24
None,24
66,48
None,24
C,D.
C,D.
D,D.
D,D.
B,B.
B,B.
B. 1-12 Hours,C.
C,B.
C,D.
C. 24-48 hours,D.
C. 24-48 hours,D.
B. 12-24 Hours,D.
No,No
No.,Yes
Yes.,Yes
Yes,Yes
C. 24-48 hours,C.
D. 48 hours or more,C.
C. 24-48 hours,C.
C. 24-48 hours,C.
72,36
42,36
72,36
72,45
D,B.
D,B.
B,B.
B,B.
B,B.
B,A.
B,B.
B,A.
A,B.
A,B.
D,B.
B,A.
Swell and rip currents,High surf and dangerous rip currents along area beaches impacting pilot operations and small-craft movements.
Tornadoes,"High surf, dangerous rip currents, and occasional squalls affecting vessel approaches"
Tornadoes,"Very rough seas, dangerous rip currents and lowered visibility for vessel traffic beginning late Saturday."
Tornadoes,"Rough seas, dangerous rip currents and occasional lightning in squalls may disrupt vessel traffic and cargo handling"
"```json
{
  ""Bermuda"": {
    ""12"": {
      ""34kt"": 0
    },
    ""12"": {
      ""34kt"": 0
    },
    ""24"": {
      ""34kt"": 0
    },
    ""48"": {
      ""34kt"": 0
    },
    ""72"": {
      ""34kt"": 2
    },
    ""96"": {
      ""34kt"": 27
    }
 29
    }
  },
  ""Grand Bahama"": {
    ""1"": {
      ""34kt"": 1
    },
    ""12"": {
      ""34kt"": 5
    },
    ""24"": {
      ""34kt"": 8
    },
    ""48"": {
      ""34kt"": 5
    },
    ""72"": {
      ""34kt"": 5
    },
    ""96"": {
      ""34kt"": 0
    }
  },
  ""New Providence"": {
    ""1"": {
      ""34kt"": 1
    },
    ""12"": {
      ""34kt"": 1
    },
    ""24"": {
      ""34kt"": 2
    },
    ""48"": {
      ""34kt"": 2
    },
    ""72"": {
      ""34kt"": 2
    },
    ""96"": {
      ""34kt"": 0
    }
  },
  ""New Providence"": {
    ""1"": {
      ""34kt"": 0
    },
    ""12"": {
      ""34kt"": 0
    },
    ""24"": {
      ""34kt"": 0
    },
    ""48"": {
      ""34kt"": 0
    },
    ""72"": {
      ""34kt"": 0
    },
    ""96"": {
      ""34kt"": 0
    }
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '9%', 'in 96h': '10%'}"
