response,ground_truth
Yes,Yes
Yes,No
Yes,No
No.,No
A,A.
B,A.
B,A.
A,A.
A,A.
B,A.
A,A.
A,A.
None,Tropical-storm watch/warning confined to Navarre FL to Yankeetown FL (Gulf Coast)
None,None
Florida Big Bend to South Santee River.,none in Mid-Atlantic; tropical-storm and storm-surge watches limited to Gulf Coast
None,"Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River (tropical-storm watch areas east of the Ochlockonee River to Yankeetown, FL)"
None,Tropical-storm warning Navarre FL to Yankeetown FL; Storm-surge warning Indian Pass FL to Clearwater Beach FL
None,"Tropical Storm Warning from the Mississippi/Alabama border to Yankeetown, FL and from Grand Isle, LA to the Mouth of the Pearl River; Storm Surge Warning Indian Pass, FL to Clearwater Beach, FL"
None,"Tropical-storm warning: Mississippi/Alabama border to Yankeetown, FL and Grand Isle, LA to Mouth of Pearl River; Storm-surge warning: Indian Pass, FL to Clearwater Beach, FL"
None,"Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River (tropical-storm warnings); Indian Pass to Clearwater Beach, FL (storm-surge watch)"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","24.1N, 93.2W"
"22.4N, 95.7W","22.4N, 95.7W"
NE,NE
NE,NE
NE,NE
N,N
22,20 mph
21,22 mph
9,12 mph
8,7 mph
"Carolinas, Mid-Atlantic","Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
Southeast,"Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
"Florida
Georgia
Carolinas
Virginia
New England","northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
"Florida
North Carolina
South Carolina
Georgia
Virginia","Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
"Norfolk, VA",NORFOLK VA
"My apologies, but Baltimore, MD is not included in the provided table. Therefore, there is no closest weather forecast location for Baltimore, MD listed here.",OCEAN CITY MD
"There is no Baltimore, MD in the table.",OCEAN CITY MD
"There is no Baltimore, MD in the table.",ANNAPOLIS MD
0,6%
0,5%
0,7%
0,3%
0,0%
0,0%
0,0%
"The provided data does not include information for Baltimore, MD. Therefore, it is not possible to determine the cumulative probability of 50-kt wind arrival at Baltimore, MD within the next 5 days based on the given data.",0%
0,48
0,72
0,96
0,96
0,N/A
0,N/A
0,N/A
0,
0,6%
0,3%
"The data provided does not include information for Baltimore, MD. Therefore, I cannot provide the peak 34-kt wind probability for Baltimore, MD.",7%
"The data provided does not include information for Baltimore, MD. Therefore, it is not possible to determine the peak 34-kt wind probability for Baltimore, MD from the given data.",3%
D,A.
"C. Port of Brunswick, GA",A.
B,D.
B,C.
Panama City to Navarre,"Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
Florida panhandle to Georgia coast,"Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
Mississippi/Alabama border to Yankeetown Florida,"northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
Mississippi coast to Florida's Big Bend,"Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
B,B.
B,B.
A. Tropical Depression,B.
B,C.
C,C.
B,A.
B,C.
Gulf Coast,"Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
Gulf Coast,"Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
Gulf Coast,"northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
Georgia Coast,"Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
45,6
36,12
42,24
72,33
None,48
57,72
78,96
None,96
C,D.
C,D.
C,D.
C,D.
B,B.
B,C.
C,C.
B,B.
"The provided data does not include information for Baltimore, MD. Therefore, the question cannot be answered based on the given data.",C.
"The data provided does not include information for Baltimore, MD. Therefore, it is impossible to determine the highest 34-kt wind probability for Baltimore, MD based on the given data.",D.
"The provided data does not include information for Baltimore, MD. Therefore, it is not possible to determine the highest 34-kt wind probability for Baltimore, MD from the given data.",D.
"The provided data does not include information for Baltimore, MD. Therefore, the question cannot be answered with the given data.",D.
No.,No
No.,No
No.,No
No.,No
C. 24-48 hours,C.
D. 48 hours or more,C.
D. 48 hours or more,D.
D,D.
72,6
48,12
48,24
48,33
D,B.
D,B.
D,B.
D,B.
B,B.
B,B.
B,B.
B,B.
A,B.
B,B.
B,B.
A,B.
Rip Currents,Brief reduced visibility in heavy rain bands; elevated seas and short-period swell on approaches to Chesapeake Bay may affect pilot boarding operations
Tornadoes are possible.,None
Tornadoes can occur.,Rough bay/near-shore seas and minor tidal flooding possible in the Chesapeake Bay
Tornadoes,Elevated seas and minor coastal flooding/rip currents along Maryland beaches; brief marine squalls possible in outer rain bands.
"```json
{
  ""12_hours"": 90,
  ""24_hours"": 93,
  ""48_hours"": 98,
  ""72_hours"": 98,
  ""96_hours"": 95
}
```","{'in 12h': '<1%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""12_hours"": 100,
  ""24_hours"": 100,
  ""48_hours"": 55,
  ""72_hours"": 5,
  ""96_hours"": 0
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '3%', 'in 96h': '1%'}"
"```json
{
  ""12 hours"": 11,
  ""24 hours"": 48,
  ""48 hours"": 48,
  ""72 hours"": 39,
  ""96 hours"": 67
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '5%', 'in 96h': '2%'}"
"```json
{
  ""12_hours"": {
    ""location"": ""GFMX 280N 890W"",
    ""probability"": 1
  },
  ""24_hours"": {
    ""locations"": [""GFMX 280N 890W"", ""GFMX 280N 910W"", ""PENSACOLA FL"", ""WHITING FLD FL"", ""MOBILE AL""],
    ""probability"": 1
  },
  ""48_hours"": {
    ""locations"": [""GFMX 280N 890W"", ""GFMX 280N 910W"", ""PENSACOLA FL"", ""WHITING FLD FL"", ""MOBILE AL"", ""GULFPORT MS"", ""BIRMINGHAM AL"", ""MONTGOMERY AL""],
    ""probability"": 1
  },
  ""72_hours"": {
    ""locations"": [""GFMX 280N 890W"", ""GFMX 280N 910W"", ""PENSACOLA FL"", ""WHITING FLD FL"", ""MOBILE AL"", ""GULFPORT MS"", ""BURAS LA"", ""BIRMINGHAM AL"", ""MONTGOMERY AL""],
    ""probability"": 1
  },
  ""96_hours"": {
    ""locations"": [""GFMX 280N 890W"", ""GFMX 280N 910W"", ""PENSACOLA FL"", ""WHITING FLD FL"", ""MOBILE AL"", ""GULFPORT MS"", ""BURAS LA""],
    ""probability"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '1%', 'in 96h': '2%'}"
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,10/17/2019
,2
,2
,2
,2
,2.0
,2.0
,2.0
,2.0
,0.638199857
,0.638199857
,0.638199857
,0.638199857
,C.
,C.
,C.
,C.
