response,ground_truth
Yes,No
Yes,No
Yes,No
Yes.,No
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
None,
None,N/A
None,"Tropical Storm Warning: Mississippi/Alabama border to Yankeetown, FL and Grand Isle, LA to the Mouth of the Pearl River"
None,"Tropical Storm Watch east of the Ochlockonee River to Yankeetown, FL (Big Bend Gulf Coast)"
None,Tropical Storm Warning on the Gulf coast from Navarre FL to Yankeetown FL (not including Port Canaveral)
None,Mississippi/Alabama border to Yankeetown FL (Gulf side) and Grand Isle LA to the Mouth of the Pearl River
None,"Storm Surge Warning: Indian Pass, FL to Clearwater Beach, FL (Gulf side)"
None,"Tropical Storm Warning Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","24.1N, 93.2W"
"22.4N, 95.7W","22.6N, 95.5W"
NE,NE
NE,NE
NE,NE
N,N
22,20 mph
21,22 mph
9,12 mph
8,7 mph
North Carolina,"Florida Panhandle and Big Bend, then Atlantic coast from northern Florida through the Carolinas"
"Gulf Coast, Southeastern United States, Mid-Atlantic","Northern Gulf Coast from Louisiana to Florida Panhandle, then inland across GA/SC/NC"
"Gulf Coast, Southeastern United States","Northern Gulf Coast from Louisiana to the Florida Panhandle, then inland across GA/SC and offshore of the Carolinas"
"Florida

Georgia

South Carolina

North Carolina

Mid-Atlantic","Northern Gulf Coast from Louisiana to the Florida Panhandle, then inland across GA/SC to the Carolinas and western Atlantic"
Cocoa Beach FL,COCOA BEACH FL
Patrick AFB,COCOA BEACH FL
DAYTONA BEACH,DAYTONA BEACH FL
Cape Canaveral,COCOA BEACH FL
0,3%
0.04,6%
0,3%
