response,ground_truth
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,"Surf City NC to Duck NC; Pamlico and Albemarle Sounds (Tropical Storm Warning only, no separate watch issued)"
North Carolina to New England,None in effect
Volusia-Brevard County Florida line to Altamaha Sound Georgia.,"Surf City to Duck, NC including Pamlico and Albemarle Sounds"
Volusia-Brevard County Florida to South Santee River South Carolina.,Surf City NC to Duck NC including Pamlico and Albemarle Sounds
None,Surf City NC to Duck NC; Pamlico and Albemarle Sounds
None,"Surf City NC to Duck NC, including Pamlico and Albemarle Sounds"
None,None in effect as of this advisory
North Carolina to Massachusetts,None
"31.8N, 77.0W","32.4N, 76.9W"
"30.3N, 77.4W","30.5N, 77.4W"
"28.9N, 77.9W","29.4N, 77.7W"
"28.4N, 78.6W","28.4N, 78.6W"
NNE,NNE
NNE,NNE
NE,NNE
NNE,NNE
9,10 mph
9,9 mph
14,13 mph
13,13 mph
North Carolina,Coastal North Carolina and adjacent Atlantic waters; outer coastal waters from South Carolina northward to Mid-Atlantic likely experience elevated seas and surf
"North Carolina, Virginia, Maryland, Delaware, New Jersey","Atlantic coastline from northeast Florida through the Carolinas, with greatest impact expected along the North Carolina Outer Banks"
North Carolina,Atlantic coast from central/northern Florida northward to the mid-Atlantic states
Carolinas,Atlantic coastline from east-central Florida northward to the Mid-Atlantic states
BERMUDA,MYRTLE BEACH SC
Bermuda,None (no wind-probability site near Tampa in table)
CAPE HATTERAS,None (Tampa not listed in probability table; nearest sites are on the Atlantic Coast)
CAPE HATTERAS,None
X,3%
0,0%
0,0%
X,0%
0,0%
0,0%
0,0%
0,0%
N/A,36
N/A,
N/A,N/A
N/A,N/A
N/A,None
N/A,
N/A,N/A
N/A,N/A
N/A,3%
N/A,0%
N/A,0%
N/A,0%
"C. Port of Brunswick, GA",B.
D,B.
D,B.
"C. Tampa Port Authority, FL",C.
Outer Banks of North Carolina to North Carolina's Currituck Beach Lighthouse,Coastal North Carolina and adjacent Atlantic waters; outer coastal waters from South Carolina northward to Mid-Atlantic likely experience elevated seas and surf
Surf City to Duck NC,"Atlantic coastline from northeast Florida through the Carolinas, with greatest impact expected along the North Carolina Outer Banks"
Surf City to Duck NC,Atlantic coast from central/northern Florida northward to the mid-Atlantic states
Surf City to Duck,Atlantic coastline from east-central Florida northward to the Mid-Atlantic states
B,B.
B. Tropical Storm,B.
B,B.
A,A.
B,A.
D,D.
"C. Tampa Port Authority, FL",C.
C,D.
Carolina Coast,Coastal North Carolina and adjacent Atlantic waters; outer coastal waters from South Carolina northward to Mid-Atlantic likely experience elevated seas and surf
Carolina coast,"Atlantic coastline from northeast Florida through the Carolinas, with greatest impact expected along the North Carolina Outer Banks"
