response,ground_truth
Yes,No
No,No
Yes,No
Yes,No
B,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
A,A.
None,None in effect north of Surf City NC
None,Tropical-storm watches not in effect for the mid-Atlantic coast at this time
Savannah to Cape Hatteras,"Surf City to Duck NC, including Pamlico and Albemarle Sounds"
Volusia-Brevard county line to Cape Fear.,"Surf City to Duck, NC including Pamlico and Albemarle Sounds"
North Carolina to New Jersey,"Tropical Storm Warning from Surf City to Duck NC, including Pamlico and Albemarle Sounds"
None,"Tropical Storm Warning from Surf City to Duck, NC including Pamlico and Albemarle Sounds"
None,None (a Tropical Storm Warning may be required for parts of the NC coast Sunday morning)
None,None
"31.8N, 77.0W","32.4N, 76.9W"
"30.3N, 77.4W","30.5N, 77.4W"
"28.9N, 77.9W","29.4N, 77.7W"
"28.4N, 78.6W","28.4N, 78.6W"
NNE,NNE
NNE,NNE
NE,NNE
NNE,NNE
9,10 mph
9,9 mph
14,13 mph
13,13 mph
North Carolina,North Carolina coast and Outer Banks; long-period swells spreading to the entire U.S. Mid-Atlantic shoreline
"North Carolina
New England",Coastal North Carolina (Surf City through Outer Banks) with swell and rip-current impacts spreading northward along the mid-Atlantic coast
Carolina,"Swells and fringe tropical-storm conditions possible from east-central Florida northward to the Mid-Atlantic coast, with greatest impacts along the North Carolina coast."
Carolinas,Florida east-central coast northward through the Carolinas and the broader southeast & mid-Atlantic shoreline
CAPE HENLOPEN,OCEAN CITY MD
CAPE HENLOPEN,OCEAN CITY MD
"ANNAPOLIS, MD","PAX RIVER NAS, MD"
CAPE HATTERAS,PAX RIVER NAS
0,9%
12,13%
0,3%
0,3%
0,0%
0,0%
0,0%
0,0%
N/A,6–12
N/A,36
N/A,96
N/A,96
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,4%
N/A,5%
N/A,3%
N/A,3%
"A. Port of Brunswick, GA",C.
C,B.
C,A.
"C. Port of Brunswick, GA",B.
Cape Hatteras to Duck,North Carolina coast and Outer Banks; long-period swells spreading to the entire U.S. Mid-Atlantic shoreline
Surf City North Carolina to Duck North Carolina,Coastal North Carolina (Surf City through Outer Banks) with swell and rip-current impacts spreading northward along the mid-Atlantic coast
Surf City to Duck,"Swells and fringe tropical-storm conditions possible from east-central Florida northward to the Mid-Atlantic coast, with greatest impacts along the North Carolina coast."
Surf City to Duck,Florida east-central coast northward through the Carolinas and the broader southeast & mid-Atlantic shoreline
B,B.
B,B.
B. Tropical Storm,B.
A,A.
A,D.
C,D.
A,B.
"C. South Jersey Port Corp, NJ",D.
Carolinas Coast,North Carolina coast and Outer Banks; long-period swells spreading to the entire U.S. Mid-Atlantic shoreline
