response,ground_truth
No,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No.,Yes
No,Yes
A,A.
B. Tropical Storm,A.
A,A.
A,C.
B. Tropical Storm,C.
A,C.
A,A.
A,B.
A,A.
B,B.
A,B.
A,B.
A,B.
A,B.
A,A.
A,A.
A,A.
A,A.
None,"Tropical Storm Watch from Baffin Bay to Port Aransas, TX"
None,None in effect for the upper Texas coast; watches remain farther south from Baffin Bay to Port Aransas.
None,"Baffin Bay to Port Aransas, TX (Tropical Storm Watch)"
Morgan City to Ocean Springs,Port Aransas TX to High Island TX (Hurricane); south of Port Aransas to the Mouth of the Rio Grande (Tropical Storm)
None,Port Aransas TX to High Island TX
"Morgan City, Louisiana to Ocean Springs, Mississippi","Port Aransas, TX to High Island, TX (hurricane); Port Mansfield, TX to High Island, TX including Galveston Bay (storm-surge)"
None,None issued as of Advisory #4
None,Texas coast from Port Mansfield northward to High Island (yellow shading on graphic)
None,None
None,"Tropical Storm Warning from Port Aransas, TX to Morgan City, LA; Storm Surge Warning from Port Aransas, TX to Sabine Pass, TX including Galveston Bay"
None,"Tropical Storm Warning from Port Aransas, TX to Morgan City, LA; Storm-Surge Warning from Port Aransas, TX to Rockefeller Wildlife Refuge, LA including Galveston Bay"
None,"Port Aransas, TX to Morgan City, LA for TS winds; Port Aransas, TX to Rockefeller Wildlife Refuge, LA for storm surge"
None,Port Aransas TX to Morgan City LA (Tropical Storm); Port Aransas TX to Rockefeller Wildlife Refuge LA including Galveston Bay (Storm Surge)
None,Port Aransas TX to Intracoastal City LA
None,None at this time
None,None issued as of Advisory #4
None,None
None,None
"27.8N, 95.5W","28.1N, 96.0W"
"27.6N, 94.1W","27.6N, 94.8W"
"27.1N, 92.8W","27.6N, 93.6W"
"26.7N, 92.2W","26.9N, 92.4W"
"26.5N, 92.4W","26.6N, 92.7W"
"25.5N, 92.3W","25.8N, 92.2W"
"23.8N, 93.9W","23.8N, 93.9W"
