response,ground_truth
No,No
A,A.
A,A.
None,None issued
None,None issued
"32.6N, 76.5W","32.6N, 76.5W"
NE,NE
12,12 mph
Bermuda,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
BERMUDA,CAPE HATTERAS NC
Not Available,0%
0,0%
N/A,N/A
N/A,N/A
N/A,0%
B,D.
North Carolina to Virginia,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
A,A.
D,A.
New England,Outer Banks of North Carolina and offshore waters of the western Atlantic toward Bermuda
66,N/A
None,0
D,D.
A,A.
A,A.
No,No
D. 48 hours or more,A.
72,N/A
D,D.
B,B.
B,B.
Rip currents and rough surf are likely hazards.,None anticipated that would affect port operations.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 2,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
03-09-2020,8/31/2020
03-09-2020,8/31/2020
05-09-2020,8/31/2020
2,2
0,2.0
None,0.469300476
A. None,B.
