response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,B.
B,B.
B,A.
A,A.
A,A.
B,B.
A,A.
B,A.
A,A.
A,A.
A,A.
Florida to North Carolina,No tropical storm or hurricane watch in effect for the west-central Florida coast at this time
"Savannah, GA to Cape Hatteras, NC",North of Bonita Beach to the Ochlockonee River FL (tropical-storm); Anclote River FL to Indian Pass FL (storm-surge)
Florida to North Carolina,"North of Bonita Beach to the Ochlockonee River, FL (west coast of Florida including Tampa Bay)"
Florida to North Carolina,"Hurricane Watch from the Volusia/Brevard County line southward to Hallandale Beach, FL; Storm Surge Watch North Palm Beach to Hallandale Beach"
Florida to Bahamas,Hurricane Watch from the Volusia/Brevard County Line south to Hallandale Beach FL including Lake Okeechobee; Tropical Storm Watch from Altamaha Sound GA south to Volusia/Brevard County Line and Hallandale Beach to north of Ocean Reef; Storm Surge Watch Altamaha Sound GA to Hallandale Beach FL
25N to 35N,"Tropical Storm Watch in effect for the northwestern Bahamas (Andros Island, New Providence, Eleuthera, Abacos, Berry Islands, Grand Bahama Island, Bimini)."
Miami to Jacksonville,"Tropical Storm Warning – north of Bonita Beach to Indian Pass, including Tampa Bay; Storm Surge Warning – Anclote River to Ochlockonee River, including Tampa Bay"
Savannah to Cape Hatteras,None affecting the west-central Florida coast at this time
Florida to North Carolina,None
Miami to Bahamas,Tropical Storm Warning Hallandale Beach FL to Altamaha Sound GA; Storm Surge Warning North Palm Beach FL to Altamaha Sound GA including lower St. Johns River; Hurricane Warning for north-western Bahamas
Florida to Bahamas,None at present
5 AM Mon to 2 AM Fri,None at this advisory.
"26.5N, 76.7W","26.5N, 76.7W"
"27.1N, 74.8W","27.1N, 74.8W"
"27.8N, 72.7W","27.8N, 72.7W"
"27.0N, 71.1W","27.0N, 71.1W"
"26.3N, 69.6W","26.3N, 69.6W"
"25.5N, 68.5W","25.5N, 68.5W"
W,W
WSW,WSW
W,W
NW,NW
NW,NW
NNW,NNW
12,12 mph
10,10 mph
9,9 mph
8,8 mph
9,9 mph
14,14 mph
Florida,"Much of the Florida Peninsula (both east and west coasts), Georgia coast, and portions of the Carolinas"
New England,"Central and northern Florida Peninsula and Florida Gulf coast, including Tampa Bay and adjacent counties"
Florida,"Much of the Florida Peninsula – hurricane conditions possible along the east coast (Boca Raton to Flagler/Volusia), tropical-storm conditions possible along the west coast from Bonita Beach northward including Tampa Bay, and storm-surge areas from Anclote River to Suwannee River"
Florida,"Northwestern Bahamas, Florida east coast, portions of the Florida peninsula (including central Gulf coast), and southeastern U.S. coast up through the Carolinas"
Florida,"North-western Bahamas, entire Florida Peninsula (both east and west coasts), south-east Georgia and portions of the south-east U.S. coast"
Florida,"Northwestern Bahamas, the entire Florida Peninsula (both east and west coasts), and the southeastern U.S. coast to the Carolinas."
Tampa FL,TAMPA FL
CEDAR KEY FL,TAMPA FL
CEDAR_KEY_FL,TAMPA FL
FT MYERS FL,TAMPA FL
FTMY,TAMPA FL
FT MYERS FL,TAMPA FL
67,67%
100,53%
100,53%
6,59%
1,46%
3,43%
2,16%
0,18%
0,17%
19,22%
1,13%
1,10%
11,36
34,30
12,96
34,72
34,120
34,120
16,36
18,30
17,96
2,72
2,120
1,96
67,67%
1,25%
1,53%
6,40%
2,46%
3,43%
B,B.
D,D.
B,B.
B,A.
D,B.
B,A.
Florida,"Much of the Florida Peninsula (both east and west coasts), Georgia coast, and portions of the Carolinas"
Florida,"Central and northern Florida Peninsula and Florida Gulf coast, including Tampa Bay and adjacent counties"
Boca Raton to Flagler/Volusia County Line Florida,"Much of the Florida Peninsula – hurricane conditions possible along the east coast (Boca Raton to Flagler/Volusia), tropical-storm conditions possible along the west coast from Bonita Beach northward including Tampa Bay, and storm-surge areas from Anclote River to Suwannee River"
Northwest Bahamas,"Northwestern Bahamas, Florida east coast, portions of the Florida peninsula (including central Gulf coast), and southeastern U.S. coast up through the Carolinas"
Hallandale Beach,"North-western Bahamas, entire Florida Peninsula (both east and west coasts), south-east Georgia and portions of the south-east U.S. coast"
northwestern Bahamas,"Northwestern Bahamas, the entire Florida Peninsula (both east and west coasts), and the southeastern U.S. coast to the Carolinas."
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,D.
B,C.
B,D.
A,C.
B,B.
A,C.
Florida,"Much of the Florida Peninsula (both east and west coasts), Georgia coast, and portions of the Carolinas"
New England,"Central and northern Florida Peninsula and Florida Gulf coast, including Tampa Bay and adjacent counties"
Florida,"Much of the Florida Peninsula – hurricane conditions possible along the east coast (Boca Raton to Flagler/Volusia), tropical-storm conditions possible along the west coast from Bonita Beach northward including Tampa Bay, and storm-surge areas from Anclote River to Suwannee River"
Florida,"Northwestern Bahamas, Florida east coast, portions of the Florida peninsula (including central Gulf coast), and southeastern U.S. coast up through the Carolinas"
Florida,"North-western Bahamas, entire Florida Peninsula (both east and west coasts), south-east Georgia and portions of the south-east U.S. coast"
Florida,"Northwestern Bahamas, the entire Florida Peninsula (both east and west coasts), and the southeastern U.S. coast to the Carolinas."
120,12
120,36
120,36
120,48
176,60
120,72
12,24
120,48
12,45
12,45
12,24
120,96
C,D.
D,D.
D,D.
D,D.
D,D.
C,D.
D,C.
D,B.
D,C.
D,B.
D,B.
D,C.
D,C.
C,C.
C,D.
C,D.
C,D.
C,D.
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
D,B.
C. 24-48 hours,B.
C. 24-48 hours,C.
C,C.
D,C.
B,C.
12,12
24,36
24,36
36,48
48,60
48,72
C,A.
A,A.
C,A.
C,A.
C,A.
B,A.
C,B.
C,A.
C,B.
B,B.
B,A.
B,D.
B,C.
B,C.
B,C.
B,C.
Tsunami warnings may be issued if the storm approaches the coast.,"Elevated risk of isolated tornadoes and dangerous marine conditions (high surf, rip currents) during the storm passage."
