response,ground_truth
No,Yes
No,Yes
A,B.
A,B.
A,A.
A,A.
Galveston to Freeport,"Port O'Connor to Sargent, Texas"
Galveston to Freeport,"Port O'Connor to Sargent, Texas"
Galveston to Louisiana,"Mouth of the Rio Grande to Port O'Connor, Texas"
Galveston to Freeport,"Mouth of the Rio Grande to Port O'Connor, Texas"
"25.2N, 91.6W","25.2N, 91.6W"
"25.0N, 89.9W","25.0N, 89.9W"
W,W
W,W
18,18 mph
16,16 mph
Louisiana,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
Louisiana,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
MATAGORDA TX,PORT O CONNOR
MATAGORDA TX,PORT O CONNOR TX
3,7%
0,9%
0,<1%
0,0%
72,24
N/A,18
N/A,N/A
N/A,N/A
N/A,7%
N/A,8%
D,D.
B,B.
Port O'Connor,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
Port O'Connor to Sargent,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
A,A.
B,A.
B,C.
B,C.
Texas,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
Texas,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
36,20
36,24
12,N/A
12,N/A
C,B.
C,D.
D,B.
D,B.
D,B.
B,B.
No,No
No,No
B,B.
D,B.
12,20
24,24
B,B.
B,A.
B,C.
B,B.
D,A.
C,C.
Tornadoes are possible across south Texas on Tuesday.,Dangerous surf and rip currents; isolated tornadoes possible in rainbands Tuesday.
"Large swells generated by the disturbance will affect portions of southern Texas tonight through Tuesday, posing life-threatening surf and rip current conditions.",Dangerous surf and rip currents along nearby barrier islands; minor coastal flooding during high-tide cycles.
"{
  ""gale_probability"": {
    ""in 12h"": ""6"",
    ""in 24h"": ""7"",
    ""in 48h"": ""7"",
    ""in 72h"": ""7"",
    ""in 96h"": ""7""
  }
}","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '7%', 'in 72h': '7%', 'in 96h': '7%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""8"",
    ""in 24h"": ""9"",
    ""in 48h"": ""9"",
    ""in 72h"": ""5"",
    ""in 96h"": ""3""
  }
}","{'in 12h': '0%', 'in 24h': '8%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
22-08-2023,None
22-08-2023,None
26-08-2023,None
21-08-2023,None
26-08-2023,None
26-08-2023,None
5,0
5,0
5,None
5,None
34,None
3,None
A. None,A.
A. None,A.
