response,ground_truth
No,Yes
No,Yes
B,A.
A,A.
A,B.
A,B.
Galveston to Freeport,"Port O'Connor to Sargent, Texas"
Galveston to Freeport,"Port O'Connor to Sargent, Texas"
Galveston to Louisiana,"Mouth of Rio Grande to Port O'Connor, Texas"
Galveston to Freeport,"Mouth of Rio Grande to Port O'Connor, Texas"
"25.2N, 91.6W","25.2N, 91.6W"
"25.0N, 89.9W","25.0N, 89.9W"
W,W
W,W
18,18 mph
16,16 mph
Louisiana,Lower and middle Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
Louisiana,South Texas coast from the Rio Grande northward to Matagorda Bay
GFMX 250N 960W,BROWNSVILLE TX
BROWNSVILLE TX,BROWNSVILLE TX
60,6%
34,3%
8,0%
3,0%
6,24
36,24
48,N/A
24,N/A
6,6%
3,3%
C,C.
B,C.
Port O'Connor,Lower and middle Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
Port O'Connor,South Texas coast from the Rio Grande northward to Matagorda Bay
A,A.
B,B.
D,D.
D,D.
Texas,Lower and middle Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
Texas,South Texas coast from the Rio Grande northward to Matagorda Bay
36,20
36,21
12,0
12,12
C,B.
C,B.
D,B.
D,B.
D,B.
B,B.
No,No
No,No
B,B.
B,B.
12,20
24,21
B,A.
B,A.
B,B.
B,D.
C,C.
C,C.
Tornadoes are possible across south Texas on Tuesday.,Isolated tornadoes and dangerous rip currents
Large swells generated by the disturbance will affect portions of southern Texas tonight through Tuesday.,High surf and dangerous rip currents beginning Monday night.
"{
  ""gale_probability"": {
    ""in 12h"": ""6"",
    ""in 24h"": ""7"",
    ""in 48h"": ""7"",
    ""in 72h"": ""7"",
    ""in 96h"": ""7""
  }
}","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""8"",
    ""in 24h"": ""9"",
    ""in 48h"": ""9"",
    ""in 72h"": ""5"",
    ""in 96h"": ""3""
  }
}","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
22-08-2023,8/18/2023
22-08-2023,8/18/2023
22-08-2023,8/18/2023
22-08-2023,8/18/2023
26-08-2023,8/18/2023
12-08-2023,8/18/2023
5,3
5,3
5,3.0
5,3.0
6,0.664077548
3,0.664077548
B,B.
A. None,B.
