response,ground_truth
No,No
No,No
No,No
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None
None,None
None,None
None,None
None,None
None,None
"40.1N, 63.3W","41.4N, 61.3W"
"38.1N, 66.9W","38.9N, 64.9W"
"37.4N, 68.1W","37.4N, 68.1W"
NE,NE
NE,ENE
NE,NE
20,21 mph
17,20 mph
15,15 mph
Maine,South-central to eastern Nova Scotia and southeastern Newfoundland
Maine,Waters and coasts from southeastern New England northeastward to Nova Scotia and southern Newfoundland
New England,"Offshore waters east of the Mid-Atlantic, southern New England coast, Nova Scotia, and Newfoundland"
CAPE RACE NFLD,None
SYDNEY NS,None (probability <1%)
SYDNEY NS,None
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,0
N/A,N/A
N/A,
N/A,0
N/A,N/A
N/A,
N/A,0%
N/A,0%
N/A,0%
D,B.
B,C.
D,B.
None,South-central to eastern Nova Scotia and southeastern Newfoundland
Nova Scotia,Waters and coasts from southeastern New England northeastward to Nova Scotia and southern Newfoundland
None,"Offshore waters east of the Mid-Atlantic, southern New England coast, Nova Scotia, and Newfoundland"
B,B.
B,B.
B,B.
B,C.
A,B.
B,A.
Florida,South-central to eastern Nova Scotia and southeastern Newfoundland
New York,Waters and coasts from southeastern New England northeastward to Nova Scotia and southern Newfoundland
New York,"Offshore waters east of the Mid-Atlantic, southern New England coast, Nova Scotia, and Newfoundland"
12,24
100,27
120,42
12,0
17,0
120,0
B,D.
C,D.
B,D.
B,A.
A,A.
A,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
D,A.
D,A.
D,A.
48,24
48,27
48,42
D,D.
D,D.
D,D.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
"No additional hazards are expected at the Virginia, VA, Port of due to the storm.",None
"Tsunami advisory for Virginia, VA, Port of, due to potential storm surge.",None
"No additional hazards are expected for Virginia, VA, Port of due to the storm's projected path.",None
"{
  ""gale_probability"": {
    ""in 12h"": ""8"",
    ""in 24h"": ""27"",
    ""in 48h"": ""27"",
    ""in 72h"": ""27"",
    ""in 96h"": ""27""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""5"",
    ""in 48h"": ""8"",
    ""in 72h"": ""15"",
    ""in 96h"": ""15""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""10"",
    ""in 48h"": ""15"",
    ""in 72h"": ""16"",
    ""in 96h"": ""25""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
14-07-2015,None
18-07-2015,None
14-07-2015,None
14-07-2015,None
18-07-2015,None
14-07-2015,None
19-07-2015,None
18-07-2015,None
18-07-2015,None
5,0
2,0
5,0
0,None
3,None
0,None
None,None
None,None
None,None
A,A.
A,A.
A,A.
