response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Delaware to North Carolina,Hurricane Watch from north of Surf City NC to Ocracoke Inlet NC; Storm Surge Watch Surf City NC to Bogue Inlet NC and portions of Pamlico/Albemarle Sounds
Florida coast to North Carolina coast,"Storm-surge watches from Surf City NC to Duck NC, portions of Chesapeake Bay and tidal Potomac"
Florida to North Carolina,
Florida coast,"Tropical-Storm Watch/Warning currently extends from Cape Fear NC to Fenwick Island DE, including the lower Chesapeake Bay and Albemarle–Pamlico Sounds"
Delaware to Florida,"Tropical Storm Warning Cape Fear NC to Fenwick Island DE; Storm Surge Warning Bogue Inlet NC to Chincoteague VA, Chesapeake Bay south of Colonial Beach VA, Neuse & Pamlico Rivers, portions of Pamlico/Albemarle Sounds"
5 AM Fri to 2 AM Mon,"Tropical-storm warnings Cape Fear NC northward to Fenwick Island DE, including Albemarle & Pamlico Sounds, lower Chesapeake Bay and tidal Potomac south of Cobb Island"
Savannah to Charleston,"Tropical Storm Warning from Cape Fear, NC to Fenwick Island, DE including Albemarle/Pamlico Sounds, lower Chesapeake Bay and lower Tidal Potomac"
Savannah to Jacksonville,"Tropical-Storm Warning: Cape Fear NC to Fenwick Island DE, Chesapeake Bay south of Smith Point, Albemarle & Pamlico Sounds"
"32.7N, 76.0W","32.9N, 76.3W"
"30.5N, 75.0W","30.5N, 75.0W"
"29.2N, 75.9W","29.2N, 75.9W"
"28.7N, 75.9W","28.7N, 75.9W"
NNW,NNW
N,N
N,N
N,N
12,13 mph
14,14 mph
8,8 mph
9,9 mph
Delaware,"Mid-Atlantic shoreline from North Carolina through Virginia, Maryland, Delaware and up to the New Jersey coast"
Florida,Southeast U.S. coast through the Mid-Atlantic up to coastal New Jersey
Delaware,Southeast and Mid-Atlantic coast from North Carolina through New Jersey and southern New England
Florida,Southeast and Mid-Atlantic U.S. shoreline from South Carolina through New Jersey
MORRIS PLAINS NJ,NYC JFK AIRPRT
NYC,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
ISLIP NY,NYC JFK AIRPRT
9,9%
18,16%
9,9%
10,10%
4,0%
17,0%
4,<1%
5,0%
10,72
12,72
96,48
120,96
44,N/A
12,N/A
48,N/A
48,N/A
9,5%
100,16%
9,4%
10,10%
D,B.
C,D.
B,A.
D,B.
North Carolina,"Mid-Atlantic shoreline from North Carolina through Virginia, Maryland, Delaware and up to the New Jersey coast"
North Carolina,Southeast U.S. coast through the Mid-Atlantic up to coastal New Jersey
North Carolina,Southeast and Mid-Atlantic coast from North Carolina through New Jersey and southern New England
North Carolina,Southeast and Mid-Atlantic U.S. shoreline from South Carolina through New Jersey
B,B.
B,B.
B,B.
A,B.
A,C.
B,A.
B,A.
New Jersey,"Mid-Atlantic shoreline from North Carolina through Virginia, Maryland, Delaware and up to the New Jersey coast"
New Jersey,Southeast U.S. coast through the Mid-Atlantic up to coastal New Jersey
New Jersey,Southeast and Mid-Atlantic coast from North Carolina through New Jersey and southern New England
New Jersey,Southeast and Mid-Atlantic U.S. shoreline from South Carolina through New Jersey
12,12
120,33
120,30
120,40
None,72
None,72
48,72
120,84
D,B.
C,D.
D,D.
D,D.
D,C.
C,C.
D,C.
D,C.
D,D.
D,D.
D,C.
D,D.
No,No
No,No
No,No
No,No
B,B.
D,C.
C,C.
C,D.
24,12
36,33
48,30
48,40
B,B.
D,B.
D,B.
B,B.
B. No,B.
B,B.
B,B.
B,B.
B,B.
B,D.
B,B.
B,D.
Tornadoes are possible for portions of the mid-Atlantic coast.,Dangerous surf and rip currents through the weekend; isolated coastal flooding at high tide; slight tornado risk south of the port but not expected directly over NYC/NJ.
Tornadoes are possible for portions of the Mid-Atlantic Coast.,Dangerous surf and rip currents all weekend; minor coastal flooding possible at times of high tide
Tornadoes are possible for portions of the Mid-Atlantic Coast beginning Friday night through Saturday.,"High surf, dangerous rip currents and possible beach erosion."
Swells generated by the storm will cause life-threatening surf and rip current conditions along the east coast.,High surf and dangerous rip currents along the New Jersey and Long Island beaches ahead of and during the storm’s passage
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": 0,
    ""24_hours"": 0,
    ""48_hours"": 0,
    ""72_hours"": 0,
    ""96_hours"": 0
  }
}
```","{'in 12h': '1%', 'in 24h': '3%', 'in 48h': '4%', 'in 72h': '9%', 'in 96h': '9%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""low"",
    ""48_hours"": ""low"",
    ""72_hours"": ""low"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '2%', 'in 72h': '14%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""low"",
    ""48_hours"": ""low"",
    ""72_hours"": ""low"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '5%', 'in 96h': '9%'}"
"```json
{
  ""gale_force_probabilities"": {
    ""12_hours"": 0.1,
    ""24_hours"": 0.2,
    ""48_hours"": 0.3,
    ""72_hours"": 0.4,
    ""96_hours"": 0.5
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '6%', 'in 96h': '4%'}"
01-10-2023,None
22-09-2023,None
22-09-2023,None
21-09-2023,None
01-10-2023,None
22-09-2023,None
22-09-2023,None
21-09-2023,None
01-10-2023,None
01-10-2023,None
01-10-2023,None
15-09-2023,None
2,0
2,0
2,0
3,0
0,None
0,None
0,None
3,None
1-3,None
0,None
0,None
3,None
B,A.
A. None,A.
A. None,A.
D,A.
