response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,A.
A,A.
A,A.
A,A.
A,C.
A,A.
A,A.
A,A.
A,A.
A,C.
A,C.
A,C.
A,C.
A,C.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida Keys to Florida,"North of Fernandina Beach, FL to Edisto Beach, SC (Hurricane Watch)"
Florida Keys to Florida,North of Fernandina Beach FL to Edisto Beach SC; west of the Aucilla River to Indian Pass FL (Hurricane Watch); additional Storm-Surge Watch north of Volusia/Brevard line to Isle of Palms SC
Florida Keys to Miami,"North of the Volusia/Brevard County Line to Fernandina Beach, and north and west of Anclote River to Indian Pass"
Florida to the Virgin Islands,Hurricane Watch is posted north of Jupiter Inlet to the Flagler/Volusia County Line (east coast) and north of Bonita Beach to Anclote River (west coast)
Florida Keys to Florida,North of Jupiter Inlet to Sebastian Inlet and north of Bonita Beach to Venice
Florida to the Virgin Islands,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
Florida to Bahamas,None
Cuba to Florida,None
Florida Keys to Florida,"Hurricane and tropical-storm watches currently limited to Turks & Caicos, southeastern Bahamas, and eastern Cuba (not yet Florida)."
Florida Keys to Florida,None posted yet for the U.S. coast
Florida Keys to Florida,"Hurricane Warning from Fernandina Beach southward around the Florida peninsula to Indian Pass, including the Florida Keys, Lake Okeechobee and Florida Bay; Storm Surge Warning from South Santee River, SC southward to Jupiter Inlet, FL and around the peninsula to the Ochlockonee River, including Tampa Bay and the Florida Keys"
Florida Keys to Florida,"Fernandina Beach southward around the entire Florida peninsula to the Aucilla River, including Port Everglades, the Florida Keys, Lake Okeechobee and Florida Bay (Hurricane Warning); Storm-Surge Warning Volusia/Brevard line southward around the peninsula to the Suwannee River"
Florida Keys to Florida,"Volusia/Brevard County Line southward around the Florida peninsula to Anclote River including the Florida Keys, Lake Okeechobee and Florida Bay"
Florida to Bahamas,"Hurricane Warning from Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys; Storm Surge Warning from Sebastian Inlet southward around the peninsula to Venice"
Florida Keys to Florida,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys and Lake Okeechobee"
Florida to Bahamas,"Dominican Republic, Haiti, Turks & Caicos, Southeastern-Central-Northwestern Bahamas (no Florida warnings yet)"
Jamaica to Florida,None
Jamaica to Haiti,None
Florida Keys to Florida,"Hurricane warnings in effect for northern Leeward Islands, U.S. & British Virgin Islands, Puerto Rico, and parts of the Dominican Republic (not yet Florida)."
Florida to Bahamas,None posted yet for the U.S. coast
"23.5N, 81.0W","23.7N, 81.3W"
"22.8N, 79.8W","22.8N, 79.8W"
"22.1N, 77.7W","22.3N, 78.2W"
"22.0N, 75.3W","22.0N, 76.0W"
"21.3N, 72.4W","21.5N, 73.3W"
"20.4N, 69.7W","20.7N, 70.4W"
"19.4N, 66.8W","19.7N, 67.7W"
"18.2N, 64.0W","18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"16.8N, 58.4W","16.8N, 58.4W"
NW,NW
W,W
W,W
WNW,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W (expected to turn WNW tonight)
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
15,15 mph
14,14 mph
Florida,"Entire Florida peninsula (east and west coasts), Florida Keys, and adjacent southeast U.S. coastline"
Florida,Entire southeast Florida coast from Palm Beach through Miami–Dade and Broward (Port Everglades) to the Keys is expected to experience tropical-storm to hurricane conditions
Florida,Entire southeast Florida coastline from Boca Raton through Miami including Port Everglades and the Keys; southwest Florida coast
Florida,"Entire southeast Florida coast including Port Everglades, Florida Keys, and eventually the whole Florida peninsula"
Florida,"Entire southeast Florida coast, including Port Everglades, the Florida Keys, and portions of the southwest Florida coast"
Florida,"Southeast Florida coastline (Palm Beach, Broward, Miami-Dade), Florida Keys, Southwest Florida coast"
Florida,Southeast Florida coast from the Keys northward through Cape Canaveral and adjacent Atlantic waters
Florida,"Florida Keys and south-east Florida coast, central and north Bahamas, northern Cuba"
Florida,Southeastern Florida coastline from Miami–Dade through Palm Beach counties lies along the right-hand side of the projected track late this weekend.
Florida,Southeast Florida coast from the Keys northward to at least the Space Coast is in the day-4/5 cone
FT MYERS-MONTICELLO,FT LAUDERDALE FL
MIAMI,FT LAUDERDALE FL
MIAMI,FT LAUDERDALE FL
Fort Lauderdale,FT LAUDERDALE FL
FTL,FT LAUDERDALE FL
Fort Lauderdale,FT LAUDERDALE FL
VENICE,FT LAUDERDALE FL
APACHES,FT LAUDERDALE FL
Havana,FT LAUDERDALE FL
SANT THOMAS,FT LAUDERDALE FL
99,87%
99,88%
63,90%
0,95%
0,96%
0,92%
0,90%
0,83%
0,60%
0,54%
0,19%
0,29%
0,47%
0,67%
0,75%
0,70%
0,65%
0,58%
0,29%
0,26%
34,24
34,12
34,48
34,96
0,72
34,96
0,60
0,84
0,120
0,120
5,24
24,24
2,48
12,72
0,72
4,96
1,84
0,96
0,120
0,120
0,87%
0,39%
0,90%
0,95%
0,49%
0,92%
0,90%
0,51%
0,60%
0,54%
B,B.
B,B.
B,C.
B,D.
B,B.
B,A.
B,B.
B,D.
B,B.
B,C.
Florida Keys,"Entire Florida peninsula (east and west coasts), Florida Keys, and adjacent southeast U.S. coastline"
Florida Keys,Entire southeast Florida coast from Palm Beach through Miami–Dade and Broward (Port Everglades) to the Keys is expected to experience tropical-storm to hurricane conditions
Florida Keys,Entire southeast Florida coastline from Boca Raton through Miami including Port Everglades and the Keys; southwest Florida coast
Florida Keys,"Entire southeast Florida coast including Port Everglades, Florida Keys, and eventually the whole Florida peninsula"
Florida Keys,"Entire southeast Florida coast, including Port Everglades, the Florida Keys, and portions of the southwest Florida coast"
