response,ground_truth
No,No
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
B,A.
B,B.
B,B.
B,A.
B,A.
B,A.
B,A.
B,B.
B,C.
B,C.
A,C.
B,A.
A,A.
A,A.
A,A.
New York City to Cape Hatteras,"Watch Hill Rhode Island to Stonington Maine, including Martha’s Vineyard, Nantucket and Block Island"
"Savannah, GA to Cape Hatteras, NC","Ocracoke Inlet NC to Watch Hill RI, including Long Island, Chesapeake & Delaware Bays and adjacent tidal rivers"
"Savannah, GA to Cape Hatteras, NC",Storm Surge Watch from Jupiter Inlet FL to Ponte Vedra Beach FL and from Edisto Beach SC to Cape Fear NC
"Savannah, GA to Cape Hatteras, NC",Jupiter Inlet to Ponte Vedra Beach FL (Storm Surge Watch)
"Savannah, GA to Cape Hatteras, NC",None in effect immediately south of the port; Storm Surge Watch begins at Jupiter Inlet northward
Bermuda to North Carolina,Jupiter Inlet to Ponte Vedra Beach FL
Bermuda to Florida,"East coast of Florida from Ocean Reef to Sebastian Inlet, including Lake Okeechobee"
Florida to North Carolina,East coast of Florida from Ocean Reef to Sebastian Inlet (includes Palm Beach County)
Florida to Bahamas,"Tropical-storm watch in effect for the Northwestern Bahamas (Andros, New Providence, Eleuthera, Abaco, Berry, Grand Bahama Island, Bimini)"
Florida Keys to Florida Coast,"Tropical-storm watch in effect for the Central Bahamas (Cat Island, Exumas, Long Island, Rum Cay, San Salvador)"
New York City to Cape Hatteras,Tropical Storm Warning from Flagler/Volusia County Line FL northward to South Santee River SC; Hurricane Warning South Santee River SC to Surf City NC
Savannah to New York,Sebastian Inlet FL to Ocracoke Inlet NC (tropical-storm warning); Edisto Beach SC to Cape Fear NC (storm-surge warning)
Savannah to New York,"Tropical Storm Warning from Hallandale Beach FL to South Santee River SC, including Lake Okeechobee"
Savannah to New Bern,Boca Raton to Volusia/Flagler County Line FL (Hurricane Warning); North of Ocean Reef to south of Boca Raton FL (Tropical Storm Warning)
Savannah to Cape Hatteras,"Boca Raton to the Volusia/Flagler County Line, FL (includes Palm Beach County)"
Bermuda to Florida,Boca Raton to Volusia/Brevard County Line FL
Savannah to Cape Hatteras,Hurricane warnings in the central and northwestern Bahamas (none yet for Florida)
Haiti to Florida,"Hurricane Warning for the Northwestern Bahamas; Tropical Storm Warning for the Dominican Republic, Haiti, Turks & Caicos, Southeastern and Central Bahamas"
Savannah to Jacksonville,"Tropical-storm warning for Puerto Rico, U.S. & British Virgin Islands, all coasts of the Dominican Republic and northern Haiti, Turks & Caicos, and the Southeastern & Central Bahamas"
Cuba to Florida,"Tropical-storm warnings extend across Puerto Rico, Virgin Islands, Dominican Republic, northern Haiti, Turks & Caicos, and the SE Bahamas"
"29.7N, 79.9W","30.2N, 80.1W"
"27.8N, 79.8W","28.2N, 79.7W"
"26.3N, 79.5W","26.5N, 79.5W"
"25.1N, 78.7W","25.3N, 78.9W"
"23.9N, 77.1W","24.3N, 77.5W"
"22.6N, 75.7W","22.9N, 75.9W"
"20.9N, 73.3W","21.3N, 73.9W"
"19.5N, 70.6W","19.9N, 71.2W"
"17.2N, 67.9W","17.6N, 68.5W"
"16.4N, 65.6W","16.0N, 66.3W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
WNW,WNW
9,13 mph
9,9 mph
9,8 mph
10,9 mph
12,12 mph
15,15 mph
17,17 mph
20,20 mph
21,20 mph
23,18 mph
New England,Entire U.S. East Coast from Florida through New England
