response,ground_truth
No,Yes
No,Yes
No,No
No,No
No,Yes
No,Yes
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
70W to 85W,
Cuba to Florida,Hurricane Watch from Anna Maria Island to Yankeetown FL; Tropical Storm Watch north of Suwannee River to Aucilla River FL and portions of western Cuba
Jamaica to Dominican Republic,Englewood FL northward to Suwannee River FL (west coast of Florida)
Florida to Cuba,None
Cuba to Florida,None in effect at this time.
Florida to Cuba,Florida west coast from Englewood to Anna Maria Island and the northwestern Bahamas
Cuba to Florida,Storm/hurricane watches confined to South-Central and Southwest Florida coastline
Florida to Cuba,Storm-surge and hurricane watches in effect from Golden Beach FL to Bonita Beach FL including the Florida Keys and Biscayne Bay
Cuba to Florida,"Hurricane Watch from Deerfield Beach to Bonita Beach, FL and for the Florida Keys from Ocean Reef to the Dry Tortugas, including Florida Bay"
Cuba to Florida,"Tropical-storm watch is posted only from Sebastian Inlet FL southward around the peninsula, not as far north as South Carolina"
70W to 85W,
Cuba to Florida,Tropical Storm Warning Dry Tortugas and from Bonita Beach to Suwannee River FL; Storm Surge Watch Bonita Beach to Steinhatchee River FL including Tampa Bay and Charlotte Harbor
Jamaica to Dominican Republic,Dry Tortugas
Cuba,None
Cuba to Florida,None in effect at this time.
Florida to Cuba,"Florida coast from Brevard/Volusia County line to Anna Maria Island, the Florida Keys and adjacent waters"
Cuba,"Warnings limited to Florida Keys, South Florida Atlantic and Gulf coasts"
Cuba to Florida,"Tropical-storm warnings for much of south-central Cuba, the north-western Bahamas, the Florida Keys and the southern Florida peninsula"
Cuba to Florida,"Tropical Storm Warning from Jupiter Inlet to Bonita Beach, FL including Lake Okeechobee and the Florida Keys"
Cuba,"Tropical-storm warnings limited to Cayman Islands, parts of Cuba, and the north-western Bahamas"
"26.2N, 83.7W","27.3N, 83.6W"
"23.8N, 84.5W","25.0N, 84.1W"
"22.7N, 85.3W","23.2N, 85.1W"
"23.2N, 85.2W","22.9N, 85.5W"
"24.6N, 83.4W","23.7N, 84.8W"
"24.6N, 80.5W","25.2N, 82.0W"
"22.5N, 79.2W","23.9N, 79.5W"
"20.7N, 79.9W","21.5N, 79.3W"
"19.6N, 81.8W","20.4N, 80.7W"
"18.0N, 85.2W","18.3N, 84.9W"
NNE,N
NNE,N (forecast to turn NNE)
Stationary,N
SW,Stationary (expected to drift slowly northward)
SW,SW
NW,WNW
N,NNW (325°)
NE,NE
NE,NE
NE,ENE
10,12 mph
9,12 mph
Stationary,7 mph
9,0 mph
14,16 mph
14,13 mph
14,14 mph
13,12 mph
17,16 mph
12,10 mph
Florida,"Initially the west-central Gulf coast of Florida, then portions of the southeast U.S. coast from northeast Florida through the Carolinas as the system moves offshore"
Florida,"Florida peninsula (west coast), Big Bend, north Florida, then coastal Georgia and South Carolina"
Florida,"West coast of Florida, Florida Keys, Apalachee Bay region, inland Alabama and Georgia"
Florida,"Florida Keys, South & Central Florida Gulf Coast, Florida Panhandle, and northern Gulf Coast"
Florida,"Florida Keys and peninsula, Florida Big Bend, coastal Georgia and South Carolina including Port of Charleston"
Florida,Entire southeast U.S. coastline from the Florida Keys northward to coastal South Carolina and Georgia
Florida,"South Florida, Florida Keys, Bahamas and portions of the Gulf Coast; Atlantic coast north of Florida (including South Carolina) not in impact zone"
Florida,"Central Cuba, north-western Bahamas, South Florida including the Keys, and eventually the eastern Gulf Coast of Florida"
Florida,"Central Cuba, South Florida peninsula, Florida Keys, north-western Bahamas, and portions of the eastern Gulf coast"
Florida,"Cuba, the north-western Bahamas, Florida Keys, South Florida and eventually Florida’s Gulf coast up to the Big Bend"
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
GFMX 290N 850W,KINGS BAY GA
PENSACOLA FL,KINGS BAY GA
CHARLESTON SC,CHARLESTON SC
Cedar Key FL,CHARLESTON SC
GFMX 290N 850W,"BEAUFORT MCAS, SC"
Charleston,BEAUFORT MCAS SC
COLUMBUS GA,KINGS BAY GA
Charleston,KINGS BAY GA
6,6%
10,10%
0,3%
0,5%
1,3%
0,11%
0,3%
0,3%
0,8%
0,5%
6,0%
4,<1%
0,0%
0,0%
2,0%
0,3%
0,0%
0,0%
0,0%
0,0%
6,72
48,60
N/A,120
N/A,120
24,120
0,120
12,120
0,120
12,120
12,120
48,N/A
48,
N/A,N/A
N/A,N/A
24,N/A
0,120
12,N/A
4,>120
10,0
12,0
6,6%
10,5%
N/A,3%
N/A,5%
1,3%
0,11%
0,3%
0,3%
0,8%
0,5%
C,D.
C,B.
C,A.
D,C.
D,D.
A,B.
D,C.
B,A.
B,B.
A,D.
Bonita Beach to Suwanee River Florida,"Initially the west-central Gulf coast of Florida, then portions of the southeast U.S. coast from northeast Florida through the Carolinas as the system moves offshore"
Anna Maria Island to Yankeetown,"Florida peninsula (west coast), Big Bend, north Florida, then coastal Georgia and South Carolina"
Dry Tortugas,"West coast of Florida, Florida Keys, Apalachee Bay region, inland Alabama and Georgia"
Western Cuba,"Florida Keys, South & Central Florida Gulf Coast, Florida Panhandle, and northern Gulf Coast"
Cuba,"Florida Keys and peninsula, Florida Big Bend, coastal Georgia and South Carolina including Port of Charleston"
Southwest Florida,Entire southeast U.S. coastline from the Florida Keys northward to coastal South Carolina and Georgia
Florida Keys,"South Florida, Florida Keys, Bahamas and portions of the Gulf Coast; Atlantic coast north of Florida (including South Carolina) not in impact zone"
South-Central Coast of Cuba,"Central Cuba, north-western Bahamas, South Florida including the Keys, and eventually the eastern Gulf Coast of Florida"
Florida Keys,"Central Cuba, South Florida peninsula, Florida Keys, north-western Bahamas, and portions of the eastern Gulf coast"
Florida Keys or south Florida,"Cuba, the north-western Bahamas, Florida Keys, South Florida and eventually Florida’s Gulf coast up to the Big Bend"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
B,D.
