response,ground_truth
No,Yes
No,Yes
No,Yes
B,A.
B,A.
A,A.
A,A.
A,A.
A,A.
Florida to North Carolina,None posted for the North Carolina coast at this time
Florida to North Carolina,North of Altamaha Sound GA to South Santee River SC (Tropical Storm Watch)
Florida to North Carolina,Tropical Storm Warning currently limited to Indian Pass FL to Englewood FL (Gulf coast)
Florida to Georgia,"Tropical-storm warnings are in effect from Sebastian Inlet, FL northward to South Santee River, SC"
Florida to Louisiana,Altamaha Sound GA to Sebastian Inlet FL on the Atlantic side; Indian Pass to Englewood FL on the Gulf side (Tropical Storm Warning)
Florida to Georgia,Indian Pass FL to Englewood FL (Gulf coast)
"26.4N, 87.3W","27.0N, 87.0W"
"23.4N, 87.8W","23.6N, 87.8W"
"21.9N, 78.1W","21.9N, 88.1W"
NNE,NNE
N,N
N,N
14,16 mph
40,9 mph
8,8 mph
Florida,Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Florida,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
Florida,"Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
NEWPORT NEWS,WILMINGTON NC
Morehead City,WILMINGTON NC
Morehead City,WILMINGTON NC
30,31%
22,21%
26,20%
4,4%
3,3%
1,4%
34,36
34,42
23,72
5,36
50,42
1,72
44,31%
1,19%
25,20%
B,A.
A,B.
B,A.
Florida Big Bend area,Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Florida Big Bend,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
Florida Big Bend,"Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
B,B.
B,B.
A,A.
A,B.
B,A.
B,C.
Florida,Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Florida,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
Florida,"Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
120,8
120,20
72,30
120,48
120,60
120,78
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,C.
D,C.
C,D.
No,Yes
No,No
No,Yes
D,C.
D,C.
C,C.
400,8
40,20
36,30
B,B.
B,B.
D,B.
B,B.
B,B.
B,B.
B,C.
B,C.
B,B.
Tornadoes are possible across portions of Florida and far southern Georgia.,Brief tornadoes in outer rain-bands cannot be ruled out; hazardous seas may disrupt vessel scheduling.
Tornadoes are possible across portions of Florida and far southern Georgia.,"Rough surf, dangerous rip currents, and a low risk of an isolated tornado in coastal NC."
Isolated tornadoes are possible Monday afternoon across portions of Florida and far southern Georgia.,Dangerous rip currents and minor coastal flooding at high tide possible; isolated brief tornadoes in outer rain bands cannot be ruled out.
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '31%', 'in 72h': '31%', 'in 96h': '31%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '19%', 'in 72h': '1%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probabilities"": {
    ""12_hours"": ""0%"",
    ""24_hours"": ""0%"",
    ""48_hours"": ""0%"",
    ""72_hours"": ""0%"",
    ""96_hours"": ""0%""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '15%', 'in 96h': '0%'}"
06-06-2016,None
06-06-2016,None
06-06-2016,None
06-06-2016,None
05-06-2016,None
06-06-2016,None
06-06-2016,None
05-06-2016,None
07-06-2016,None
2,0
2,0
3,0
0,None
0,None
0,None
4,None
22,None
2,None
A. None,A.
B,A.
B,A.
