response,ground_truth
No,No
No,No
No,No
No,No
No,No
No,Yes
No,Yes
No,No
No,No
B,A.
B,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida to Georgia,"North of Surf City NC to Oregon Inlet NC, including Pamlico Sound"
Florida to North Carolina,"Marineland, FL northward to South Santee River, SC (Atlantic coast)"
Florida to North Carolina,Marineland FL to Altamaha Sound GA under Tropical Storm Watch; Anclote River to Indian Pass under Hurricane Watch
Florida to North Carolina,Hurricane Watch from Anclote River to Indian Pass; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line (all on the Gulf coast)
Florida to North Carolina,Hurricane Watch from Anclote River to Indian Pass; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line (Florida Gulf Coast)
Florida to North Carolina,None in effect – interests in central and northern Florida advised to monitor
Florida to North Carolina,None
Florida to Louisiana,
Florida to North Carolina,None
Florida to Georgia,"Englewood FL to Suwannee River FL, west of Mexico Beach FL to Walton/Bay County line, and Flagler/Volusia County line FL to Surf City NC"
Florida to North Carolina,"Hurricane: Suwannee River to Mexico Beach, FL;  Tropical-Storm: Anclote River to Suwannee River, FL and Mexico Beach to Destin, FL"
Florida to Georgia,Anclote River to Walton/Bay County line under Tropical Storm Warning
Florida to South Carolina,None at this time
Florida to North Carolina,None in effect
Florida to Louisiana,None
Florida to North Carolina,None
Florida to Cuba,
Florida to Georgia,None
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (010°)
SW,N
NNW,W
WNW,NW
W,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,"Florida Gulf Coast Big Bend, then Atlantic coasts of GA, SC, and NC north-eastward"
Florida,"Florida Gulf Coast Big Bend, then Georgia and Carolina Atlantic coasts"
Florida,"North-central Gulf Coast of Florida, then coastal Georgia and the Carolinas"
Florida,"Gulf coast of Florida Big Bend for landfall, then the entire Florida Peninsula and U.S. southeast coast for rain and wind"
Florida,Florida Gulf Coast (Big Bend) then inland across northern Florida and the southeast U.S. Atlantic coast
Florida,"Entire Florida peninsula, especially Big Bend and northern peninsula, later coastal GA/SC/NC"
