response,ground_truth
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida coast,"North of Surf City NC to Oregon Inlet NC, including Pamlico Sound"
Florida to North Carolina,Hurricane Watch from Anclote River to Suwannee River FL and west of Mexico Beach to Destin FL
Florida to North Carolina,"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch from Marineland FL to Altamaha Sound GA"
Florida to North Carolina,"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
Florida to North Carolina,Hurricane Watch from Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line
Florida to North Carolina,No official watches – interests in central/northern Florida and SE Georgia advised to monitor.
Florida to North Carolina,None in effect
Florida to Louisiana,
Florida to North Carolina,None
Florida to Georgia,Englewood FL to Suwannee River FL (tropical-storm); Suwannee River FL to Mexico Beach FL (hurricane)
Florida to North Carolina,Hurricane Warning Suwannee River to Mexico Beach FL; Tropical-Storm Warning Anclote River to Suwannee River FL and west of Mexico Beach to Destin FL
Florida to Georgia,"Tropical Storm Warning from Anclote River to the Walton/Bay County line, FL"
Florida to South Carolina,None in effect (only watches issued so far)
Florida to North Carolina,None in effect (only watches issued so far)
Florida to Louisiana,None issued as of this advisory.
Florida to Georgia,None in effect
Florida to Cuba,
Florida to Georgia,None
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N
SW,N
NNW,W
WNW,NW
W,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,"Florida Gulf coast (Big Bend) eastward across Georgia and the Carolinas, then northward along the Mid-Atlantic coast"
Florida,"Florida Big Bend, Georgia, the Carolinas, and eventually the mid-Atlantic coast"
Florida,Primary impacts expected along Florida’s Gulf coast (Aripeka to Indian Pass) then coastal GA-NC
Florida,"Florida Gulf Coast (Big Bend), then Atlantic coasts of GA/SC/NC later in the period"
Florida,"Florida Gulf Coast, especially the Big Bend region; tropical-storm-force wind field may extend westward to the FL/AL border"
Florida,"Florida peninsula and Big Bend, southeastern Georgia, and the Carolinas coast during the 5-day period."
