response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida to Georgia,"North of Surf City NC to Oregon Inlet NC, including Pamlico Sound"
Florida to North Carolina,"Marineland, FL northward to South Santee River, SC (includes entire Georgia coast)"
Florida to North Carolina,Marineland FL to Altamaha Sound GA (tropical-storm watch south of the port)
Florida to North Carolina,Hurricane Watch in effect Anclote River to Indian Pass FL; Tropical-storm Watch west of Indian Pass to Walton/Bay County line FL (Gulf coast only at this time)
Florida to North Carolina,Hurricane Watch Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to Walton/Bay County line FL
Florida to North Carolina,None
Florida to North Carolina,None
Florida to Louisiana,None in effect
Florida to North Carolina,None
Florida to Georgia,Flagler/Volusia County line FL northward to Surf City NC (includes entire Georgia coast)
Florida to North Carolina,"Suwannee River to Mexico Beach, FL (hurricane); Anclote River to Destin, FL (tropical-storm)"
Florida to Georgia,Anclote River to Walton/Bay County line FL (tropical-storm warning); Anclote River to Indian Pass FL (hurricane watch)
Florida to Georgia,None issued yet
Florida to North Carolina,None issued as of this advisory
Florida to Louisiana,None
Florida to Georgia,None
Florida to Cuba,None in effect
Florida to Georgia,None
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (010°)
SW,N
NNW,"W (drifting, forecast to turn N then NNE)"
WNW,NW
W,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
Florida,Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
Florida,"Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
Florida,Northern Florida through Georgia and the Carolinas
Florida,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
Florida,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
Florida,Florida Big Bend to Georgia and South Carolina coasts
Florida,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
Florida,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
SAVANNAH,SAVANNAH GA
SAVANNAH,SAVANNAH GA
SAVANNAH,SAVANNAH GA
SAVANNAH,SAVANNAH GA
SAVANNAH,SAVANNAH GA
KSAV,SAVANNAH GA
KATHLEEN,SAVANNAH GA
SAVANNAH,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
0,72%
5,58%
10,42%
34,33%
100,26%
100,26%
0,24%
10,13%
9,13%
0,23%
11,17%
1,12%
9,9%
0,6%
7,7%
0,5%
2,<3%
2,0%
34,30
12,30
10,48
3,72
1,72
34,72
0,120
1,108
10,108
0,30
11,30
12,72
21,72
10,72
1,96
2,96
12,N/A
1,N/A
0,72%
5,29%
10,24%
3,33%
0,26%
1,16%
0,24%
0,7%
9,9%
B,C.
D,C.
B,B.
B,D.
B,C.
B,C.
B,D.
B,B.
B,C.
Englewood to Surf City,Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
Florida coast,Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
northwest Florida coast,"Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
northwest Florida coast,Northern Florida through Georgia and the Carolinas
Florida Gulf coast,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
Florida,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
north coast of western Cuba,Florida Big Bend to Georgia and South Carolina coasts
Florida Keys,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
Florida Keys,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
C,D.
D,D.
D,A.
B,A.
B,B.
A,A.
B,D.
B,B.
D,D.
New York,Florida Big Bend through Georgia and South Carolina coasts and northward into the Mid-Atlantic
Florida,Florida–Georgia line northward through coastal Georgia and the Carolinas to Cape Fear
Florida,"Gulf coast of FL, then Atlantic coast from GA through the Carolinas"
Florida,Northern Florida through Georgia and the Carolinas
New England,"Florida Big Bend, then southeast Georgia and South Carolina coasts including the Port of Savannah area"
Florida,Florida Big Bend through southeastern Georgia and coastal South Carolina/Georgia
New York,Florida Big Bend to Georgia and South Carolina coasts
Florida,Florida Big Bend north-eastward across coastal Georgia and South Carolina into coastal North Carolina
Florida,Florida Gulf Coast Big Bend through Georgia and South Carolina coasts
120,12
120,18
120,24
120,42
120,48
120,60
120,72
120,96
120,80
120,24
10,36
120,48
120,60
120,24
120,72
120,93
None,120
None,96
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,C.
D,C.
D,B.
D,B.
D,B.
D,C.
D,C.
C,C.
D,C.
C,D.
C,D.
C,D.
D,D.
D,D.
D,D.
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,No
No,Yes
No,No
No,No
D,B.
C,B.
D,C.
B,C.
B. 0-24 Hours,C.
D,D.
D,D.
D,D.
D,D.
40,12
24,18
36,24
48,42
48,48
48,60
48,72
48,96
48,80
C,A.
A,A.
B,B.
D,A.
D,A.
B,B.
B,B.
D,B.
D,B.
B,B.
B,B.
B,B.
B,D.
B,C.
B,D.
B,D.
B,A.
B,A.
D,C.
D,C.
D,C.
B,C.
B,D.
B,D.
