response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida coast,"North of Surf City NC to Oregon Inlet, including Pamlico Sound"
Florida to North Carolina,"Marineland, FL to South Santee River, SC (includes Charleston area)"
Florida to North Carolina,Tropical Storm Watch from Marineland FL to Altamaha Sound GA
Florida to South Carolina,"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
Florida to North Carolina,Hurricane Watch: Anclote River to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to the Walton/Bay County line
Florida to North Carolina,
Florida to North Carolina,
Florida to Louisiana,None
Florida to North Carolina,None at this time
Florida to Georgia,Flagler/Volusia County line FL to Surf City NC (includes entire Georgia and South Carolina coasts)
Florida to North Carolina,Suwannee River to Destin FL (TS) and Suwannee River to Mexico Beach FL (Hurricane)
Florida to Georgia,Tropical Storm Warning from Anclote River to the Walton/Bay County line FL; Hurricane Watch from Anclote River to Indian Pass FL
Florida to South Carolina,None at this time
Florida to North Carolina,None issued at this time
Florida to Louisiana,
Florida to Georgia,
Florida to Cuba,None
Florida to Georgia,None at this time
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (expected to turn NNE soon)
SW,N
NNW,W
WNW,NW
W,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Florida,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Florida,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
Florida,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Florida,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
Florida,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
Florida,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
Cedar Key FL,CHARLESTON SC
BEAUFORT,CHARLESTON SC
GEORGIA,CHARLESTON SC
BEAUFORT,CHARLESTON SC
GEORGIA,CHARLESTON SC
GFMX 290N 850W,CHARLESTON SC
COLUMBUS GA,CHARLESTON SC
"Augusta, GA",CHARLESTON SC
CHARLESTON,CHARLESTON SC
100,67%
50,51%
30,35%
30,32%
100,23%
0,22%
0,17%
9,12%
8,10%
0,22%
50,13%
1,8%
9,9%
4,5%
0,5%
0,4%
2,0%
2,0%
34,30
34,72
3,72
34,72
12,96
0,96
0,96
1,120
2,108
24,30
5,72
8,72
2,72
12,96
0,96
0,96
1,N/A
2,
100,54%
50,51%
10,35%
30,28%
0,23%
0,12%
0,15%
9,12%
8,8%
D,C.
B,B.
B,C.
D,B.
A,D.
B,B.
B,C.
B,A.
B,A.
Englewood to Surf City,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Florida coast,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
northwest Florida coast,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
northwest Florida coast,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Anclote River to Indian Pass,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
Florida,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
north coast of western Cuba,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida Keys,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida Keys,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,B.
A,C.
C,D.
A,A.
B,B.
A,C.
A,D.
B,C.
A,A.
New York,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Florida,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Florida,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
Florida,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
New England,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
Florida,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
New York,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
120,12
120,18
120,24
120,36
120,48
120,63
120,69
120,93
120,96
48,36
10,18
120,60
48,66
120,24
120,96
48,84
None,108
None,108
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,B.
