response,ground_truth
No,No
No,No
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
110W to 125W,None – earlier tropical-storm watch for west-central Baja discontinued
20N to 30N,No U.S. coastal watches issued; Mexican government has not issued a watch—only warnings.
20.6N 114.6W to 25N 110W,Punta Eugenia to Cabo San Quintin (Baja California)
110W to 120W,None in effect
110W to 115W,
110W to 105W,None in effect
110W to 125W,None
115W to 105W,"Tropical Storm Warning from Punta Eugenia to Cabo San Quintin, Baja California"
20.6N to 25N,None
110W to 115W,None in effect
110W to 115W,
100W to 110W,None in effect
"24.8N, 116.8W","26.1N, 117.0W"
"22.8N, 116.2W","23.8N, 116.7W"
"20.6N, 114.6W","22.0N, 115.4W"
"18.5N, 112.9W","19.5N, 113.8W"
"17.3N, 110.7W","17.5N, 111.4W"
"16.7N, 110.0W","16.7N, 110.0W"
N,N
NW,NNW
NW,NW
NW,NW
NW,NW
NW,NW
13,14 mph
16,13 mph
15,16 mph
14,15 mph
14,13 mph
16,16 mph
Florida,North-western Baja California coastline; moisture extends into southern California and the lower Colorado River Valley
Mexico,"north-west Baja California Peninsula; moisture plume spreading into Southern California, Arizona and the Southwest U.S."
Florida,"Pacific side of Baja California; moisture spreading into southern California, Arizona, southern Utah, New Mexico, and southwest Colorado"
Mexico,"Pacific side of southern and central Baja California peninsula, Mexico"
Florida,Offshore waters W and NW of the southern half of the Baja California peninsula
Mexico,south-central and west-central Baja California peninsula and adjacent Pacific waters
ENSENADA,ENSENADA
PUNTA EUGENIA,"ENSENADA, MEXICO"
20N 115W,ENSENADA
20N 115W,"PUNTA EUGENIA, BAJA CA"
20N 110W,"PUNTA EUGENIA, BAJA CALIFORNIA SUR"
20N 115W,30N 120W (grid point ~250 nm SW of San Diego)
10,4%
0,6%
0,4%
0,0%
0,≈0%
0,<1%
0,0%
0,<1%
0,0%
39,0%
0,0%
N/A,24
N/A,36
N/A,72
N/A,N/A
N/A,108
N/A,0
N/A,N/A
N/A,
N/A,N/A
N/A,0
N/A,4%
N/A,3%
N/A,3%
N/A,0%
N/A,3%
C,C.
D,D.
C,C.
B,A.
D,A.
B,B.
northwestern coast of the Baja California peninsula,North-western Baja California coastline; moisture extends into southern California and the lower Colorado River Valley
Punta Eugenia to Cabo San Quintin,"north-west Baja California Peninsula; moisture plume spreading into Southern California, Arizona and the Southwest U.S."
Punta Eugenia to Cabo San Quintin,"Pacific side of Baja California; moisture spreading into southern California, Arizona, southern Utah, New Mexico, and southwest Colorado"
None,"Pacific side of southern and central Baja California peninsula, Mexico"
None,Offshore waters W and NW of the southern half of the Baja California peninsula
Cabo Corrientes Mexico,south-central and west-central Baja California peninsula and adjacent Pacific waters
B,B.
C,C.
C,C.
