response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
A,A.
B,A.
A,B.
A,B.
A,B.
A,B.
A,B.
A,A.
A,A.
Galveston to Freeport,Storm Surge Watch south of Port Mansfield to the Mouth of the Rio Grande
Galveston Bay to Louisiana Coast,"Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico; Hurricane Watch south of Port Mansfield to the Mouth of the Rio Grande"
Texas Coast to Louisiana Coast,"Storm Surge Watch north of San Luis Pass to High Island, TX"
Galveston to Freeport,Tropical Storm Watch from north of San Luis Pass to High Island; Storm Surge Watch from Port Mansfield to High Island
Galveston to Louisiana,"North of San Luis Pass to High Island, TX (includes Galveston Bay/Houston area)"
Galveston to Louisiana,Tropical Storm Warning north of Sargent to High Island; Storm Surge Warning Port Mansfield to High Island
Galveston to Freeport,"Tropical Storm Warning north of Sargent to High Island, TX; Storm Surge Warning Port Mansfield to High Island, TX; Hurricane Warning Port Mansfield to Sargent, TX"
Galveston to Louisiana,"Tropical Storm Warning from Matagorda to High Island, TX"
Galveston to Freeport,None at this time (warnings expected Thursday)
Galveston to Louisiana,None at this time
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Louisiana,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Louisiana,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
Louisiana,Middle and upper Texas coast from Port Mansfield to High Island
Texas,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Louisiana,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
HOUSTON,HOUSTON TX
HOUSTON,HOUSTON TX
HOUSTON,HOUSTON TX
HOUSTON,HOUSTON TX
HOUSTON,HOUSTON TX
79,76%
38,81%
100,55%
100,35%
61,39%
1,16%
20,31%
1,11%
10,7%
2,8%
1,120
3,120
120,120
11,72
11,120
1,96
2,120
4,120
11,72
2,120
1,76%
1,81%
1,55%
5,15%
61,39%
A,A.
C,C.
C,C.
A,A.
B,B.
Port Mansfield to Sargent Texas,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Port Mansfield to Sargent Texas,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
Port Mansfield to Matagorda Texas,Middle and upper Texas coast from Port Mansfield to High Island
Port Mansfield to High Island,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Port Mansfield to High Island,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
C,D.
C,C.
B,B.
A,A.
A,A.
D,D.
B,B.
A,A.
B,B.
B,B.
Galveston,"Entire middle and upper Texas coast, including Galveston Bay and Houston ship channel"
Galveston,"Entire middle and upper Texas coast from Port Mansfield through High Island, including Galveston Bay and Houston Ship Channel"
Galveston,Middle and upper Texas coast from Port Mansfield to High Island
Texas,"Entire Texas coast from Port Mansfield through High Island, with effects extending into southwestern Louisiana"
Galveston,Texas coast from Port Mansfield to High Island and parts of southwest Louisiana
120,12
120,24
120,36
120,48
120,48
24,90
48,96
48,96
120,96
None,96
D,D.
C,D.
D,D.
C,D.
D,D.
D,D.
D,D.
D,D.
D,C.
D,D.
D,D.
B,D.
D,D.
D,D.
D,D.
No,Yes
No,Yes
No,Yes
No,No
No,Yes
C,B.
B. 0-24 Hours,B.
D.,B.
D,C.
B,C.
100,12
400,24
36,36
48,48
40,48
B,A.
B,A.
B,A.
B,A.
B,B.
B,C.
C,C.
B,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
Tornadoes are possible near the middle and upper Texas coast.,Isolated tornadoes in rainbands; dangerous surf and rip currents hampering vessel movements and pilot transfers.
Isolated tornadoes are possible across portions of the middle and upper Texas coast on Friday.,"Isolated tornadoes, dangerous surf and rip currents, prolonged port disruption due to stalling storm"
"Large and destructive waves from the storm surge could impact the Houston Port Authority, TX.","Prolonged heavy seas and dangerous swells in the ship channel; extended port closure potential because the cyclone may stall near the coast, leading to multiple days of hazardous conditions."
Swells generated by Harvey are likely to cause life-threatening surf and rip current conditions.,Prolonged heavy rain could stall operations for several days; life-threatening rip currents and rough seas will impede vessel movements; possible power outages and access disruption on port road/rail corridors.
Tsunami watch for coastal areas due to potential storm surge.,"Prolonged flooding of access roads, possible temporary port closure, dangerous surf and rip currents on the Houston/Galveston approaches."
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""248_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '2%', 'in 24h': '33%', 'in 48h': '56%', 'in 72h': '71%', 'in 96h': '75%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '4%', 'in 24h': '34%', 'in 48h': '58%', 'in 72h': '69%', 'in 96h': '78%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '4%', 'in 48h': '15%', 'in 72h': '11%', 'in 96h': '7%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '8%', 'in 72h': '15%', 'in 96h': '5%'}"
