response,ground_truth
No,Yes
No,Yes
A,A.
A,A.
A,A.
A,A.
Bahamas to Florida,Central Bahamas
Cuba to Florida,None at this time; interests in South Florida and the Florida Keys are advised to monitor the system
Bahamas to Florida,Isla de la Juventud to Villa Clara Cuba and the north-western Bahamas
Cuba to Florida,"Tropical Storm Warning for Isla de la Juventud and western Cuba provinces, and for the north-western Bahamas"
"18.9N, 84.6W","19.6N, 84.2W"
"17.5N, 84.5W","17.5N, 84.5W"
N,N
NNW,NNW
7,10 mph
6,6 mph
Florida,"Western Cuba, Florida Keys, South Florida (including Miami), north-western Bahamas"
Florida,"Western Cuba, Straits of Florida, Florida Keys and South Florida, north-western Bahamas"
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
10,10%
16,16%
8,0%
3,0%
48,36
18,36
48,N/A
48,0
10,9%
16,11%
A,A.
B,B.
Cuba,"Western Cuba, Florida Keys, South Florida (including Miami), north-western Bahamas"
Cuba,"Western Cuba, Straits of Florida, Florida Keys and South Florida, north-western Bahamas"
B,B.
B,B.
B,D.
B,B.
Cuba,"Western Cuba, Florida Keys, South Florida (including Miami), north-western Bahamas"
Florida,"Western Cuba, Straits of Florida, Florida Keys and South Florida, north-western Bahamas"
120,10
120,24
12,24
None,48
D,D.
B,B.
D,B.
D,B.
C,C.
D,C.
No,No
Yes,No
B,B.
C,C.
12,10
36,24
B,B.
A,B.
B,A.
B,A.
B,D.
B,C.
Tornadoes are possible across far South Florida and the Florida Keys.,Brief tornadoes possible Saturday afternoon and evening across South Florida
Flooding and potential damage to coastal infrastructure.,"Frequent squalls reducing visibility, lightning, and short-period harbor swell that could disrupt cargo handling and pilot transfers"
"{
  ""gale_probability"": {
    ""in 12h"": ""4"",
    ""in 24h"": ""8"",
    ""in 48h"": ""10"",
    ""in 72h"": ""10"",
    ""in 96h"": ""10""
  }
}","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""2"",
    ""in 72h"": ""6"",
    ""in 96h"": ""20""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '0%', 'in 96h': '0%'}"
28-10-2017,10/31/2017
28-10-2017,10/31/2017
27-10-2017,10/31/2017
27-10-2017,10/31/2017
1/11/2017,10/31/2017
1/11/2017,10/31/2017
5,1
5,1
5,1
5,1
10,0.745101132
16,0.745101132
B,B.
B,B.
