response,ground_truth
No,Yes
No,No
No,Yes
No,Yes
No,No
No,No
No,No
B,A.
B,A.
B,A.
B,A.
A,A.
B,A.
B,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
A,A.
55W to 80W,
10N to 25N,"Barbados, St. Lucia, Martinique, St. Martin, St. Barthelemy, Saba, St. Eustatius, St. Maarten"
10N to 20N,"Hurricane Watch – Dominica;  Tropical Storm Watch – Barbados, St. Lucia, Martinique, Guadeloupe, St. Martin, St. Barthelemy"
Jamaica to Hispaniola,"Hurricane Watch for Dominica; Tropical Storm Watch for Martinique, Guadeloupe, St. Martin, St. Barthelemy (no watch posted for U.S. Virgin Islands at this time)"
10N to 15N,None posted – interests in the Lesser Antilles advised to monitor
10N to 15N,None
10N to 20N,None in effect
55W to 60W,
10N to 20N,Dominica and Guadeloupe
10N to 15N,None
5 PM Fri to 2 AM Sun,None issued yet
5 AM Fri to 2 AM Sat,None
10N to 15N,None
10N to 15N,None in effect
"13.7N, 56.0W","14.0N, 56.8W"
"12.7N, 52.7W","12.9N, 53.5W"
"11.1N, 49.8W","11.7N, 50.3W"
"10.6N, 47.8W","10.6N, 48.3W"
"10.6N, 45.1W","10.6N, 45.1W"
"10.3N, 42.8W","10.3N, 42.8W"
"10.2N, 41.4W","10.2N, 41.4W"
WNW,WNW
WNW,WNW
WNW,WNW
W,W
W,W
W,W
W,W
20,20 mph
17,17 mph
14,14 mph
15,15 mph
14,14 mph
16,16 mph
16,16 mph
Florida,"Lesser Antilles, Virgin Islands, Puerto Rico"
Jamaica,"Lesser Antilles, then the waters south of the Virgin Islands and Puerto Rico, moving toward the central Caribbean"
Haiti,"Lesser Antilles from Barbados northward to the Virgin Islands and Puerto Rico, then toward Hispaniola and the central Caribbean Sea"
Jamaica,"Central Lesser Antilles, U.S. Virgin Islands, Puerto Rico, and eastern Caribbean Islands"
Honduras,"Lesser Antilles from Guadeloupe southward to Barbados, including Dominica and Martinique"
Jamaica,Central & southern Lesser Antilles (Dominica to Barbados) where small storm could pass Sunday
Florida,Central Lesser Antilles (mainly islands south of 16°N) late weekend
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
Antigua,ANTIGUA
St. Croix,None listed (no station in table near St. Croix)
13,13%
14,14%
24,24%
28,30%
3,3%
0,3%
3,<5%
8,0%
3,0%
24,3%
6,6%
3,<1%
0,0%
0,<1%
13,36
72,48
24,72
28,96
96,72
N/A,48
N/A,96
72,N/A
48,0
24,72
6,72
24,0
N/A,0
N/A,96
