response,ground_truth
No,Yes
No,Yes
No,Yes
No,No
No,No
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
B,B.
B,B.
B,B.
B,A.
B,A.
B,A.
B,A.
B,B.
B,B.
A,B.
A,A.
B,A.
B,A.
B,A.
A,A.
B,A.
A,A.
South Carolina to North Carolina,None in Virginia (Hurricane Watch remains only Edisto Beach SC to South Santee River SC)
South Carolina to North Carolina,No watch presently in effect for the Virginia coast; the nearest Storm Surge Watch is from north of Duck NC to the NC/VA border.
South Carolina to North Carolina,None
North Carolina to South Carolina,"North of the North Carolina/Virginia border to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
Virginia Beach to North Carolina Beaches,"North of the North Carolina/Virginia border to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,"North of the North Carolina/Virginia border to Cape Charles Light, including Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,"Hurricane and Storm Surge Watches from Edisto Beach, SC to the North Carolina–Virginia border (Pamlico and Albemarle Sounds included)"
North Carolina to South Carolina,None issued yet
Virginia Beach to North Carolina Beaches,None issued yet; interests from South Carolina to Virginia advised to monitor
North Carolina to South Carolina,None issued yet
North Carolina to South Carolina,"North of Duck NC to Cape Charles Light VA, including lower Chesapeake Bay south of New Point Comfort"
South Carolina to North Carolina,"North of Duck NC to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
South Carolina to North Carolina,"North of Duck NC to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,North of Duck NC to the North Carolina/Virginia border
Virginia Beach to North Carolina Beaches,Hurricane Warning from South Santee River SC to Duck NC; Tropical Storm Warning north of Duck NC to the NC/VA border; Storm Surge Warning South Santee River SC to Duck NC
North Carolina to South Carolina,Hurricane Warning from South Santee River SC to Duck NC (south of the port)
North Carolina to South Carolina,None yet (expected later for Carolinas)
New York City to North Carolina,None issued yet
North Carolina to South Carolina,None issued yet
North Carolina to South Carolina,None issued yet
"34.1N, 77.2W","34.2N, 77.4W"
"33.6N, 76.0W","33.7N, 76.2W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
W,WNW
W,W
6,6 mph
10,5 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,7 mph
Delaware,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
North Carolina,"Coasts of North Carolina, South Carolina, and southeastern Virginia (including Hampton Roads and the lower Chesapeake Bay)"
North Carolina,"Entire North Carolina coast, South Carolina coast north of South Santee River, and southeastern Virginia including lower Chesapeake Bay"
North Carolina,"South Santee River SC northward to Duck NC, with effects extending into the lower Chesapeake Bay and southeastern Virginia"
Delaware,"Entire coast from South Carolina through southern Virginia, including Albemarle and Pamlico Sounds and lower Chesapeake Bay"
North Carolina,"Coasts of South Carolina, North Carolina, and southeastern Virginia including the lower Chesapeake Bay"
North Carolina,"South Carolina, North Carolina, and eventually southeastern Virginia coasts"
North Carolina,South Carolina through Virginia and portions of the Mid-Atlantic coastline
Virginia,Southeastern and mid-Atlantic coastline from South Carolina through Virginia
North Carolina,Southeastern and mid-Atlantic U.S. coastline from South Carolina through Virginia
RICHMOND,NORFOLK VA
RICHMOND,NORFOLK VA
"Fargo, ND",NORFOLK VA
Ft. Pierce FL,NORFOLK NAS VA
"The closest weather forecast location in the table to the Port of Virginia, VA, is Norfolk, VA.",NORFOLK VA
RICHMOND,NORFOLK VA
RICHMOND,NORFOLK VA
DANVILLE,NORFOLK VA
DANVILLE,NORFOLK VA
DANVILLE,NORFOLK VA
0,19%
100,36%
0,38%
0,34%
0,54%
0,61%
0,70%
5,53%
34,55%
5,49%
0,2%
0,<3%
0,2%
0,3%
0,11%
0,19%
50,29%
0,16%
16,19%
11,18%
0,6
12,18
0,96
0,96
0,72
0,120
0,60
0,120
0,120
0,120
44,
3,N/A
0,N/A
0,72
0,72
5,120
24,96
0,120
24,120
0,120
0,7%
1,19%
0,38%
0,34%
0,29%
0,61%
0,36%
0,53%
0,55%
0,49%
D,D.
B,D.
B,C.
B,C.
A,B.
A,C.
B,B.
B,B.
B,C.
B,C.
North Carolina,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
North Carolina Outer Banks,"Coasts of North Carolina, South Carolina, and southeastern Virginia (including Hampton Roads and the lower Chesapeake Bay)"
South Santee River South Carolina to Duck North Carolina,"Entire North Carolina coast, South Carolina coast north of South Santee River, and southeastern Virginia including lower Chesapeake Bay"
North Carolina,"South Santee River SC northward to Duck NC, with effects extending into the lower Chesapeake Bay and southeastern Virginia"
North Carolina,"Entire coast from South Carolina through southern Virginia, including Albemarle and Pamlico Sounds and lower Chesapeake Bay"
South Carolina,"Coasts of South Carolina, North Carolina, and southeastern Virginia including the lower Chesapeake Bay"
North Carolina/Virginia Border,"South Carolina, North Carolina, and eventually southeastern Virginia coasts"
South Carolina or North Carolina,South Carolina through Virginia and portions of the Mid-Atlantic coastline
southeastern coast of the United States,Southeastern and mid-Atlantic coastline from South Carolina through Virginia
southeastern coast of the United States,Southeastern and mid-Atlantic U.S. coastline from South Carolina through Virginia
D,C.
C,D.
C,D.
E,E.
F,F.
F,F.
F,F.
F,F.
D,D.
C,C.
A,C.
B,B.
A,B.
B,A.
D,A.
B,A.
B,A.
B,B.
A,D.
B,D.
Virginia,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
