response,ground_truth
No,Yes
No,Yes
No,No
No,No
No,No
No,Yes
No,Yes
No,Yes
No,Yes
No,No
B,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,A.
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
South Carolina to North Carolina,"Tropical Storm Warning extends from north of Duck, NC to Cape Charles Light, VA and in Chesapeake Bay south of New Point Comfort (well south of Baltimore)."
South Carolina to North Carolina,"Tropical Storm Warning north of Duck, NC to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort."
South Carolina to North Carolina,Hurricane Watch from Edisto Beach SC to South Santee River SC; Storm Surge Watch north of Duck NC to NC/VA border
North Carolina to South Carolina,"Tropical Storm Watch from north of the NC/VA border to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort"
Virginia Beach to North Carolina Beaches,"Tropical-storm watch from the NC/VA border northward to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,"North of the NC/VA border to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,"Edisto Beach, SC to the North Carolina–Virginia border including the Albemarle and Pamlico Sounds"
North Carolina to South Carolina,None in effect (watches likely for NC/SC coast Tuesday)
Virginia Beach to North Carolina Beaches,None issued
North Carolina to South Carolina,None
North Carolina to South Carolina,"Hurricane Warning from South Santee River, SC to Duck, NC including Albemarle and Pamlico Sounds; Storm Surge Warning from South Santee River, SC to Duck, NC."
South Carolina to North Carolina,"Hurricane Warning South Santee River, SC to Duck, NC including Albemarle & Pamlico Sounds; Tropical-Storm Warning areas noted above."
South Carolina to North Carolina,Hurricane Warning South Santee River SC to Duck NC including Albemarle & Pamlico Sounds; Tropical Storm Warning north of Duck NC to Cape Charles Light VA and Chesapeake Bay south of New Point Comfort
North Carolina to South Carolina,"Hurricane Warning South Santee River SC to Duck NC, Tropical Storm Warning north of Duck NC to NC/VA border"
Virginia Beach to North Carolina Beaches,"Hurricane warning South Santee River, SC to Duck, NC – Storm-surge warning and tropical-storm warning in the same stretch"
North Carolina to South Carolina,"South Santee River, SC to Duck, NC including Albemarle and Pamlico Sounds"
North Carolina to South Carolina,None
North Carolina to South Carolina,None in effect
North Carolina to South Carolina,None issued
North Carolina to South Carolina,None
"34.1N, 77.2W","34.2N, 77.4W"
"33.6N, 76.0W","33.7N, 76.2W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
W,WNW
W,W
6,6 mph
10,5 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,7 mph
Delaware,"Primary impact zone is the North Carolina and northern South Carolina coasts with secondary inland impacts spreading into South Carolina, western North Carolina, Virginia, and portions of the Mid-Atlantic including Maryland."
North Carolina,"Coasts of North Carolina and South Carolina, with tropical-storm conditions possible northward into southern Chesapeake Bay and portions of the Mid-Atlantic."
North Carolina,Primary impact along North & South Carolina coasts with tropical-storm conditions extending into southeastern Virginia
North Carolina,Coastal South Carolina through North Carolina and southeastern Virginia
Delaware,"Primary impact focus on the Carolina shoreline with secondary heavy-rain/flood impacts extending into the Mid-Atlantic states (VA, MD, DE, southern PA)."
North Carolina,"Entire Carolina coastline and much of the Mid-Atlantic seaboard, including Chesapeake Bay"
North Carolina,"South Carolina through the Mid-Atlantic coast, including Chesapeake Bay and Maryland shoreline"
North Carolina,Southeastern U.S. and Mid-Atlantic shoreline from South Carolina through Virginia–Maryland
Virginia,"Southeastern and mid-Atlantic coasts from South Carolina northward through Virginia and the Chesapeake Bay region, including Maryland"
North Carolina,Coastline from Georgia through North Carolina most directly in path; Mid-Atlantic coast including Virginia and Maryland could experience indirect effects
DOVER DE,BALTIMORE MD
Washingon D.C.,BALTIMORE MD
FREDERICK,BALTIMORE MD
Ft. Pierce FL,BALTIMORE MD
Wilmington DE,BALTIMORE MD
BALD HEAD ISL,BALTIMORE MD
CHARLESTON SC,BALTIMORE MD
FLORENCE SC,BALTIMORE MD
FLORENCE SC,BALTIMORE MD
BALTIMORE,BALTIMORE MD
3,4%
0,4%
0,4%
0,5%
0,13%
0,17%
0,28%
0,18%
0,20%
0,18%
1,0%
0,0%
0,0%
0,0%
0,<3%
0,<3%
0,4%
0,<1%
0,3%
0,3%
3,0
0,120
0,24
0,120
0,120
0,120
0,120
0,120
0,120
0,120
1,N/A
0,N/A
0,N/A
0,
0,N/A
24,
0,120
0,N/A
0,120
0,120
1,1%
0,4%
0,2%
0,5%
0,13%
0,17%
0,28%
0,18%
0,20%
0,17%
B,B.
A,C.
D,B.
C,D.
B,A.
B,C.
A,D.
B,A.
B,B.
A,C.
North Carolina,"Primary impact zone is the North Carolina and northern South Carolina coasts with secondary inland impacts spreading into South Carolina, western North Carolina, Virginia, and portions of the Mid-Atlantic including Maryland."
North Carolina Outer Banks,"Coasts of North Carolina and South Carolina, with tropical-storm conditions possible northward into southern Chesapeake Bay and portions of the Mid-Atlantic."
South Santee River South Carolina to Duck North Carolina,Primary impact along North & South Carolina coasts with tropical-storm conditions extending into southeastern Virginia
North Carolina,Coastal South Carolina through North Carolina and southeastern Virginia
North Carolina,"Primary impact focus on the Carolina shoreline with secondary heavy-rain/flood impacts extending into the Mid-Atlantic states (VA, MD, DE, southern PA)."
South Carolina,"Entire Carolina coastline and much of the Mid-Atlantic seaboard, including Chesapeake Bay"
North Carolina/Virginia Border,"South Carolina through the Mid-Atlantic coast, including Chesapeake Bay and Maryland shoreline"
