response,ground_truth
No,No
No,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
B,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
South Carolina to North Carolina,Storm-surge and hurricane watches confined to Edisto Beach SC to South Santee River SC.
South Carolina to North Carolina,Storm-surge watch from Edisto Beach SC to South Santee River SC and north of Duck NC to the NC/VA border; hurricane watch Edisto Beach SC to South Santee River SC
South Carolina to North Carolina,Hurricane Watch in effect Edisto Beach SC to South Santee River SC
North Carolina to South Carolina,A Hurricane Watch is posted from Edisto Beach SC to South Santee River SC; Tropical Storm Watch extends north of NC/VA border to Cape Charles Light VA and Chesapeake Bay south of New Point Comfort.
Virginia Beach to North Carolina Beaches,"North of the NC/VA border to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort (Tropical Storm Watch)"
North Carolina to South Carolina,"Tropical Storm Watch from north of the NC/VA border to Cape Charles Light, VA and Chesapeake Bay south of New Point Comfort"
North Carolina to South Carolina,None issued yet (watches anticipated Tuesday for the Carolina coast)
Virginia Beach to North Carolina Beaches,None issued
North Carolina to South Carolina,No watches posted as of Advisory 42
North Carolina to South Carolina,Hurricane warnings from South Santee River SC to Duck NC; tropical-storm warnings north of Duck NC to Cape Charles Light VA and parts of Chesapeake Bay.
South Carolina to North Carolina,Hurricane warning South Santee River SC to Duck NC including Albemarle & Pamlico Sounds; storm-surge warning South Santee River SC to Duck NC; tropical-storm warning north of Duck NC to Cape Charles Light VA and lower Chesapeake Bay
North Carolina to South Carolina,Hurricane Warning South Santee River SC to Duck NC; Tropical-Storm Warning north of Duck NC to Cape Charles Light VA and lower Chesapeake Bay
North Carolina to South Carolina,"Hurricane Warning from South Santee River SC to Duck NC, including Albemarle & Pamlico Sounds; Storm-Surge Warning from South Santee River SC to Duck NC including Neuse & Pamlico Rivers."
Virginia Beach to North Carolina Beaches,"South Santee River SC to Duck NC, Albemarle & Pamlico Sounds (Hurricane & Storm-Surge Warnings); north of Duck NC to NC/VA border (Tropical-Storm Warning)"
North Carolina to South Carolina,"Hurricane and Storm-Surge Warnings from South Santee River, SC to Duck, NC including Albemarle and Pamlico Sounds"
New York City to North Carolina,None issued
North Carolina to South Carolina,None issued
North Carolina to South Carolina,No warnings posted as of Advisory 42
"34.1N, 77.2W","34.2N, 77.4W"
"33.6N, 76.0W","33.7N, 76.2W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
W,WNW
W,W
6,6 mph
10,5 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,6 mph
Delaware,Southeastern North Carolina and northeastern South Carolina coast for landfall; broader impacts across the Mid-Atlantic states.
North Carolina,"Greatest coastal impacts along the North Carolina and northeastern South Carolina shores, spreading inland across the Carolinas and eventually into the Mid-Atlantic region"
North Carolina,"Primary impacts focused along the North and South Carolina coasts with inland progression toward GA, TN, VA and OH Valley"
North Carolina,"Primary impact expected along the coasts of South Carolina, North Carolina and southeastern Virginia."
Delaware,"Primary impact expected along the North Carolina and South Carolina coasts, with heavy rain extending into the Mid-Atlantic states"
