response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,C.
B,B.
A,B.
B,C.
B,C.
A,B.
A,A.
A,A.
Mississippi to Louisiana,West of Shell Beach LA to the Mouth of the Mississippi River and east of Dauphin Island AL to Navarre FL (includes Mobile Bay).
Florida coast,"Storm-Surge Watch west of Shell Beach to the Mouth of the Mississippi River and east of Dauphin Island to Navarre, FL"
Louisiana coast to Florida coast,Mouth of the Pearl River to the Alabama–Florida border
20N to 35N,"Alabama-Florida border westward to east of Morgan City, Louisiana, including Lake Pontchartrain and Lake Maurepas"
20N to 35N,"Alabama-Florida border westward to east of Morgan City, Louisiana, including Lake Pontchartrain and Lake Maurepas"
Mississippi to Louisiana,Mouth of the Pearl River to the Alabama-Florida border (includes Mobile Bay).
Panama City to Apalachicola,"Hurricane Warning from the Mouth of the Pearl River to the Alabama-Florida border; Storm-Surge Warning Shell Beach, LA to Dauphin Island, AL (includes Mobile Bay)"
Panama City to Destin,"Okaloosa–Walton County line, FL westward to east of Morgan City, LA, including Alabama coast, Lake Pontchartrain & Maurepas"
Louisiana to Florida,None
Grand Bahama to Abaco,None
"28.1N, 86.2W","28.9N, 87.3W"
"26.7N, 83.4W","27.3N, 85.0W"
"25.1N, 80.7W","25.8N, 81.9W"
"23.0N, 77.8W","24.0N, 79.4W"
"22.7N, 77.3W","22.7N, 77.3W"
WNW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
15,15 mph
17,17 mph
17,16 mph
15,15 mph
15,15 mph
Mississippi,North-central Gulf Coast from southeast Louisiana across Mississippi and Alabama to the western Florida Panhandle.
Florida,north-central Gulf Coast from southeastern Louisiana across Mississippi and Alabama to the western Florida Panhandle
Louisiana,"Navarre, FL westward through Alabama and Mississippi coasts to Shell Beach, LA"
Louisiana,"Central Gulf Coast from Destin, FL westward through the Mississippi and southeast Louisiana coasts"
Louisiana,"Entire central Gulf Coast from the Florida Panhandle through Louisiana, including the Alabama coast and Mobile Bay"
MOBILE AL,MOBILE AL
MOBILE AL,MOBILE AL
PENSACOLA,MOBILE AL
MOBILE,MOBILE AL
PENSACOLA,MOBILE AL
88,88%
58,73%
64,49%
29,24%
2,23%
20,20%
22,22%
0,12%
3,3%
3,4%
72,6
73,36
0,30
9,72
34,72
20,6
22,36
12,30
3,72
0,72
88,74%
58,73%
64,38%
14,24%
2,22%
D,D.
B,B.
B,B.
B,B.
A,C.
north-central Gulf coast,North-central Gulf Coast from southeast Louisiana across Mississippi and Alabama to the western Florida Panhandle.
Mouth of the Pearl River to the Alabama-Florida Border,north-central Gulf Coast from southeastern Louisiana across Mississippi and Alabama to the western Florida Panhandle
Mouth of the Pearl River to the Alabama-Florida Border,"Navarre, FL westward through Alabama and Mississippi coasts to Shell Beach, LA"
Mississippi-Alabama border,"Central Gulf Coast from Destin, FL westward through the Mississippi and southeast Louisiana coasts"
"Alabama-Florida border westward to east of Morgan City, Louisiana","Entire central Gulf Coast from the Florida Panhandle through Louisiana, including the Alabama coast and Mobile Bay"
B,B.
B,B.
B,B.
B,A.
B,A.
C,D.
B,B.
B,C.
B,C.
Louisiana,North-central Gulf Coast from southeast Louisiana across Mississippi and Alabama to the western Florida Panhandle.
Florida,north-central Gulf Coast from southeastern Louisiana across Mississippi and Alabama to the western Florida Panhandle
Florida,"Navarre, FL westward through Alabama and Mississippi coasts to Shell Beach, LA"
Florida,"Central Gulf Coast from Destin, FL westward through the Mississippi and southeast Louisiana coasts"
Florida,"Entire central Gulf Coast from the Florida Panhandle through Louisiana, including the Alabama coast and Mobile Bay"
120,10
120,18
120,36
120,42
120,50
12,10
12,0
12,24
120,12
120,24
D,D.
D,D.
D,D.
D,D.
C,D.
D,B.
D,B.
D,B.
D,C.
D,B.
D,B.
C,C.
D,C.
D,D.
D,D.
Yes,Yes
Yes,Yes
No,Yes
No,Yes
No,Yes
B,A.
C,B.
D,B.
C,C.
C,C.
14,10
12,18
48,36
50,42
24,50
A,A.
C,A.
A,A.
B,B.
B,A.
C,D.
C,C.
B,A.
B,D.
C,C.
B,D.
"Tornadoes are possible near the coasts of Mississippi, Alabama, and the Florida Panhandle.",A few tornadoes possible this afternoon and tonight in coastal Alabama.
Flash flooding may occur due to heavy rainfall.,Isolated tornadoes in outer rainbands and brief white-out squalls reducing visibility for port operations.
Tornadoes are possible across the southern and west-central Florida Peninsula.,"Isolated tornadoes, very rough seas and dangerous surf affecting approaches and anchorage areas."
"Tsunami watch is in effect for Mobile, AL.",A few tornadoes in outer rainbands Tuesday night and Wednesday.
Flash flooding may occur in the central and northwestern Bahamas.,Very rough seas and dangerous rip currents; isolated tornadoes in outer rainbands.
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""14"",
    ""in 48h"": ""12"",
    ""in 72h"": ""33"",
    ""in 96h"": ""33""
  }
}","{'in 12h': '74%', 'in 24h': '14%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""5"",
    ""in 48h"": ""10"",
    ""in 72h"": ""15"",
    ""in 96h"": ""20""
  }
}","{'in 12h': '0%', 'in 24h': '58%', 'in 48h': '73%', 'in 72h': '73%', 'in 96h': '73%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Low"",
    ""48_hours"": ""Low"",
    ""72_hours"": ""Low"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '43%', 'in 72h': '49%', 'in 96h': '49%'}"
"```json
{
  ""gale_force_probabilities"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""low"",
    ""48_hours"": ""low"",
    ""72_hours"": ""low"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '9%', 'in 72h': '24%', 'in 96h': '24%'}"
