response,ground_truth
No,No
No,Yes
B,A.
B,A.
A,A.
A,A.
TX to LA,None in effect
Texas Coast to Louisiana Coast,None in Louisiana – watches limited to Texas coast Baffin Bay to High Island
Galveston to Freeport,"Tropical Storm Warning from Baffin Bay to High Island, TX"
Galveston to Louisiana,"Tropical Storm Warning from Baffin Bay to High Island, TX"
"27.6N, 95.3W","27.9N, 95.7W"
"27.1N, 94.2W","27.1N, 94.2W"
NW,NW
NW,NW
13,13 mph
12,12 mph
Texas,Upper Texas coast and western Louisiana coast (including Calcasieu/Cameron Parishes)
Louisiana,Upper Texas coast and western Louisiana coast (including Lake Charles area)
BATON ROUGE LA,PORT ARTHUR TX
BATON ROUGE LA,PORT ARTHUR TX
99,30%
99,30%
11,0%
11,0%
24,6
24,9
24,N/A
24,N/A
N/A,30%
N/A,28%
D,B.
B,B.
Texas Coast,Upper Texas coast and western Louisiana coast (including Calcasieu/Cameron Parishes)
Baffin Bay to High Island Texas,Upper Texas coast and western Louisiana coast (including Lake Charles area)
B,B.
B,B.
B,B.
B,B.
Texas,Upper Texas coast and western Louisiana coast (including Calcasieu/Cameron Parishes)
Texas,Upper Texas coast and western Louisiana coast (including Lake Charles area)
36,6
36,9
None,N/A
12,24
B,B.
C,D.
D,B.
D,B.
D,B.
D,B.
No,Yes
No,Yes
C,A.
C,A.
3,6
12,9
B,A.
B,A.
B,B.
B,B.
B,A.
B,D.
Tornadoes are possible across portions of eastern Texas and far western Louisiana.,Low risk of isolated tornadoes in western Louisiana.
"No additional hazards are specifically mentioned for Lake Charles Harbor District, LA, beyond rainfall, wind, and storm surge.",Brief tornadoes/waterspouts in rain bands cannot be ruled out
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""5"",
    ""in 48h"": ""8"",
    ""in 72h"": ""8"",
    ""in 96h"": ""9""
  }
}","{'in 12h': '28%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""5"",
    ""in 48h"": ""8"",
    ""in 72h"": ""8"",
    ""in 96h"": ""8""
  }
}","{'in 12h': '28%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
16-06-2015,None
16-06-2015,None
16-06-2015,None
16-06-2015,None
20-06-2015,None
20-06-2015,None
5,0
5,0
5,None
5,None
100,None
1,None
B,A.
B,A.
