response,ground_truth
No,No
No,Yes
No,Yes
No,Yes
No,No
No,Yes
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Florida Panhandle to North Carolina Coast,"Tropical Storm Watch from South Santee River SC to Duck NC, including Pamlico and Albemarle Sounds"
Florida to North Carolina,Chassahowitzka FL to Anna Maria Island FL (incl. Tampa Bay); MS/AL border to Mouth of Pearl River; Fernandina Beach FL to South Santee River SC
Florida to Georgia,None (watches confined to northeastern Gulf Coast)
Florida to Georgia,Hurricane Watch from Alabama-Florida border to Suwannee River FL; Tropical Storm Watch from Suwannee River to Anna Maria Island FL and AL-MS border
Florida to Georgia,Tropical-storm warnings for Pinar del Río & Isle of Youth (Cuba) and the coast of Mexico from Tulum to Cabo Catoche.  Hurricane and tropical-storm watches expected later for the northeastern Gulf Coast (FL Panhandle).
Florida to Georgia,No U.S. watches in effect as of this advisory
Florida to Louisiana,"Tropical Storm Watch in effect from Tulum to Cabo Catoche, Mexico"
Mexico to Florida,"Tulum to Cabo Catoche, Yucatan Peninsula (Tropical Storm Watch)"
Panama City to Tallahassee,Tropical Storm Warning north of Fernandina Beach FL to South Santee River SC; Hurricane Warning Alabama/Florida border to Suwannee River FL; Storm Surge Warning Okaloosa/Walton Co. Line FL to Anclote River FL
Panama City to Tallahassee,Hurricane: AL/FL border to Suwannee River FL.  Tropical-Storm: AL/FL border to MS/AL border and Suwannee River to Chassahowitzka FL
Mexico to Florida,None (warnings confined to northeastern Gulf Coast)
Mexico to Florida,Hurricane Warning Pinar del Rio (Cuba); Tropical Storm Warning Isle of Youth (Cuba) and Tulum-Cabo Catoche (MX); Storm-Surge Watch Navarre FL to Anna Maria Island FL
Panama City to Mexico,Same as watch area above (tropical-storm warning in Cuba & Yucatán).  No U.S. Atlantic-coast warnings yet.
Florida to Georgia,No U.S. warnings in effect as of this advisory
Jamaica to Florida,Tropical Storm Warning for the Cuban provinces of Pinar del Rio and the Isle of Youth
Jamaica to Florida,"Pinar del Rio and Isle of Youth, Cuba (Tropical Storm Warning)"
"26.6N, 86.5W","27.7N, 86.6W"
"24.5N, 86.1W","25.4N, 86.4W"
"22.7N, 85.2W","23.6N, 85.7W"
"20.9N, 85.1W","21.7N, 85.1W"
"19.9N, 85.4W","20.1N, 85.5W"
"18.9N, 86.8W","19.2N, 86.9W"
"18.3N, 86.6W","18.4N, 87.1W"
"18.0N, 86.6W","18.0N, 86.6W"
N,N (forecast to turn NE)
NNW,N
N,NNW
N,N
N,N
N,Stationary (expected to resume northward later today)
N,NW
NW,NW
12,12 mph
12,12 mph
12,12 mph
7,7 mph
5,5 mph
3,0 mph
6,5 mph
6,6 mph
Florida,"Florida Panhandle, southeast Alabama–Georgia, Carolinas, coastal Mid-Atlantic, and offshore waters south of New England"
Florida,"Northern Gulf Coast, southeastern U.S., Carolinas, Mid-Atlantic and New England coastline"
Florida,"Northeastern Gulf Coast, then inland across GA–SC–NC and eventually the Mid-Atlantic and southern New England coastline including Cape Cod and Massachusetts Bay"
Florida,"Florida Gulf Coast, then across GA/SC/NC and northward along the Mid-Atlantic and southern New England coastline"
Florida,Florida Panhandle → Georgia & Carolinas inland → Mid-Atlantic → offshore New England (including Cape Cod and Gulf of Maine waters).
Florida,"Florida Panhandle to the entire U.S. East Coast, including New England during days 4-5"
Florida,Greatest impacts expected along the Florida Panhandle and then inland across the southeastern United States
Florida,"Western Cuba, Yucatan Peninsula, Gulf Coast of Florida (mainly the Panhandle), then inland across GA/SC/NC"
Cedar Key FL,HYANNIS MA
