response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,C.
B,C.
B,C.
B,C.
B,C.
B,B.
B,B.
B,B.
B,B.
B,B.
B,A.
A,A.
Mississippi to Louisiana,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Mississippi to Louisiana,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Mississippi to Louisiana,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Louisiana coast to Florida coast,"Mouth of the Mississippi River westward to Cameron, LA"
Louisiana coast to Florida coast,"Mouth of the Mississippi River to Cameron, LA"
Louisiana coast to Florida coast,"Mouth of the Mississippi River to Morgan City, Louisiana"
Mississippi to Louisiana,"Mouth of the Pearl River to Grand Isle, Lake Pontchartrain and Lake Maurepas including metropolitan New Orleans, Intracoastal City to Cameron"
Mississippi to Louisiana,Mouth of the Pearl River to Grand Isle; Lake Pontchartrain and Maurepas including metropolitan New Orleans; Intracoastal City to Cameron
Mississippi to Louisiana,Intracoastal City to Grand Isle (Hurricane) and Mouth of the Pearl River to Grand Isle including Lakes Pontchartrain & Maurepas (Tropical Storm)
Key West to Florida Keys,Mouth of the Pearl River to Morgan City (Tropical Storm); Mouth of the Atchafalaya River to Shell Beach (Storm Surge)
Louisiana to Florida,None in effect as of Advisory #3
Louisiana to Florida,None
"28.7N, 90.9W","28.6N, 91.0W"
"28.1N, 90.2W","28.2N, 90.4W"
"27.8N, 89.3W","27.9N, 89.4W"
"27.5N, 88.2W","27.8N, 88.7W"
"28.1N, 87.4W","27.7N, 88.0W"
"28.5N, 86.4W","28.5N, 86.4W"
WNW,WNW
WNW,WNW
W,W
W,W
WSW,WSW
WSW,WSW
6,3 mph
5,5 mph
5,3 mph
5,5 mph
8,9 mph
8,8 mph
Louisiana,North-central Gulf Coast of Louisiana and Mississippi
Louisiana,north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
Mississippi,North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
Louisiana,"North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
Louisiana,North-central Gulf Coast including all of Louisiana and portions of Mississippi
Louisiana,"Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
LAKE CHARLES,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
LAKE CHARLES,NEW ORLEANS LA
LAKE CHARLES,NEW ORLEANS LA
MATA GORDA,NEW ORLEANS LA
MATA GORDA TX,NEW ORLEANS LA
99,84%
99,61%
100,58%
100,53%
100,38%
100,37%
19,19%
10,8%
10,18%
1,14%
10,8%
0,7%
12,6
120,48
10,120
1,72
34,120
10,120
120,12
N/A,36
11,96
1,72
10,96
10,120
99,82%
99,61%
5,58%
100,27%
1,38%
10,37%
B,B.
C,C.
C,C.
D,D.
B,A.
D,D.
south-central Louisiana coast,North-central Gulf Coast of Louisiana and Mississippi
Louisiana coast,north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
Louisiana coast,North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
Louisiana coast,"North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
Mouth of the Mississippi River to Cameron,North-central Gulf Coast including all of Louisiana and portions of Mississippi
Mouth of the Mississippi River to Morgan City,"Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
C,C.
A,A.
B,B.
B,C.
Mississippi,North-central Gulf Coast of Louisiana and Mississippi
Louisiana,north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
Mississippi,North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
Louisiana,"North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
Louisiana,North-central Gulf Coast including all of Louisiana and portions of Mississippi
Louisiana,"Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
120,15
120,28
120,36
120,38
120,48
120,69
12,24
12,36
24,72
48,60
48,24
120,N/A
D,D.
D,D.
C,D.
C,D.
D,D.
D,D.
D,C.
D,C.
D,C.
D,C.
D,B.
D,C.
D,B.
D,C.
D,D.
D,D.
D,D.
D,D.
Yes,Yes
Yes,Yes
No,Yes
No,Yes
No,Yes
No,Yes
C,A.
C,A.
D,A.
D,C.
C. 24-48 hours,C.
B. 0-24 Hours,C.
36,15
3,28
36,36
36,38
48,48
40,69
B,A.
C,A.
C,A.
C,B.
B,B.
C,B.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
Tornadoes are possible across southeast Louisiana and southern Mississippi.,Isolated tornadoes in rainbands; prolonged high river stages hindering navigation and cargo operations.
"Tornadoes are possible across southeast Louisiana, far southern Mississippi, and the Alabama coast.",Scattered tornadoes in outer rainbands; prolonged high river stages on the Mississippi hinder drainage and could disrupt port logistics.
"Tornadoes are possible across southeast Louisiana, far southern Mississippi, and the Alabama coast.",A few tornadoes Friday–Friday night; existing high Mississippi River levels may exacerbate flooding and hamper port operations.
Tornadoes are possible across southern portions of Louisiana and Mississippi.,Isolated tornadoes and widespread river/flash flooding that could disrupt port operations.
Tsunami warnings may be issued if the storm intensifies and approaches the coast.,"Fresh-water flooding of the Mississippi River and its tributaries, reduced visibility, possible closure of navigation channels and terminals due to high water and surge."
"Tsunami watch is in effect for South Louisiana, LA, Port of.","Reduced visibility, strong river currents, and potential temporary closure of shipping channels; possible inland river flooding affecting port logistics."
