response,ground_truth
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,Yes
No,Yes
No,Yes
A,A.
A,A.
B,A.
A,A.
B,A.
A,C.
B,C.
B,C.
B,C.
B,C.
A,A.
A,A.
B,A.
A,A.
B,A.
A,B.
B,B.
B,B.
B,B.
B,A.
None,Prince Edward Island and Magdalen Islands (Canada)
Long Island to Cape Cod,"Hurricane/Tropical‐storm watches confined to Nova Scotia, Prince Edward Island, Magdalen Islands and parts of Newfoundland"
Bermuda to North Carolina,"Hurricane Watch for Nova Scotia; Tropical-Storm Watch for Prince Edward Island, Magdalen Islands and parts of New Brunswick/Newfoundland"
30N to 45N,n/a
NC to VA,"North of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, Tidal Potomac south of Cobb Island, Woods Hole MA to Sagamore Beach MA, Nantucket and Martha’s Vineyard MA"
30.2N 79.8W to 30.2N 78.8W,"North of Ponte Vedra Beach, FL to Savannah River"
South Carolina to Florida,North of Ponte Vedra Beach FL to Savannah River
Florida to North Carolina,North of Ponte Vedra Beach FL to Savannah River
Florida to North Carolina,North of Ponte Vedra Beach FL to South Santee River SC
Florida to North Carolina,North of Ponte Vedra Beach FL to South Santee River SC
Long Island to Cape Cod,Eastern Nova Scotia and western Newfoundland (Hurricane Warning); Woods Hole MA to Eastport ME (Tropical Storm Warning)
Long Island to Cape Cod,Tropical-storm warnings for extreme SE Massachusetts and coastal Maine; hurricane warnings for eastern Nova Scotia
Bermuda to North Carolina,"Hurricane Warning Surf City NC to NC/VA border; Tropical-Storm Warning NC/VA border to Fenwick Island DE, parts of Chesapeake & Tidal Potomac, and coastal Massachusetts"
Bermuda to North Carolina,n/a
NC to FL,Hurricane Warning from Savannah River GA to the NC/VA border including Pamlico and Albemarle Sounds; Storm-surge warning Savannah River to Poquoson VA including Neuse & Pamlico Rivers and Hampton Roads
North Carolina to South Carolina,"Flagler/Volusia County line, FL to Savannah River"
Florida to North Carolina,North of Ponte Vedra Beach FL to Savannah River (Tropical Storm Warning); Storm Surge Warning Sebastian Inlet FL to Surf City NC
Florida to Bahamas,North of Ponte Vedra Beach FL to Savannah River
Miami to North Carolina,North of Ponte Vedra Beach FL to Altamaha Sound GA
South Carolina to Florida,Hurricane Warning Jupiter Inlet FL to Ponte Vedra Beach FL; Storm Surge Warning Lantana FL to Altamaha Sound GA
"39.7N, 68.1W","40.9N, 67.0W"
"36.9N, 72.7W","37.4N, 71.6W"
"34.6N, 76.2W","35.2N, 75.7W"
"33.1N, 78.5W","33.4N, 78.0W"
"31.7N, 79.5W","32.1N, 79.3W"
"30.2N, 79.8W","30.9N, 79.8W"
"29.2N, 79.5W","29.5N, 79.6W"
"27.7N, 78.7W","28.1N, 78.8W"
