response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
B,B.
B,A.
B,B.
B,B.
B,B.
B,A.
B,A.
Puerto Rico to Dominican Republic,None
15N to 25N,None
10N to 25N,British Virgin Islands
Florida to the Virgin Islands,"U.S. Virgin Islands, Puerto Rico (including Vieques and Culebra), British Virgin Islands"
10N to 25N,Puerto Rico and the U.S. Virgin Islands are expected to be placed under a Tropical Storm Watch later today
Puerto Rico to Dominican Republic,"U.S. Virgin Islands, Puerto Rico (including Vieques & Culebra), and British Virgin Islands"
Jamaica to Dominican Republic,"U.S. Virgin Islands, Puerto Rico (including Vieques and Culebra) and British Virgin Islands"
Mexico to Florida,U.S. Virgin Islands and Puerto Rico (including Vieques and Culebra)
Jamaica to Florida,"Grenada and its dependencies, St. Vincent and the Grenadines"
5 AM Sun to 2 AM Mon,"Trinidad and Tobago, Grenada and its dependencies"
"16.3N, 65.7W","16.8N, 65.8W"
"15.5N, 65.2W","15.9N, 65.6W"
"13.1N, 63.5W","13.6N, 63.9W"
"12.7N, 62.3W","12.9N, 62.7W"
"11.9N, 60.2W","11.9N, 60.2W"
N,N
NNW,NNW
WNW,NW
WNW,WNW
WNW,WNW
8,7 mph
12,13 mph
12,8 mph
13,13 mph
9,9 mph
Puerto Rico,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
Florida,"Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Florida,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
Florida,Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
Florida,"Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
6,6%
38,41%
26,26%
33,34%
36,38%
6,0%
41,<3%
3,3%
5,5%
6,6%
6,6
41,36
72,48
72,36
36,120
6,N/A
41,N/A
36,48
48,36
6,96
6,4%
38,41%
26,26%
33,19%
38,38%
C,C.
A,A.
C,C.
A,A.
B,B.
Puerto Rico,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
Puerto Rico,"Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Puerto Rico,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
Puerto Rico,Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
Windward Islands,"Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
B,B.
A,A.
B,B.
B,B.
B,B.
B,D.
A,A.
B,C.
A,A.
A,C.
Bermuda,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
Puerto Rico,"Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Puerto Rico,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
Puerto Rico,Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
Puerto Rico,"Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
120,6
120,12
120,30
120,40
120,48
12,12
120,24
12,36
120,60
54,72
C,D.
C,D.
D,D.
D,D.
C,D.
D,B.
D,B.
D,B.
D,B.
D,B.
D,B.
C,C.
C,C.
D,C.
D,D.
No,No
No,Yes
No,Yes
Yes,No
No,Yes
D,A.
C,A.
C,B.
C,B.
C,C.
12,6
21,12
36,30
48,40
12,48
B,A.
B,A.
B,A.
B,B.
A,A.
B,A.
B,A.
B,A.
B,A.
B,B.
B,D.
B,D.
B,D.
B,B.
Mudslides and flash flooding are possible in mountainous areas.,Rough seas and dangerous rip currents; possible mudslides in steep terrain
Mudslides and flash flooding are possible in mountainous areas.,Flash flooding and rapid rises on small streams; minor power interruptions possible.
Mudslides and flash flooding are possible in mountainous areas.,Rough seas and dangerous rip currents around the port approaches
Flooding and mudslides are possible in mountainous areas.,Rapidly deteriorating sea state and hazardous marine conditions affecting vessel operations and harbor approaches.
"No specific additional hazards are mentioned for the Virgin Islands - St. Croix, VI, beyond wind, rainfall, and storm surge.",Rough seas and hazardous marine conditions beginning late Tuesday could disrupt port operations.
"{
  ""gale_probability"": {
    ""in 12h"": ""5"",
    ""in 24h"": ""10"",
    ""in 48h"": ""19"",
    ""in 72h"": ""19"",
    ""in 96h"": ""19""
  }
}","{'in 12h': '4%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    "",
    ""in 48h"": ""1"",
    ""in 72h"": "" : ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '5%', 'in 24h': '38%', 'in 48h': '41%', 'in 72h': '41%', 'in 96h': '41%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""5"",
    ""in 72h"": ""14"",
    ""in 96h"": ""18""
  }
}","{'in 12h': '2%', 'in 24h': '18%', 'in 48h': '26%', 'in 72h': '26%', 'in 96h': '26%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""4"",
    ""in 72h"": ""13"",
    ""in 96h"": ""13""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '22%', 'in 72h': '33%', 'in 96h': '34%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""12h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '13%', 'in 72h': '36%', 'in 96h': '37%'}"
24-09-2019,9/23/2019
23-09-2019,9/23/2019
24-09-2019,9/23/2019
23-09-2019,9/23/2019
22-09-2019,9/23/2019
