response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
B,A.
B,A.
B,C.
A,C.
A,C.
A,A.
A,A.
A,A.
A,B.
A,B.
A,B.
B,B.
A,B.
A,A.
A,A.
A,A.
A,A.
Mississippi to Louisiana,"Baffin Bay to Port Aransas, TX"
Alabama to Florida,"Baffin Bay to Port Aransas, TX"
85W to 95W,"Tropical Storm Watch from Baffin Bay to Port Aransas, TX"
Galveston to Freeport,"Port Aransas, TX to High Island, TX"
Louisiana coast to Florida coast,"Port Aransas, TX to High Island, TX"
Mississippi to Louisiana,"Port Aransas, TX to High Island, TX for hurricane conditions; Port Mansfield, TX to High Island, TX (including Galveston Bay) for storm surge"
Texas Coast to Louisiana Coast,None
Mexico to Florida,
Mexico to Florida,No watches in effect yet along the U.S. coast
Mississippi to Louisiana,"Port Aransas, TX to Morgan City, LA (tropical-storm); Port Aransas, TX to Sabine Pass, TX including Galveston Bay (storm-surge)"
Alabama to Florida,"Port Aransas, TX to Morgan City, LA (includes Galveston Bay and Texas City area)"
Louisiana to Florida,"Tropical Storm Warning from Port Aransas, TX to Morgan City, LA; Storm Surge Warning from Port Aransas, TX to Rockefeller Wildlife Refuge, LA (includes Galveston Bay)"
Galveston to Freeport,"Port Aransas, TX to Morgan City, LA"
Louisiana to Florida,"Port Aransas, TX to Intracoastal City, LA"
Galveston to Louisiana,None
None,None
Mexico to Florida,
Mexico to Florida,No warnings in effect yet along the U.S. coast
"27.8N, 95.5W","28.1N, 96.0W"
"27.6N, 94.1W","27.6N, 94.8W"
"27.1N, 92.8W","27.6N, 93.6W"
"26.7N, 92.2W","26.9N, 92.4W"
"26.5N, 92.4W","26.6N, 92.7W"
"25.5N, 92.3W","25.8N, 92.2W"
"23.8N, 93.9W","23.8N, 93.9W"
"22.0N, 94.2W","22.0N, 94.2W"
"21.9N, 94.3W","21.9N, 94.3W"
W,WNW
WNW,WNW
WNW,WNW
Stationary,N
N,W
NNE,NNE
NNE,NNE
NE,NE
NE,NE
6,7 mph
6,6 mph
3,5 mph
Stationary,2 mph
8,2 mph
12,12 mph
7,7 mph
3,3 mph
5,5 mph
Mississippi,"Middle and upper Texas coast, including Galveston Bay, extending east into southern Louisiana"
Mississippi,"Central and upper Texas coast including Matagorda Peninsula, Galveston Bay, and southwest Louisiana coast"
Mississippi,Central and upper Texas coast including Galveston Bay and the southwestern Louisiana coast
Mississippi,"Entire central and upper Texas coast, including Galveston Bay and Texas City shoreline"
Louisiana,Texas coast from Port Mansfield northward to High Island and portions of southwest Louisiana
Louisiana,"Northwest Gulf Coast from Port Mansfield, TX eastward to southwestern Louisiana"
Louisiana,Western Gulf Coast from northeastern Mexico through the entire Texas shoreline to southwest Louisiana
Florida,"Western Gulf coast from northeastern Mexico to southeastern Louisiana, including the entire Texas shoreline"
Texas,"Western Gulf coast from Tampico, MX northward to the upper Texas coast, including Galveston Bay"
PORT ARTHUR TX,GALVESTON TX
PORT ARTHUR TX,GALVESTON TX
PORT ARTHUR TX,GALVESTON TX
PORT O CONNOR,GALVESTON TX
PORT O CONNOR,GALVESTON TX
PORT O CONNOR,GALVESTON TX
PORT O CONNOR,GALVESTON TX
PORT ARTHUR TX,GALVESTON TX
PORT ARTHUR TX,GALVESTON TX
99,99%
99,99%
9,75%
95,59%
1,72%
10,66%
1,42%
3,29%
3,29%
6,6%
4,11%
1,20%
1,13%
0,27%
0,22%
1,10%
6,6%
6,6%
96,0
120,6
11,6
12,120
1,36
1,30
11,60
18,120
18,72
24,30
N/A,6
74,18
12,120
1,36
1,60
12,108
N/A,120
N/A,72
99,99%
99,99%
89,39%
95,59%
0,27%
1,16%
1,12%
N/A,29%
N/A,16%
D,A.
A,A.
B,B.
C,A.
D,D.
C,A.
C,C.
B,D.
B,A.
Port O'Connor,"Middle and upper Texas coast, including Galveston Bay, extending east into southern Louisiana"
Texas Coast,"Central and upper Texas coast including Matagorda Peninsula, Galveston Bay, and southwest Louisiana coast"
Texas Coast,Central and upper Texas coast including Galveston Bay and the southwestern Louisiana coast
Texas Coast,"Entire central and upper Texas coast, including Galveston Bay and Texas City shoreline"
"Port Mansfield, TX to Cameron, LA",Texas coast from Port Mansfield northward to High Island and portions of southwest Louisiana
"Port Mansfield, TX to High Island, TX","Northwest Gulf Coast from Port Mansfield, TX eastward to southwestern Louisiana"
Texas,Western Gulf Coast from northeastern Mexico through the entire Texas shoreline to southwest Louisiana
Texas,"Western Gulf coast from northeastern Mexico to southeastern Louisiana, including the entire Texas shoreline"
Tampa Bay,"Western Gulf coast from Tampico, MX northward to the upper Texas coast, including Galveston Bay"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
B,B.
D,D.
C,C.
B,B.
A,A.
B,A.
B,D.
B,C.
Louisiana,"Middle and upper Texas coast, including Galveston Bay, extending east into southern Louisiana"
Louisiana,"Central and upper Texas coast including Matagorda Peninsula, Galveston Bay, and southwest Louisiana coast"
Louisiana,Central and upper Texas coast including Galveston Bay and the southwestern Louisiana coast
Louisiana,"Entire central and upper Texas coast, including Galveston Bay and Texas City shoreline"
Mississippi,Texas coast from Port Mansfield northward to High Island and portions of southwest Louisiana
Galveston,"Northwest Gulf Coast from Port Mansfield, TX eastward to southwestern Louisiana"
Texas,Western Gulf Coast from northeastern Mexico through the entire Texas shoreline to southwest Louisiana
Louisiana,"Western Gulf coast from northeastern Mexico to southeastern Louisiana, including the entire Texas shoreline"
Louisiana,"Western Gulf coast from Tampico, MX northward to the upper Texas coast, including Galveston Bay"
120,12
120,18
120,30
None,36
120,48
120,60
120,69
120,96
None,90
120,48
120,48
120,
None,72
120,72
12,84
120,96
None,132
None,48
C,D.
D,D.
C,D.
D,D.
D,D.
D,D.
D,D.
D,D.
B,D.
D,C.
D,C.
D,C.
D,C.
D,D.
D,D.
D,D.
D,D.
D,D.
D,A.
D,B.
D,B.
D,D.
D,C.
D,C.
D,D.
D,D.
