response,ground_truth
No,Yes
No,Yes
No,Yes
No,No
No,No
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Alabama to Florida,Hurricane and tropical-storm watches confined to the north-central Gulf Coast (east of Bay St. Louis MS to Indian Pass FL)
Alabama to Florida,Hurricane and Tropical-Storm Watches confined to the north-central Gulf Coast from east of the Pearl River to the Florida Panhandle
Mississippi to Florida,Hurricane Watch: Morgan City LA to Navarre FL; Tropical Storm Watch: east of Navarre FL to Indian Pass FL; Storm-surge Watch: Port Fourchon LA to Okaloosa/Walton County Line FL
Florida to Louisiana,Hurricane Watch: Mississippi/Alabama border to Alabama/Florida border; Tropical Storm Watch: Indian Pass FL to Ochlockonee River FL
Florida coast,"Storm Surge Watch from the Mississippi/Alabama border eastward to the Alabama/Florida border; Hurricane Watch east of Ocean Springs, MS, to the Alabama/Florida border; Tropical Storm Watch Indian Pass to Ochlockonee River, FL"
Alabama to Florida,"Storm-surge watch from Mississippi/Alabama border to Alabama/Florida border; Hurricane watch east of Ocean Springs, MS to the Alabama/Florida border; Tropical-storm watch Indian Pass to Ochlockonee River, FL"
Louisiana coast to Florida coast,"Storm-surge watch: Mouth of the Mississippi River to the AL/FL border, incl. Lake Pontchartrain, Lake Maurepas, Lake Borgne and Mobile Bay.  Hurricane watch: Grand Isle LA to the AL/FL border."
Florida coast,Ochlockonee River FL to Okaloosa/Walton County Line FL (Florida Panhandle)
Florida coast,"South of Jupiter Inlet to north of Ocean Reef, Florida (Atlantic side)"
Mobile to Pensacola,Hurricane and storm-surge warnings from the mouth of the Mississippi River eastward to the Florida Panhandle (Bay St. Louis MS to Navarre FL)
Mobile to Biloxi,"Hurricane and Storm-Surge Warnings from the mouth of the Mississippi River eastward to Navarre, Florida (Gulf Coast)"
Mississippi to Florida,"Hurricane Warning: Morgan City LA to Navarre FL (incl. New Orleans area); Tropical Storm Warning: east of Navarre FL to Indian Pass FL; Storm-surge Warning: Port Fourchon LA to Okaloosa/Walton County Line FL, incl. Mobile Bay and Lakes Pontchartrain/Maurepas/Borgne"
Florida to Louisiana,Hurricane Warning: Morgan City LA to Mississippi/Alabama border; Tropical Storm Warning: Mississippi/Alabama border to Indian Pass FL; Storm-surge Warning: Port Fourchon LA to the Alabama/Florida border including Mobile Bay
Florida coast,"Hurricane Warning Morgan City, LA, to Ocean Springs, MS including Lake Pontchartrain and metro New Orleans; Storm Surge Warning Port Fourchon, LA, to the Mississippi/Alabama border including adjacent bays; Tropical Storm Warning east of Ocean Springs, MS, to Indian Pass, FL and Intracoastal City, LA, to west of Morgan City, LA"
Florida coast,"Storm-surge warning Port Fourchon, LA to MS/AL border including Lake Pontchartrain/Maurepas; Hurricane warning Grand Isle, LA to Ocean Springs, MS; Tropical-storm warning east of Ocean Springs, MS to Indian Pass, FL"
Florida to Louisiana,None in effect (as of Advisory 5A).
Florida Keys to Louisiana,None
Florida to Louisiana,None
"29.2N, 88.2W","29.6N, 88.0W"
"28.8N, 88.0W","29.1N, 88.0W"
"28.7N, 87.1W","28.8N, 87.5W"
"28.1N, 86.9W","28.4N, 87.4W"
"27.7N, 85.5W","27.9N, 86.2W"
"26.7N, 83.4W","27.3N, 84.6W"
"25.6N, 81.6W","26.0N, 82.5W"
"25.7N, 80.2W","25.6N, 81.1W"
"25.4N, 79.0W","25.5N, 79.5W"
NW,N
W,NW
WNW,WNW
W,WNW
WNW,WNW
WNW,WNW
W,WNW
WNW,W
WNW,WNW
2,2 mph
3,2 mph
7,5 mph
12,8 mph
12,9 mph
8,13 mph
7,8 mph
8,9 mph
8,8 mph
Alabama,"North-central Gulf Coast then inland across AL, GA and the Carolinas"
Alabama,"Primary impact zone along the northern Gulf Coast; inland impacts spreading across AL, GA, and into SC/NC late week"
Alabama,"Northern Gulf Coast (southeast LA through western FL Panhandle) with inland impacts spreading across AL, GA, and the Carolinas"
Alabama,Northern Gulf Coast from Louisiana to the western Florida Panhandle; inland track across AL-GA-TN
Florida,"North-central Gulf Coast from southeastern Louisiana eastward through coastal Mississippi, Alabama, and the western Florida Panhandle"
Florida,"Central Gulf Coast (southeastern Louisiana, Mississippi, Alabama, far W Florida Panhandle)"
Florida,Central and eastern Gulf Coast from Louisiana to the western Florida Panhandle.
Louisiana,"Southern Florida peninsula, Florida Keys, eastern Gulf Coast and north-central Gulf Coast from coastal Alabama westward to southeast Louisiana"
Louisiana,"South and central Florida tonight/Saturday, then northern Gulf Coast from Louisiana eastward to the Florida Panhandle early next week"
CHARLESTON SC,CHARLESTON SC
BEAUFORT,CHARLESTON SC
PENSACOLA NAS,CHARLESTON SC
PENSACOLA NAS,ATLANTA GA
PENSACOLA NAS,CHARLESTON SC
PENSACOLA NAS,AUGUSTA GA
GFMX 280N 930W,AUGUSTA GA
PENSACOLA NAS,KINGS BAY GA
PENSACOLA NAS,KINGS BAY GA
100,11%
100,7%
0,5%
0,6%
0,4%
0,3%
0,3%
0,6%
0,7%
1,4%
3,3%
0,3%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
13,72
1,96
0,96
0,48
0,120
0,120
0,120
0,120
0,96
13,72
3,96
0,96
0,0
0,0
0,N/A
0,0
0,N/A
0,0
1,11%
7,6%
0,5%
0,3%
0,4%
0,3%
0,3%
0,6%
0,7%
B,D.
B,D.
C,A.
B,C.
C,B.
A,B.
B,B.
C,D.
B,D.
East of Bay St. Louis Mississippi to Navarre Florida,"North-central Gulf Coast then inland across AL, GA and the Carolinas"
southeastern Louisiana,"Primary impact zone along the northern Gulf Coast; inland impacts spreading across AL, GA, and into SC/NC late week"
Morgan City Louisiana to the Navarre Florida,"Northern Gulf Coast (southeast LA through western FL Panhandle) with inland impacts spreading across AL, GA, and the Carolinas"
Mississippi/Alabama Border,Northern Gulf Coast from Louisiana to the western Florida Panhandle; inland track across AL-GA-TN
