response,ground_truth
No,Yes
No,Yes
Yes,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
B,C.
B,C.
A,C.
B,A.
B,A.
A,A.
A,A.
A,A.
A,B.
A,B.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Louisiana to Florida,None
Louisiana to Mississippi,"Intracoastal City to west of Morgan City, plus Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City LA to west of Morgan City and including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City, LA eastward to the Mississippi/Alabama border, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
80W to 90W,None in effect for U.S. Gulf coast as of Advisory 8
80W to 90W,"Hurricane Watch from Punta Herrero to Cancun, Mexico"
Mexico Coastline to Central America Coastline,"Punta Herrero to Cancun, Mexico (Hurricane Watch)"
Mexico to Florida,None in the United States at this time
Mexico to Florida,Tropical Storm Watch currently limited to the Honduras/Nicaragua border westward to Punta Castilla (Central America) – no U.S. watches yet
Louisiana to Florida,"Intracoastal City LA to the Mississippi/Alabama border, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Louisiana to Florida,"Mouth of the Pearl River to the MS/AL border, Lake Pontchartrain, Lake Maurepas, Metropolitan New Orleans, and Cameron to west of Morgan City"
Louisiana to Florida,Morgan City LA to the Mouth of the Pearl River (hurricane) and Mouth of the Pearl River to the MS/AL border plus Lake Pontchartrain/Lake Maurepas/Metropolitan New Orleans (tropical-storm)
Cuba,None
Florida to Louisiana,None in effect for U.S. Gulf coast as of Advisory 8
Mexico to Louisiana,"Tropical Storm Warning from Punta Herrero to Dzilam, Mexico"
Mexico to Belize,"Honduras/Nicaragua border to Punta Castilla, Bay Islands of Honduras, Puerto Cabezas northward, and Punta Herrero to Cancun (Tropical-Storm Warning)"
Cabo Rojo to Punta de Mulas,None in the United States at this time
Cabo Rojo to Punta de Mulas,None in effect for U.S. coastline in this advisory
"26.8N, 87.6W","27.6N, 88.2W"
"24.7N, 87.3W","25.8N, 87.8W"
"22.8N, 86.3W","23.7N, 87.0W"
"20.9N, 85.3W","21.9N, 85.7W"
"18.7N, 84.9W","19.6N, 85.4W"
"16.6N, 84.1W","17.7N, 84.3W"
"14.9N, 82.2W","15.4N, 83.1W"
"15.1N, 79.7W","14.3N, 81.0W"
"15.1N, 79.7W","15.1N, 79.7W"
NNW,NW
NNW,NNW
NNW,NNW
NNW,NNW
NNW,NNW
NW,NW
WNW,WNW
W,W
W,W (280°) – expected to turn WNW then NW
12,10 mph
14,13 mph
13,13 mph
12,13 mph
13,12 mph
14,13 mph
14,12 mph
21,18 mph
21,21 mph
Louisiana,Louisiana coast from Morgan City eastward to Ocean Springs MS and adjacent north-central Gulf Coast
Louisiana,"Central and southeast Louisiana coastline, including Mississippi River Delta and adjacent Mississippi coast"
Louisiana,"Louisiana coastline from Sabine Pass eastward through southeast Louisiana, Mississippi and Alabama coasts"
Louisiana,"Central and eastern Louisiana coastline, Mississippi and Alabama Gulf coasts"
Louisiana,"coastal Louisiana, Mississippi, and upper Texas expected to feel effects as Marco approaches"
Louisiana,"Yucatan Peninsula Saturday, then entire northern Gulf Coast from Texas to Mississippi early next week"
Mexico,"Northern Gulf Coast from Texas through Mississippi, including southeast Louisiana"
Louisiana,Entire northern Gulf Coast from Texas to the Florida Panhandle lies within the 5-day cone
Louisiana,Entire north-central Gulf Coast from upper Texas coast across Louisiana to the Florida Panhandle is within the 5-day cone
NEW ORLEANS LA,NEW ORLEANS LA
GFMX 280N 910W,NEW ORLEANS LA
NEW IBERIA LA,NEW ORLEANS LA
NEWPORT NEWS,NEW ORLEANS LA
NEW ORLEANS,NEW ORLEANS LA
NEW ORLEANS,NEW ORLEANS LA
NEW ORLEANS,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
51,51%
6,69%
100,62%
22,22%
6,11%
6,10%
100,11%
4,4%
4,4%
12,12%
3,31%
4,32%
6,6%
1,0%
3,<3%
3,0%
4,0%
4,0%
50,8
42,30
41,36
2,96
41,120
3,120
12,120
48,120
48,120
12,24
48,30
3,36
6,72
10,N/A
3,N/A
12,0
48,0
48,N/A
34,34%
55,54%
6,45%
2,24%
6,11%
6,10%
5,6%
4,3%
4,3%
D,D.
B,B.
D,D.
B,B.
B,C.
B,A.
B,C.
B,A.
C,C.
Louisiana,Louisiana coast from Morgan City eastward to Ocean Springs MS and adjacent north-central Gulf Coast
Morgan City Louisiana to the Mouth of the Pearl River,"Central and southeast Louisiana coastline, including Mississippi River Delta and adjacent Mississippi coast"
Louisiana,"Louisiana coastline from Sabine Pass eastward through southeast Louisiana, Mississippi and Alabama coasts"
Alabama/Florida border,"Central and eastern Louisiana coastline, Mississippi and Alabama Gulf coasts"
Punta Herrero to Cancun Mexico,"coastal Louisiana, Mississippi, and upper Texas expected to feel effects as Marco approaches"
Punta Herrero to Cancun Mexico,"Yucatan Peninsula Saturday, then entire northern Gulf Coast from Texas to Mississippi early next week"
Honduras/Nicaragua border,"Northern Gulf Coast from Texas through Mississippi, including southeast Louisiana"
Honduras/Nicaragua border,Entire northern Gulf Coast from Texas to the Florida Panhandle lies within the 5-day cone
Honduras,Entire north-central Gulf Coast from upper Texas coast across Louisiana to the Florida Panhandle is within the 5-day cone
B,B.
C,C.
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
A,A.
B,B.
B,B.
A,A.
B,D.
B,C.
C,C.
A,B.
B,C.
B,A.
Louisiana,Louisiana coast from Morgan City eastward to Ocean Springs MS and adjacent north-central Gulf Coast
Louisiana,"Central and southeast Louisiana coastline, including Mississippi River Delta and adjacent Mississippi coast"
Louisiana,"Louisiana coastline from Sabine Pass eastward through southeast Louisiana, Mississippi and Alabama coasts"
Louisiana,"Central and eastern Louisiana coastline, Mississippi and Alabama Gulf coasts"
