response,ground_truth
No,No
No,No
B,A.
B,A.
B,A.
A,A.
"Savannah, GA to Cape Hatteras, NC",None in effect for Maryland or Chesapeake Bay
None,"Cape May, NJ northward to Watch Hill, RI, including Long Island and Long Island Sound"
Savannah to Cape Hatteras,"Tropical Storm Warning from Cape May, NJ to Watch Hill, RI including Long Island and Long Island Sound"
None,"Cape May, NJ northward to Watch Hill, RI, including Long Island and Long Island Sound (Tropical Storm Warning)"
"36.7N, 74.9W","37.4N, 74.8W"
"35.5N, 74.9W","35.5N, 74.9W"
N,N
N,N
8,10 mph
7,7 mph
New Jersey,"Mid-Atlantic coast from the lower Maryland Eastern Shore northward through Delaware, New Jersey and southern New England"
New England,Mid-Atlantic coastline from North Carolina through New Jersey and into southern New England
OCEAN CITY MD,PHILADELPHIA PA
OCEAN CITY MD,OCEAN CITY MD
0,7%
0,28%
0,0%
0,7%
N/A,12
N/A,18
N/A,None
N/A,18
N/A,6%
N/A,17%
C,D.
B,A.
Delmarva Peninsula,"Mid-Atlantic coast from the lower Maryland Eastern Shore northward through Delaware, New Jersey and southern New England"
Mid-Atlantic coast,Mid-Atlantic coastline from North Carolina through New Jersey and into southern New England
B,B.
B,B.
B,B.
A,D.
Boston,"Mid-Atlantic coast from the lower Maryland Eastern Shore northward through Delaware, New Jersey and southern New England"
Boston,Mid-Atlantic coastline from North Carolina through New Jersey and into southern New England
104,15
12,21
12,12
12,33
D,D.
C,D.
C,B.
D,B.
D,B.
D,B.
No,No
No,No
D,B.
D,A.
36,15
36,21
A,B.
B,B.
B,B.
B,B.
B,B.
B,C.
"Isolated tornadoes are possible over portions of New Jersey, southeast New York, and southern New England.","Low, but non-zero risk of an isolated tornado mainly east of I-95; maritime operations may be affected by elevated waves on the lower Bay"
Flash flooding may occur where the heaviest rain accumulates.,Brief coastal flooding along western Chesapeake tributaries and reduced visibility hindering cargo movements
"{
  ""gale_force_probability"": {
    ""12_hours"": ""1"",
    ""24_hours"": ""1"",
    ""48_hours"": ""1"",
    ""72_hours"": ""1"",
    ""96_hours"": ""1""
  }
}","{'in 12h': '6%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""X(12)"",
    ""24_hours"": ""X(23)"",
    ""48_hours"": ""X(24)"",
    ""72_hours"": ""X(24)"",
    ""96_hours"": ""X(25)""
  }
}
```","{'in 12h': '11%', 'in 24h': '28%', 'in 48h': '28%', 'in 72h': '28%', 'in 96h': '28%'}"
10-07-2020,None
09-07-2020,None
10-07-2020,None
09-07-2020,None
10-07-2020,None
09-07-2020,None
5,0
5,0
5,None
5,None
2,None
X,None
A. None,A.
A. None,A.
