response,ground_truth
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
19.1N to 25N,"Campeche to Puerto de Veracruz, Mexico (tropical-storm watch/warning area only in southern Gulf of Mexico)"
Mexico to Belize,
Mexico to Florida,None (current watch area lies entirely along the southern Bay of Campeche)
Mexico City to Veracruz,None in effect (only a Tropical Storm Warning is posted)
Mexico to Florida,"Campeche to Puerto de Veracruz, Mexico"
Mexico to Florida,Campeche to Puerto de Veracruz (MX)
Mexico to Florida,"Campeche to Puerto de Veracruz, Mexico"
Mexico to Florida,"Tropical Storm Warning from Campeche to Puerto de Veracruz, Mexico"
"19.1N, 92.3W","19.0N, 92.1W"
"19.6N, 92.4W","19.2N, 92.8W"
"19.6N, 91.6W","19.6N, 92.0W"
"19.6N, 91.2W","19.6N, 91.2W"
S,SE
W,SW
WNW,W
WNW,WNW
3,2 mph
3,3 mph
7,5 mph
7,7 mph
Texas,southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Mexico,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Florida,Southern Bay of Campeche coastline
Florida,Southern Bay of Campeche coastline of Mexico
PENSACOLA FL,None listed (Kansas City not included in wind-probability table)
GFMX 280N 910W,KEESLER AB (MS)
FRONTERA MX,None
FRONTERA MX,None (no U.S. interior locations listed in the wind-probability table)
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
N/A,0%
N/A,0%
B,D.
D,A.
D,C.
A,B.
Campeche,southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Campeche to Puerto de Veracruz,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Campeche to Puerto de Veracruz,Southern Bay of Campeche coastline
Campeche to Puerto de Veracruz,Southern Bay of Campeche coastline of Mexico
B,B.
B,B.
A,A.
A,A.
C,B.
C,D.
D,B.
C,B.
Texas,southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Texas,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Mexico,Southern Bay of Campeche coastline
Mexico,Southern Bay of Campeche coastline of Mexico
120,108
120,108
120,24
120,24-36
None,N/A
None,N/A
None,999
None,N/A
D,D.
D,D.
D,D.
D,D.
A,A.
A,A.
A,A.
A,A.
D,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
No,No
D,A.
D,A.
D,A.
D,A.
400,108
24,108
36,24
36,24-36
B,B.
B,B.
B,D.
B,D.
B,B.
B,B.
B,B.
B,B.
B,A.
B,A.
B,B.
B,B.
"No direct hazards are expected at the Kansas City Port Authority, MO, based on the given information.",Brief river/flash-flood potential on the Missouri River and tributaries if bands set up over the basin
"No direct impact on Kansas City Port Authority, MO, from the storm.",Isolated river/stream rises or localized flooding in low-lying areas if heavier rain bands reach the Missouri River basin
"No additional hazards are expected at Kansas City Port Authority, MO, due to the storm's projected path.",None
"No additional hazards are expected at Kansas City Port Authority, MO, due to the storm's projected path.",None
"```json
{
  ""gale_force_probabilities"": {
    ""12"": ""X"",
    ""24"": ""X"",
    ""36"": ""X"",
    ""48"": ""X"",
    ""72"": ""X"",
    ""96"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""3"",
    ""in 48h"": ""6"",
    ""in 72h"": ""6"",
    ""in 96h"": ""8""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""4"",
    ""in 72h"": ""7"",
    ""in 96h"": ""10""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
03-06-2020,None
03-06-2020,None
06-02-2020,None
06-06-2020,None
03-06-2020,None
07-06-2020,None
02-06-2020,None
06-06-2020,None
03-06-2020,None
07-06-2020,None
06-06-2020,None
06-06-2020,None
5,0
2,0
5,0
5,0
5,None
5,None
0,None
0,None
0,None
0,None
None,None
None,None
A. None,A.
A. None,A.
A,A.
A,A.
