response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
B,A.
A,A.
A,A.
A,A.
A,A.
Florida to North Carolina,Tropical-storm warning in effect from Navarre FL to Yankeetown FL (Gulf coast only)
Florida to Louisiana,Tropical Storm Watch area not issued for Georgia coast at this time
Florida to Louisiana,
Florida to Louisiana,"East of the Ochlockonee River to Yankeetown, FL (Gulf coast)"
Florida to North Carolina,Navarre Florida to Yankeetown Florida
Key West to Florida Keys,"Tropical Storm Warning in effect only from the MS/AL border eastward to Yankeetown, FL on the Gulf Coast; none for GA coast"
Florida to Louisiana,
Florida to Louisiana,"Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","23.3N, 94.6W"
"22.4N, 95.7W","22.6N, 95.5W"
NE,NE
NE,NE
NE,NE
N,N
22,20 mph
21,22 mph
9,9 mph
8,7 mph
Florida,"Florida Big Bend, Georgia coast (including Brunswick), and the Carolinas"
Florida,"Northern Gulf Coast from Louisiana to Florida tonight, then southeastern U.S. coast from northeast Florida through Georgia and the Carolinas Saturday–Sunday"
Florida,Atlantic coast from northern Florida through Georgia and the Carolinas
Florida,"Northern Gulf Coast from Louisiana to Florida, then inland across GA, SC and NC coasts"
Waycross GA,KINGS BAY GA
ATLANTA,KINGS BAY GA
Waycross GA,KINGS BAY GA
Waycross GA,KINGS BAY GA
95,15%
0,29%
0,13%
0,26%
10,<3%
0,2%
0,0%
0,3%
95,24
30,36
34,96
0,72
72,N/A
0,N/A
0,0
0,72
95,15%
0,29%
0,13%
0,26%
B,A.
D,B.
B,A.
B,B.
Florida Panhandle,"Florida Big Bend, Georgia coast (including Brunswick), and the Carolinas"
Mississippi/Alabama border to Yankeetown Florida,"Northern Gulf Coast from Louisiana to Florida tonight, then southeastern U.S. coast from northeast Florida through Georgia and the Carolinas Saturday–Sunday"
Mississippi/Alabama border to Yankeetown Florida,Atlantic coast from northern Florida through Georgia and the Carolinas
"Mississippi/Alabama border to the Ochlockonee River, Florida","Northern Gulf Coast from Louisiana to Florida, then inland across GA, SC and NC coasts"
B,B.
B,B.
B,B.
B,B.
B,A.
B,C.
C,C.
B,D.
Florida,"Florida Big Bend, Georgia coast (including Brunswick), and the Carolinas"
Florida,"Northern Gulf Coast from Louisiana to Florida tonight, then southeastern U.S. coast from northeast Florida through Georgia and the Carolinas Saturday–Sunday"
Florida,Atlantic coast from northern Florida through Georgia and the Carolinas
Georgia,"Northern Gulf Coast from Louisiana to Florida, then inland across GA, SC and NC coasts"
120,6
120,12
120,30
104,30
24,24
120,48
120,48
120,60
C,D.
D,D.
D,D.
D,D.
D,B.
D,B.
D,B.
D,B.
D,B.
D,C.
D,D.
D,D.
No,No
No,Yes
No,No
No,Yes
D,A.
D,B.
D,C.
D,C.
4,6
10,12
36,30
40,30
C,B.
A,A.
C,B.
B,B.
B,B.
B,A.
C,A.
C,B.
B,C.
B,D.
B,D.
B,C.
Tornadoes are possible across the northern and central Florida Peninsula.,Isolated tornadoes in outer rain bands may briefly threaten coastal Georgia.
Tornadoes are possible near the Florida Gulf Coast from the central panhandle to western parts of the Florida peninsula.,"Isolated tornadoes in rain bands, rough seas and elevated wave heights that may halt pilot transfers and cargo operations"
"No additional hazards are explicitly mentioned for the Port of Brunswick, GA, beyond those already listed.",Rough seas and hazardous marine conditions for port approaches and anchorages beginning late Friday night through Saturday night.
Tsunami watch is in effect for the coast of Georgia.,Isolated tornadoes cannot be ruled out as outer rainbands move across coastal Georgia and South Carolina.
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Medium"",
    ""48_hours"": ""High"",
    ""72_hours"": ""Medium"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '3%', 'in 24h': '12%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""Low"",
    ""24_hours"": ""Medium"",
    ""48_hours"": ""High"",
    ""72_hours"": ""Medium"",
    ""96_hours"": ""Low""
  }
}
```","{'in 12h': '0%', 'in 24h': '5%', 'in 48h': '29%', 'in 72h': '29%', 'in 96h': '29%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""moderate"",
    ""48_hours"": ""high"",
    ""72_hours"": ""moderate"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '9%', 'in 72h': '13%', 'in 96h': '13%'}"
"```json
{
  ""gale_force_probabilities"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""low"",
    ""48_hours"": ""low"",
    ""72_hours"": ""low"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '9%', 'in 72h': '26%', 'in 96h': '26%'}"
19-10-2019,10/19/2019
19-10-2019,10/19/2019
18-10-2019,10/19/2019
01-10-2019,10/19/2019
19-10-2019,10/19/2019
19-10-2019,10/19/2019
18-10-2019,10/19/2019
18-10-2019,10/19/2019
01-10-2019,10/19/2019
20-10-2019,10/19/2019
01-10-2019,10/19/2019
01-11-2019,10/19/2019
2,3
2,3
3,3
48,3
0,3.0
0,3.0
2,3.0
5,3.0
4,1.0
3,1.0
3 to 5 ft,1.0
3,1.0
B,B.
B,B.
B,B.
B,B.
