response,ground_truth
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Mexico to Florida,"East of Morgan City, LA to the Okaloosa/Walton County Line, FL; including Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans"
70W to 95W,Tropical Storm Watches – none issued for the Mid-Atlantic coast
22.9N 92.4W to 25N 90W,"Tropical Storm Watch/Warning area extends from Intracoastal City, LA to the AL/FL border including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
Mexico to Florida,"Same as watch area – Tropical Storm Warning in effect from east of Morgan City, LA to Okaloosa/Walton County Line, FL"
Florida to Louisiana,"Tropical Storm Warning from Intracoastal City, LA eastward to the Okaloosa/Walton County line, FL (including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans)"
Louisiana to Florida,"Intracoastal City, Louisiana to the Alabama/Florida border including Lake Pontchartrain, Lake Maurepas, and metropolitan New Orleans"
"26.5N, 91.1W","27.9N, 91.2W"
"23.5N, 92.2W","25.2N, 91.5W"
"22.9N, 92.4W","22.9N, 92.4W"
NNE,N
N,N
N,N
14,16 mph
9,14 mph
9,9 mph
Florida,Northern Gulf Coast from Louisiana through the western Florida Panhandle
Florida,Northern Gulf Coast from Louisiana to the western Florida Panhandle
Louisiana,"Northern Gulf Coast of Louisiana, Mississippi and Alabama"
NEWARK NJ,None listed for New Jersey (nearest table points are in the Southeast U.S.)
NEW ORLEANS LA,None (no Mid-Atlantic locations listed in probability table)
DESTIN EXEC AP,None (no Northeast or Mid-Atlantic station listed in wind-probability table)
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,N/A
N/A,
N/A,
N/A,N/A
N/A,
N/A,
N/A,0%
N/A,0%
N/A,0%
D,B.
D,B.
D,A.
north-central Gulf Coast,Northern Gulf Coast from Louisiana through the western Florida Panhandle
"Intracoastal City, LA to Okaloosa/Walton County Line, FL",Northern Gulf Coast from Louisiana to the western Florida Panhandle
"Intracoastal City, LA to MS/AL Border","Northern Gulf Coast of Louisiana, Mississippi and Alabama"
B,B.
B,B.
B,C.
B,D.
A,B.
C,B.
Alabama,Northern Gulf Coast from Louisiana through the western Florida Panhandle
Alabama,Northern Gulf Coast from Louisiana to the western Florida Panhandle
Alabama,"Northern Gulf Coast of Louisiana, Mississippi and Alabama"
120,12
120,20
120,36
12,96
12,
None,120
D,D.
C,B.
C,D.
D,A.
D,A.
D,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
D,A.
D,A.
D,A.
6,12
12,20
36,36
B,D.
B,D.
B,D.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
"Tornadoes are a potential hazard for South Jersey Port Corp, NJ.",None
"Tornadoes are a potential hazard for South Jersey Port Corp, NJ.",None
"Tornadoes are a potential hazard for South Jersey Port Corp, NJ.",None
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""6"",
    ""in 48h"": ""11"",
    ""in 72h"": ""16"",
    ""in 96h"": ""16""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""X"",
    ""in 24h"": ""X"",
    ""in 48h"": ""X"",
    ""in 72h"": ""X,
    ""in 96h"": ""X""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
19-06-2021,None
18-06-2021,None
18-06-2021,None
19-06-2021,None
18-06-2021,None
18-06-2021,None
19-06-2021,None
01-07-2021,None
01-07-2021,None
2,0
5,0
5,0
5,None
5,None
5,None
0,None
0,None
0,None
A. None,A.
A. None,A.
A. None,A.
