response,ground_truth
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Mexico to Florida,Tropical-storm watch area limited to portions of the north-central Gulf Coast
70W to 95W,Hurricane: none.  Tropical-storm watch area not issued at this time.
22.9N 92.4W to 25N 90W,"Tropical Storm Watch/Warning area is along the northern Gulf Coast – Intracoastal City LA to the AL/FL border, including Lakes Pontchartrain & Maurepas and metro New Orleans"
Mexico to Florida,"Tropical-storm warning from east of Morgan City, LA to the Okaloosa/Walton County line, FL including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
Florida to Louisiana,"Tropical Storm Warning from Intracoastal City, LA eastward to the Okaloosa/Walton County line, FL including Lakes Pontchartrain & Maurepas and metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City LA to the Alabama/Florida border, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
"26.5N, 91.1W","27.9N, 91.2W"
"23.5N, 92.2W","25.2N, 91.5W"
"22.9N, 92.4W","22.9N, 92.4W"
NNE,N
N,N
N,N
14,16 mph
9,14 mph
9,9 mph
Florida,"Louisiana, Mississippi, Alabama and far western Florida Panhandle coasts"
Louisiana,"Northern Gulf Coast (Louisiana, Mississippi, Alabama, far western Florida Panhandle) with inland track across the southeastern United States"
Louisiana,"Northern Gulf Coast (LA-MS-AL) Friday–Saturday, then inland through the Lower Mississippi Valley and southeastern United States"
NEW ORLEANS LA,ATLANTA GA (farthest-north point listed in table)
NEW ORLEANS LA,none listed for Mid-Atlantic; nearest in table is ATLANTA GA (>600 mi southwest)
NEW ORLEANS LA,ATLANTA GA (closest listed point in wind-probability table)
0,<1%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
N/A,0%
D,A.
B,D.
D,B.
north-central Gulf Coast,"Louisiana, Mississippi, Alabama and far western Florida Panhandle coasts"
"Intracoastal City, LA to Okaloosa/Walton County Line, FL","Northern Gulf Coast (Louisiana, Mississippi, Alabama, far western Florida Panhandle) with inland track across the southeastern United States"
"Intracoastal City, LA to MS/AL Border","Northern Gulf Coast (LA-MS-AL) Friday–Saturday, then inland through the Lower Mississippi Valley and southeastern United States"
B,B.
B,B.
B,A.
B,A.
B,D.
D,A.
Alabama,"Louisiana, Mississippi, Alabama and far western Florida Panhandle coasts"
Alabama,"Northern Gulf Coast (Louisiana, Mississippi, Alabama, far western Florida Panhandle) with inland track across the southeastern United States"
Alabama,"Northern Gulf Coast (LA-MS-AL) Friday–Saturday, then inland through the Lower Mississippi Valley and southeastern United States"
100,≈12
120,24
120,36
None,N/A (system never approaches the Mid-Atlantic coastline)
None,96
None,96
C,D.
C,D.
C,D.
A,A.
A,A.
A,B.
D,A.
D,A.
D,A.
No,No
No,No
No,No
D,A.
D,A.
D,A.
12,≈12
12,24
36,36
D,D.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
"Tornadoes are a potential hazard for the Philadelphia Regional Port, PA.","None expected at Philadelphia Regional Port, PA"
"Tornadoes are a potential hazard for the Philadelphia Regional Port, PA.","Minor river level rises possible downstream from heavy rain over the Southeast, but no direct operational hazards anticipated at the port."
"Tornadoes are a potential hazard for the Philadelphia Regional Port, PA.","Low-end risk of an isolated tornado in associated rain bands early next week, but probability is very small this far north"
"{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""6"",
    ""in 48h"": ""11"",
    ""in 72h"": ""16"",
    ""in 96h"": ""16""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""5"",
    ""in 96h"": ""16""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
  ""gale_probability"": {
    ""in 12h"": ""X"",
    ""in 24h"": ""X"",
    ""in 48h"": ""X"",
    ""in 72h"": ""X"",
    ""in 96h"": ""X""
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
19-06-2021,None
18-06-2021,None
18-06-2021,None
19-06-2021,None
18-06-2021,None
18-06-2021,None
28-06-2021,None
18-06-2021,None
27-06-2021,None
2,0
5,0
5,0
5,None
5,None
5,None
0,None
0,None
0,None
A. None,A.
A. None,A.
A. None,A.
