response,ground_truth
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A,A.
B,A.
A,C.
A,C.
A,A.
A,A.
A,C.
A,C.
A,C.
A,C.
A,A.
A,A.
A,A.
Louisiana coast to Florida coast,None
Louisiana coast to Florida coast,No active watch at the port; earlier watches mainly east of the warning area
Louisiana coast to Florida coast,"Cameron, LA to west of Intracoastal City, LA and Mouth of Pearl River to the MS/AL border"
Louisiana to Florida,"East of Rockefeller Wildlife Refuge, LA, to the MS/AL border including Vermilion Bay, Lake Borgne, Lake Pontchartrain, and Lake Maurepas"
Louisiana to Florida,"Cameron, Louisiana to the Mississippi/Alabama border including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Jamaica to Florida,None issued yet (watches may be required later for northern Gulf Coast)
Jamaica to Florida,None in effect for U.S. Gulf Coast at Advisory #1 (only Cayman Islands and western Cuba under watch consideration)
Louisiana to Florida,"Intracoastal City, LA to the Mouth of the Pearl River, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City, LA eastward to the Mouth of the Pearl River, including Lakes Pontchartrain and Maurepas and metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City, LA to Mouth of the Pearl River, including Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans"
Louisiana to Florida,"Intracoastal City, LA, to the Mouth of the Pearl River including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Jamaica to Florida,None for Louisiana at this advisory (warnings limited to Cayman Islands and parts of Cuba)
Jamaica to Florida,None issued yet for U.S. coast
Jamaica to Florida,"Tropical Storm Warning for the Cayman Islands and the Cuban provinces of Matanzas, Mayabeque, Havana, Artemisa, Pinar del Rio, and the Isle of Youth"
"27.2N, 88.0W","28.0N, 89.1W"
"24.8N, 86.1W","26.2N, 87.0W"
"23.0N, 84.0W","24.0N, 85.2W"
"20.7N, 82.1W","22.1N, 83.2W"
"18.6N, 80.5W","20.0N, 81.4W"
"16.9N, 79.2W","18.0N, 79.8W"
"16.9N, 79.2W","16.9N, 79.2W"
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
16,15 mph
16,16 mph
15,16 mph
15,15 mph
12,15 mph
13,14 mph
13,13 mph
Louisiana,"Southeastern Louisiana coast, Mississippi coast, and portions of coastal Alabama"
Louisiana,Northern Gulf Coast from central Louisiana eastward to the Alabama/Florida border
Louisiana,"Northern Gulf Coast from eastern Texas to the Mississippi/Alabama border, especially southeast Louisiana"
Louisiana,"Northern Gulf Coast from southeast Texas through coastal Mississippi/Alabama, with highest impacts in southeast Louisiana"
Florida,Northern Gulf Coast from Sabine Pass TX eastward to the Alabama/Florida border
Louisiana,"Northern U.S. Gulf Coast from southeast Texas to Alabama, with highest risk along the Louisiana coast"
Louisiana,"northern U.S. Gulf Coast from upper Texas coast eastward to Alabama, with highest risk along southeast Louisiana"
BATON ROUGE LA,BATON ROUGE LA
BATON ROUGE,BATON ROUGE LA
Baton Rouge,BATON ROUGE LA
BATON ROUGE,BATON ROUGE LA
Baton Rouge,BATON ROUGE LA
MONTGOMERY,BATON ROUGE LA
MONTGOMERY,BATON ROUGE LA
93,97%
99,97%
100,92%
100,79%
100,69%
100,63%
100,63%
13,80%
1,79%
15,67%
11,47%
1,34%
5,30%
5,30%
4,12
10,36
34,42
34,60
3,120
1,96
1,96
4,12
1,36
2,42
11,60
1,120
5,120
4,96
93,85%
100,71%
1,58%
1,55%
3,69%
1,38%
1,38%
C,C.
A,A.
A,A.
C,C.
C,C.
B,B.
B,B.
southeast Louisiana,"Southeastern Louisiana coast, Mississippi coast, and portions of coastal Alabama"
Louisiana coast,Northern Gulf Coast from central Louisiana eastward to the Alabama/Florida border
Louisiana,"Northern Gulf Coast from eastern Texas to the Mississippi/Alabama border, especially southeast Louisiana"
Louisiana,"Northern Gulf Coast from southeast Texas through coastal Mississippi/Alabama, with highest impacts in southeast Louisiana"
Alabama/Florida border,Northern Gulf Coast from Sabine Pass TX eastward to the Alabama/Florida border
Cayman Islands,"Northern U.S. Gulf Coast from southeast Texas to Alabama, with highest risk along the Louisiana coast"
Cayman Islands to Isle of Youth,"northern U.S. Gulf Coast from upper Texas coast eastward to Alabama, with highest risk along southeast Louisiana"
F,F.
E,D.
C,C.
E,C.
B,B.
A,A.
A,A.
A,A.
B,B.
A,A.
D,D.
A,A.
B,C.
A,A.
Mississippi,"Southeastern Louisiana coast, Mississippi coast, and portions of coastal Alabama"
Louisiana,Northern Gulf Coast from central Louisiana eastward to the Alabama/Florida border
Louisiana,"Northern Gulf Coast from eastern Texas to the Mississippi/Alabama border, especially southeast Louisiana"
Louisiana,"Northern Gulf Coast from southeast Texas through coastal Mississippi/Alabama, with highest impacts in southeast Louisiana"
Louisiana,Northern Gulf Coast from Sabine Pass TX eastward to the Alabama/Florida border
Louisiana,"Northern U.S. Gulf Coast from southeast Texas to Alabama, with highest risk along the Louisiana coast"
Louisiana,"northern U.S. Gulf Coast from upper Texas coast eastward to Alabama, with highest risk along southeast Louisiana"
120,12
120,20
120,40
120,48
120,60
120,72
120,72
12,N/A
12,36
None,60
120,24
12,48
120,36
120,24
D,D.
D,D.
D,D.
D,D.
C,D.
D,D.
D,D.
D,C.
D,C.
D,C.
D,C.
D,B.
D,C.
D,C.
D,B.
D,C.
D,C.
B,D.
B,D.
B,D.
B,D.
Yes,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
D,A.
D,B.
D,B.
B.,C.
B.,C.
B. 0-24 Hours,D.
B. 0-24 Hours,D.
12,12
24,20
36,40
36,48
800,60
36,72
36,72
C,A.
C,A.
C,A.
C,A.
A,A.
A,A.
B,A.
B,C.
C,B.
C,C.
C,C.
B,C.
B,B.
B,C.
C,C.
C,C.
B,C.
B,C.
B,C.
