response,ground_truth
No,No
A,A.
A,A.
Florida coast,Tropical-storm warnings limited to Mexico Beach FL to Steinhatchee River FL (well east of Mississippi coast)
Florida Keys to Florida Coast,"Same as watch area – Mexico Beach to Steinhatchee River, FL"
"29.0N, 86.3W","29.0N, 86.3W"
NE,NE
21,21 mph
Florida,Primary impact zone is the eastern Florida Panhandle and immediate Big Bend coast; secondary impacts extend across southern GA/SC
PANAMA CITY FL,PANAMA CITY FL
0,4%
0,0%
N/A,within 12 h
N/A,0
N/A,4%
A,A.
Mexico Beach to Steinhatchee River Florida,Primary impact zone is the eastern Florida Panhandle and immediate Big Bend coast; secondary impacts extend across southern GA/SC
B,B.
B,D.
Florida,Primary impact zone is the eastern Florida Panhandle and immediate Big Bend coast; secondary impacts extend across southern GA/SC
120,6
12,0
D,D.
D,A.
D,A.
No,No
D,A.
6,6
A,D.
B,B.
B,B.
Tornadoes are possible over portions of the Florida Panhandle this evening into tomorrow morning.,Marginal risk of isolated brief tornadoes passes east of the port; no significant hazards anticipated for port operations.
"{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""7"",
    ""in 48h"": ""21"",
    ""in 72h"": ""21"",
    ""in 96h"": ""14""
  }
}","{'in 12h': '4%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
08-09-2021,None
08-09-2021,None
15-09-2021,None
5,0
0,None
None,None
B,A.
